area_sqft,bedrooms,bathrooms,property_age,distance_city_km,school_rating,parking_slots,location,property_type,furnishing,price
2020,4,1,34,3.85,2.0,1,Good,Apartment,Semi-Furnished,12207531.87
3640,1,4,13,27.29,5.0,3,Average,Independent House,Semi-Furnished,20412766.24
1026,4,1,38,4.4,8.3,3,Prime,Apartment,Semi-Furnished,10407716.88
2812,1,4,18,30.96,5.5,1,Average,Independent House,Semi-Furnished,15820423.58
1203,2,1,2,11.34,7.3,1,Average,Apartment,Semi-Furnished,9656189.28
1509,2,2,33,23.25,7.7,0,Developing,Apartment,Unfurnished,7300210.21
3984,1,4,21,17.58,3.3,3,Developing,Apartment,Fully-Furnished,21290177.9
4285,2,4,37,13.45,8.9,1,Good,Villa,Semi-Furnished,24079647.71
3412,3,1,26,22.95,5.1,0,Average,Apartment,Semi-Furnished,15554559.11
3252,3,2,20,33.22,2.9,0,Good,Apartment,Unfurnished,15794254.98
1003,4,4,30,2.4,8.8,3,Good,Apartment,Unfurnished,11968162.74
4102,3,3,26,32.24,4.8,0,Developing,Apartment,Fully-Furnished,19103967.35
852,3,1,36,21.71,7.8,0,Developing,Villa,Unfurnished,5325399.56
1580,5,4,1,28.45,5.9,2,Developing,Apartment,Semi-Furnished,11410288.58
2536,5,2,8,14.05,4.4,1,Prime,Apartment,Semi-Furnished,18430160.05
3078,5,2,18,17.04,8.3,3,Developing,Independent House,Semi-Furnished,20226615.77
2677,5,2,35,30.54,6.3,1,Developing,Apartment,Unfurnished,14042099.55
2509,2,2,9,15.1,4.5,2,Good,Villa,Unfurnished,17960571.56
3860,4,1,39,19.18,2.0,3,Good,Villa,Fully-Furnished,21410422.13
3440,4,4,38,1.69,9.1,1,Average,Independent House,Semi-Furnished,23959706.56
4237,3,1,6,6.39,1.3,0,Average,Apartment,Unfurnished,22632115.9
997,4,1,3,22.82,8.8,3,Developing,Apartment,Unfurnished,8170501.14
1599,3,2,14,25.38,4.2,2,Good,Apartment,Fully-Furnished,12405686.74
512,4,3,11,20.81,6.8,0,Average,Villa,Unfurnished,7080636.44
1293,1,2,5,5.87,9.3,2,Average,Apartment,Semi-Furnished,12408422.29
3603,1,3,8,16.14,2.4,0,Good,Apartment,Semi-Furnished,19099621.49
1458,4,1,34,13.07,6.1,1,Developing,Independent House,Fully-Furnished,11054827.35
2292,2,2,7,17.85,7.9,1,Good,Apartment,Semi-Furnished,15549542.9
2481,3,2,6,30.59,7.8,1,Good,Independent House,Semi-Furnished,18233547.01
1772,4,1,3,27.38,5.7,2,Prime,Independent House,Unfurnished,17181789.14
2531,3,2,12,3.86,6.6,3,Good,Apartment,Fully-Furnished,17390653.44
1201,5,4,18,31.27,7.8,1,Average,Apartment,Semi-Furnished,10141394.64
4130,4,3,6,17.04,8.6,2,Developing,Apartment,Fully-Furnished,23752786.49
498,2,3,9,26.29,7.9,0,Good,Independent House,Semi-Furnished,6259734.08
1107,5,3,24,5.76,4.2,1,Good,Apartment,Semi-Furnished,9119731.49
2110,4,2,34,23.8,10.0,0,Prime,Apartment,Unfurnished,14517272.97
1150,1,4,24,9.04,4.9,1,Average,Villa,Semi-Furnished,9491514.29
1530,4,2,28,15.9,1.2,0,Developing,Independent House,Unfurnished,8201577.52
4382,1,3,11,1.57,4.3,2,Average,Villa,Semi-Furnished,26724611.75
2606,1,2,39,6.15,2.2,1,Average,Apartment,Unfurnished,12238960.63
1990,4,3,11,4.13,2.1,2,Average,Apartment,Unfurnished,13958023.31
3482,4,1,5,9.15,3.5,2,Prime,Apartment,Unfurnished,24091350.15
2521,1,3,9,4.4,1.5,0,Average,Apartment,Unfurnished,15601831.33
2718,3,1,1,24.52,7.2,1,Average,Independent House,Fully-Furnished,18175573.86
2433,5,1,24,1.99,1.7,3,Average,Villa,Semi-Furnished,16415219.93
764,2,1,6,22.0,2.8,3,Developing,Villa,Semi-Furnished,7869382.52
2791,4,3,39,5.78,1.8,2,Average,Villa,Unfurnished,15444570.67
4450,5,4,22,33.14,1.6,0,Average,Apartment,Semi-Furnished,21617966.28
3531,5,3,10,32.73,3.4,0,Developing,Apartment,Semi-Furnished,19479842.85
2150,3,2,35,8.67,6.1,0,Developing,Apartment,Fully-Furnished,11489684.46
3517,5,2,22,21.89,9.7,1,Average,Apartment,Fully-Furnished,19788026.79
4002,4,4,6,1.95,8.9,1,Prime,Villa,Semi-Furnished,29047777.24
4248,5,4,26,32.68,8.9,0,Good,Apartment,Semi-Furnished,23804845.01
1467,4,4,12,18.78,2.6,3,Average,Villa,Unfurnished,13336906.88
1087,4,1,16,2.47,3.4,3,Prime,Villa,Semi-Furnished,14795691.2
2764,1,4,31,12.64,1.7,1,Prime,Apartment,Unfurnished,15940792.45
4313,3,4,25,3.61,8.0,0,Prime,Apartment,Unfurnished,28521618.48
2585,2,4,21,14.36,1.6,3,Average,Apartment,Unfurnished,13974861.67
2952,1,3,12,23.78,6.0,3,Good,Apartment,Semi-Furnished,17462489.14
2099,2,2,11,16.98,3.2,1,Good,Villa,Semi-Furnished,12666107.68
4054,4,2,6,14.05,3.2,1,Prime,Apartment,Semi-Furnished,25242573.35
3669,1,4,0,5.05,9.9,3,Average,Independent House,Semi-Furnished,25949013.53
3254,5,2,32,9.33,7.8,0,Good,Villa,Unfurnished,22500365.2
4299,5,3,13,4.4,8.5,3,Good,Apartment,Semi-Furnished,27190988.83
4250,2,2,16,28.45,6.1,3,Average,Villa,Fully-Furnished,25175027.1
2928,4,1,3,5.6,8.8,0,Average,Villa,Fully-Furnished,22728591.13
2225,2,3,38,21.24,6.8,1,Good,Villa,Semi-Furnished,14020887.34
2416,3,2,0,12.65,9.5,0,Average,Apartment,Semi-Furnished,14504847.59
3408,5,2,23,8.68,3.5,0,Good,Apartment,Semi-Furnished,20191561.0
2413,1,3,33,22.74,6.4,0,Average,Apartment,Unfurnished,11728487.56
2217,1,2,33,16.54,7.2,0,Good,Apartment,Unfurnished,10645719.39
4265,1,2,23,14.6,4.5,1,Prime,Villa,Unfurnished,25480260.92
691,5,4,14,21.16,8.9,3,Average,Villa,Unfurnished,9199053.56
1151,4,1,16,17.7,9.8,2,Average,Independent House,Semi-Furnished,8455667.21
3399,5,3,12,11.32,5.4,1,Prime,Apartment,Fully-Furnished,24903903.97
1190,5,4,6,20.01,4.5,0,Prime,Apartment,Semi-Furnished,12492826.32
2563,1,2,8,23.76,5.2,3,Average,Villa,Semi-Furnished,18019507.5
3469,5,3,34,1.91,8.7,3,Average,Apartment,Semi-Furnished,22084989.97
2875,1,3,22,16.84,6.8,0,Good,Apartment,Unfurnished,15504011.21
2885,4,1,38,2.96,1.4,1,Average,Apartment,Unfurnished,14166337.41
2264,3,1,22,7.34,5.9,0,Prime,Apartment,Semi-Furnished,16284559.65
1230,1,3,25,20.06,1.2,3,Good,Apartment,Semi-Furnished,8119395.08
2706,2,1,0,30.45,8.0,3,Prime,Apartment,Fully-Furnished,19793203.57
3936,3,1,13,31.02,4.0,1,Good,Apartment,Semi-Furnished,21836233.83
465,4,2,31,3.38,5.2,2,Prime,Independent House,Fully-Furnished,9354598.14
3818,3,1,9,15.25,8.2,0,Good,Apartment,Semi-Furnished,21748970.81
1435,1,1,0,20.82,1.4,2,Good,Independent House,Semi-Furnished,10814071.67
3741,4,4,4,6.0,2.4,3,Good,Apartment,Semi-Furnished,24451466.4
4290,2,2,2,27.02,4.6,2,Prime,Independent House,Unfurnished,25719018.14
816,1,2,26,26.3,3.1,0,Good,Apartment,Unfurnished,2394750.12
3277,1,3,21,31.71,4.0,0,Average,Apartment,Unfurnished,15355447.67
1702,4,1,17,1.29,10.0,3,Good,Apartment,Semi-Furnished,14320678.83
4152,4,4,15,8.37,8.4,1,Average,Villa,Semi-Furnished,26810743.18
2937,3,4,1,29.12,9.0,1,Good,Apartment,Unfurnished,18754276.6
1139,2,2,12,23.8,9.4,3,Good,Apartment,Semi-Furnished,11251740.81
4053,3,1,15,31.41,4.1,0,Average,Independent House,Unfurnished,22002185.04
3971,3,4,7,2.94,3.7,1,Developing,Apartment,Semi-Furnished,22006981.68
1509,1,3,7,21.3,3.1,2,Prime,Apartment,Semi-Furnished,11504686.11
1296,4,1,9,20.35,8.5,3,Prime,Apartment,Semi-Furnished,14022803.84
871,1,1,32,2.21,7.1,2,Average,Apartment,Semi-Furnished,6440742.61
4439,2,1,30,18.46,3.1,0,Developing,Apartment,Unfurnished,19868087.83
2093,3,4,11,21.72,4.4,1,Developing,Apartment,Fully-Furnished,11894959.82
1662,2,2,8,7.5,5.6,0,Good,Independent House,Unfurnished,12543313.96
3699,4,2,36,10.29,5.8,2,Good,Villa,Unfurnished,21976909.19
1057,4,3,8,22.77,9.0,0,Average,Apartment,Unfurnished,9031294.9
1788,5,4,17,16.92,4.4,0,Average,Apartment,Semi-Furnished,13432154.44
469,2,1,29,30.17,9.2,3,Average,Independent House,Semi-Furnished,3959407.79
1125,1,3,31,12.64,5.0,3,Developing,Villa,Semi-Furnished,7325368.28
831,2,3,39,10.07,7.7,0,Average,Independent House,Semi-Furnished,6250472.17
1058,3,2,22,34.49,9.4,3,Good,Apartment,Unfurnished,8767765.08
2640,4,1,10,31.98,9.2,0,Good,Villa,Fully-Furnished,17461405.33
511,4,1,19,1.99,1.5,2,Average,Villa,Semi-Furnished,8616870.74
1715,2,4,18,27.2,2.9,3,Good,Apartment,Semi-Furnished,10656171.77
2735,2,4,35,4.75,5.3,0,Good,Apartment,Semi-Furnished,15012112.0
1604,2,4,25,1.93,4.9,3,Prime,Apartment,Unfurnished,12079629.64
2078,3,3,9,10.31,6.8,0,Prime,Apartment,Unfurnished,16925468.7
2076,3,1,23,10.16,9.5,3,Good,Independent House,Semi-Furnished,15802945.92
4166,1,2,12,28.86,2.0,1,Average,Independent House,Unfurnished,21211634.93
1596,2,3,33,25.16,5.1,0,Good,Independent House,Unfurnished,8542269.43
1913,1,3,28,34.37,2.7,1,Good,Independent House,Fully-Furnished,10400613.57
1376,5,2,35,25.19,9.0,0,Good,Apartment,Semi-Furnished,8751676.88
2839,3,2,6,15.22,9.7,1,Prime,Apartment,Semi-Furnished,20804066.21
1892,4,4,29,24.76,5.3,0,Developing,Independent House,Semi-Furnished,10663202.91
2103,5,2,16,34.98,1.9,3,Developing,Apartment,Fully-Furnished,10350237.14
2952,4,2,12,25.14,8.1,1,Prime,Apartment,Unfurnished,22259049.77
3719,5,2,23,26.9,7.3,3,Average,Apartment,Fully-Furnished,20127136.18
731,1,2,30,32.9,4.2,0,Good,Apartment,Semi-Furnished,3090113.11
1335,1,4,26,4.86,9.0,3,Developing,Villa,Unfurnished,9684374.95
1474,3,3,20,24.96,9.8,0,Good,Apartment,Unfurnished,8481057.31
1172,4,1,0,29.93,6.0,3,Good,Apartment,Semi-Furnished,10469243.84
2248,5,1,14,33.45,6.1,1,Average,Independent House,Semi-Furnished,14336330.83
4453,2,3,2,8.17,3.7,0,Average,Villa,Unfurnished,27701149.09
3853,2,1,5,18.13,6.3,3,Prime,Villa,Semi-Furnished,26978592.16
1685,3,1,13,24.14,5.0,0,Average,Apartment,Semi-Furnished,9401970.35
536,4,3,37,9.41,3.7,0,Prime,Independent House,Semi-Furnished,6910359.78
1114,2,1,32,21.42,1.6,0,Developing,Villa,Fully-Furnished,7352710.86
1311,3,1,37,9.76,3.3,2,Prime,Apartment,Fully-Furnished,10942966.12
2172,3,3,7,12.34,2.8,0,Developing,Independent House,Semi-Furnished,13086703.47
2558,4,1,25,16.01,5.9,3,Good,Apartment,Fully-Furnished,16406767.36
3294,2,2,14,18.99,6.4,2,Good,Independent House,Unfurnished,20461647.01
2592,2,3,13,16.28,6.5,3,Developing,Apartment,Unfurnished,14783111.71
1235,2,4,19,17.77,4.5,2,Developing,Apartment,Semi-Furnished,8466065.44
2026,1,1,18,11.15,4.8,0,Average,Apartment,Semi-Furnished,11561359.82
3668,2,4,32,6.4,8.5,1,Prime,Apartment,Semi-Furnished,22917962.87
3767,5,1,35,2.61,5.3,1,Good,Apartment,Semi-Furnished,21295017.68
2117,1,2,23,7.66,9.9,0,Good,Independent House,Unfurnished,15952862.62
3458,1,3,9,20.79,5.0,2,Good,Independent House,Unfurnished,21764755.0
2794,1,4,33,27.73,6.8,3,Average,Independent House,Fully-Furnished,15987924.35
3644,1,3,35,6.75,1.5,1,Prime,Apartment,Fully-Furnished,19209911.86
4176,3,4,35,4.69,6.9,0,Average,Independent House,Semi-Furnished,24054200.1
1143,5,1,15,26.48,8.7,0,Average,Apartment,Semi-Furnished,9021275.12
4225,4,2,14,11.38,9.5,2,Prime,Independent House,Semi-Furnished,26655530.53
3977,2,4,17,33.35,10.0,1,Average,Apartment,Unfurnished,21318282.5
2896,1,4,6,25.29,3.5,0,Average,Apartment,Semi-Furnished,15137577.21
4240,4,2,21,12.11,6.2,1,Average,Independent House,Semi-Furnished,24494431.15
3443,3,2,31,10.84,5.1,3,Prime,Independent House,Semi-Furnished,21827557.14
1704,4,2,18,18.81,6.1,0,Average,Villa,Unfurnished,12146029.64
983,1,2,39,3.69,2.4,0,Good,Villa,Fully-Furnished,8965992.42
851,5,2,0,5.0,8.7,3,Good,Apartment,Fully-Furnished,12358041.35
4113,4,3,34,6.98,9.2,0,Average,Villa,Unfurnished,25293016.2
579,1,1,4,27.34,5.0,2,Average,Apartment,Semi-Furnished,3756301.9
2789,1,1,11,18.47,3.5,3,Prime,Apartment,Fully-Furnished,18977480.57
725,2,4,11,1.36,2.3,2,Average,Apartment,Unfurnished,6957690.27
3409,2,2,20,23.9,7.2,3,Developing,Apartment,Semi-Furnished,18318022.35
2308,5,3,18,15.41,3.8,3,Prime,Villa,Semi-Furnished,19582037.93
3897,2,3,8,18.37,9.2,2,Developing,Apartment,Semi-Furnished,22943462.71
3423,5,4,35,8.28,7.0,3,Average,Apartment,Fully-Furnished,18557173.39
504,3,2,31,19.76,6.8,1,Average,Apartment,Semi-Furnished,2370557.22
4099,3,1,34,34.29,6.0,2,Good,Apartment,Unfurnished,20297372.45
3236,2,2,30,3.5,1.4,3,Good,Villa,Unfurnished,17763615.48
3547,3,3,31,10.65,9.4,2,Developing,Villa,Unfurnished,20906077.68
3962,4,2,36,9.26,6.7,3,Good,Apartment,Semi-Furnished,22612893.24
1214,4,1,31,9.45,9.9,3,Prime,Apartment,Semi-Furnished,11360873.88
1670,4,1,36,13.88,5.8,1,Average,Apartment,Unfurnished,8193194.74
1091,3,4,38,28.82,7.4,1,Prime,Independent House,Semi-Furnished,10105623.98
3764,4,3,37,32.04,1.5,1,Average,Apartment,Semi-Furnished,18107365.46
2297,5,2,29,7.88,6.7,3,Average,Apartment,Unfurnished,13647595.56
1173,1,2,31,19.46,7.9,1,Developing,Villa,Semi-Furnished,7241047.62
1663,2,4,1,22.65,8.0,2,Average,Apartment,Semi-Furnished,11772265.12
1251,5,4,10,18.74,7.9,3,Prime,Independent House,Semi-Furnished,13401358.22
1187,4,4,19,15.76,3.0,2,Good,Apartment,Unfurnished,9504340.61
1207,1,3,36,7.53,9.8,1,Average,Villa,Semi-Furnished,10542445.97
2041,2,2,8,17.6,10.0,3,Good,Apartment,Fully-Furnished,16633778.89
3064,5,4,37,14.64,1.7,2,Developing,Apartment,Semi-Furnished,15047310.26
1749,2,3,18,28.05,9.4,0,Average,Apartment,Semi-Furnished,9204671.76
2291,3,2,39,26.96,3.6,2,Prime,Independent House,Semi-Furnished,14449444.99
3930,4,1,6,5.56,7.2,3,Developing,Independent House,Unfurnished,25525546.32
789,5,4,4,4.01,4.0,0,Prime,Apartment,Semi-Furnished,12045765.4
602,5,3,23,31.88,9.7,1,Prime,Independent House,Unfurnished,9704574.17
2038,1,2,6,19.21,1.9,1,Average,Villa,Unfurnished,13858247.83
1871,1,2,10,30.17,5.5,2,Developing,Independent House,Semi-Furnished,10476977.1
