customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11010001,30,Female,South,Enterprise,12,2433.06,1,67.36,Month-to-month,0
CUST11010002,60,Female,West,Standard,70,2682.91,3,50.08,Month-to-month,0
CUST11010003,46,Female,North,Premium,42,3156.81,2,113.27,Month-to-month,0
CUST11010004,24,Male,Central,Basic,51,2682.19,4,63.4,Month-to-month,0
CUST11010005,41,Male,Central,Basic,47,2789.51,3,234.15,One year,0
CUST11010006,57,Female,East,Standard,28,1780.03,7,92.94,Month-to-month,0
CUST11010007,63,Female,South,Enterprise,65,3075.31,6,244.21,Month-to-month,0
CUST11010008,61,Male,Central,Premium,14,4851.47,2,97.16,Month-to-month,0
CUST11010009,55,Female,West,Premium,68,2350.64,1,207.35,One year,1
CUST11010010,42,Female,West,Basic,65,2463.32,5,96.55,Two year,0
CUST11010011,53,Female,Central,Premium,54,2879.57,4,55.57,Two year,1
CUST11010012,45,Female,North,Standard,3,3647.32,1,137.11,Month-to-month,1
CUST11010013,42,Male,Central,Enterprise,18,2966.52,1,77.32,Month-to-month,0
CUST11010014,52,Female,South,Basic,72,2544.34,4,151.16,Month-to-month,1
CUST11010015,62,Other,East,Basic,69,2433.61,4,137.41,Month-to-month,1
CUST11010016,59,Male,Central,Standard,72,1945.01,7,162.45,Month-to-month,0
CUST11010017,61,Female,North,Basic,53,1067.16,3,131.85,Month-to-month,0
CUST11010018,61,Male,North,Standard,60,3851.07,2,107.44,Two year,0
CUST11010019,21,Female,West,Standard,64,652.16,5,99.53,One year,0
CUST11010020,43,Female,North,Basic,59,3018.42,3,255.36,Month-to-month,0
CUST11010021,37,Female,South,Basic,38,2642.48,4,91.03,Month-to-month,0
CUST11010022,51,Male,West,Basic,52,2600.98,2,273.69,Month-to-month,0
CUST11010023,36,Male,East,Standard,54,3946.48,2,178.63,Month-to-month,0
CUST11010024,50,Female,South,Standard,50,2645.93,2,95.07,Month-to-month,0
CUST11010025,61,Female,West,Enterprise,7,1945.81,3,136.01,One year,0
CUST11010026,51,Female,East,Premium,58,2119.93,3,76.4,One year,0
CUST11010027,43,Male,South,Enterprise,40,3834.1,3,218.46,One year,0
CUST11010028,22,Male,North,Enterprise,30,3201.34,3,226.2,Month-to-month,1
CUST11010029,60,Male,Central,Basic,9,5084.57,5,115.69,Month-to-month,0
CUST11010030,24,Male,South,Standard,20,2353.44,2,81.31,Month-to-month,1
CUST11010031,31,Male,West,Enterprise,32,3175.74,5,193.75,Month-to-month,1
CUST11010032,26,Male,Central,Standard,2,1762.93,2,193.2,Month-to-month,1
CUST11010033,30,Male,South,Standard,35,2812.97,1,193.43,Month-to-month,1
CUST11010034,43,Female,Central,Standard,6,2305.68,1,233.36,One year,0
CUST11010035,35,Male,Central,Premium,59,1152.72,4,123.75,One year,0
CUST11010036,25,Male,South,Standard,71,1608.26,7,144.47,Month-to-month,1
CUST11010037,41,Male,Central,Premium,59,1564.48,4,111.94,One year,0
CUST11010038,63,Female,Central,Basic,22,3702.0,1,88.87,One year,1
CUST11010039,49,Female,South,Premium,23,3712.26,5,86.34,Month-to-month,0
CUST11010040,40,Female,South,Basic,58,4119.51,6,138.13,Month-to-month,1
CUST11010041,53,Male,East,Basic,37,1940.71,4,109.98,One year,0
CUST11010042,26,Female,Central,Standard,21,2524.28,3,99.91,One year,0
CUST11010043,24,Male,North,Basic,47,2089.73,3,135.69,Month-to-month,0
CUST11010044,51,Male,Central,Basic,4,4078.13,1,148.82,Two year,1
CUST11010045,42,Male,South,Basic,67,3063.67,4,96.19,Month-to-month,1
CUST11010046,40,Male,Central,Standard,37,2915.19,3,112.64,Month-to-month,1
CUST11010047,51,Female,West,Premium,33,1703.6,3,93.23,Month-to-month,0
CUST11010048,31,Male,West,Enterprise,17,4352.9,2,136.56,Month-to-month,0
CUST11010049,24,Male,North,Premium,64,2801.44,4,119.61,Two year,0
CUST11010050,27,Male,Central,Basic,39,3058.11,2,168.68,Two year,0
CUST11010051,38,Female,East,Standard,54,1100.06,3,108.25,Month-to-month,1
CUST11010052,39,Male,South,Standard,9,3179.62,2,132.74,Month-to-month,0
CUST11010053,29,Male,North,Standard,64,3201.42,1,117.54,Month-to-month,0
CUST11010054,45,Female,West,Basic,40,4781.85,3,118.24,Month-to-month,1
