customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1020001,40,Female,West,Enterprise,33,3771.0,2,229.53,Month-to-month,0
CUST1020002,28,Male,South,Basic,54,1873.86,3,81.63,Month-to-month,0
CUST1020003,45,Female,East,Enterprise,41,1672.97,0,65.36,Month-to-month,0
CUST1020004,47,Female,Central,Enterprise,44,3246.13,2,139.15,Month-to-month,0
CUST1020005,31,Female,East,Premium,66,1666.81,2,122.43,One year,0
CUST1020006,58,Male,Central,Basic,55,3669.72,0,99.21,One year,0
CUST1020007,33,Female,East,Basic,58,2414.79,2,73.25,Month-to-month,1
CUST1020008,34,Female,East,Premium,6,4270.02,2,235.98,Month-to-month,1
CUST1020009,24,Female,Central,Basic,46,2872.43,2,72.68,Month-to-month,0
CUST1020010,51,Male,East,Standard,33,2895.01,1,95.98,One year,0
CUST1020011,50,Female,West,Standard,17,4522.19,2,116.46,Month-to-month,0
CUST1020012,41,Female,West,Premium,72,3557.33,2,147.45,Month-to-month,0
CUST1020013,36,Male,North,Premium,30,3336.05,1,53.35,One year,0
CUST1020014,61,Male,North,Standard,8,3584.61,3,42.75,Month-to-month,1
CUST1020015,57,Female,Central,Standard,18,2124.46,4,110.68,One year,1
CUST1020016,46,Male,East,Standard,67,1532.4,1,70.34,Month-to-month,1
CUST1020017,48,Male,North,Standard,43,4185.73,2,80.1,Two year,1
CUST1020018,65,Female,East,Premium,70,2122.73,4,111.57,Month-to-month,1
CUST1020019,23,Female,North,Enterprise,45,2604.71,1,151.88,Month-to-month,0
CUST1020020,31,Female,Central,Premium,44,1595.43,1,144.97,One year,0
CUST1020021,28,Male,North,Basic,22,3264.05,3,86.36,One year,0
CUST1020022,25,Female,North,Standard,36,1090.5,0,92.5,One year,0
CUST1020023,40,Female,North,Basic,22,2611.36,2,110.6,One year,0
CUST1020024,36,Female,North,Enterprise,30,3287.97,1,80.52,Two year,0
CUST1020025,58,Male,South,Enterprise,3,3477.07,1,113.2,Month-to-month,1
CUST1020026,56,Female,South,Premium,63,3500.27,3,137.94,Month-to-month,0
CUST1020027,65,Male,Central,Premium,32,2363.63,4,118.65,One year,1
CUST1020028,45,Female,East,Basic,38,3038.82,3,100.62,One year,1
CUST1020029,41,Male,South,Basic,62,1966.67,6,134.05,Month-to-month,1
CUST1020030,62,Female,East,Standard,22,3259.8,3,159.77,Month-to-month,1
CUST1020031,52,Male,North,Basic,56,3792.91,4,95.37,Two year,0
CUST1020032,65,Female,Central,Basic,11,2608.74,3,135.92,One year,0
CUST1020033,46,Female,North,Standard,18,3663.6,1,59.31,Month-to-month,0
CUST1020034,62,Female,North,Basic,71,2974.74,1,48.41,Month-to-month,0
CUST1020035,27,Female,South,Premium,47,2460.06,2,101.02,One year,1
CUST1020036,28,Female,Central,Enterprise,38,2931.42,1,120.01,One year,0
CUST1020037,45,Male,North,Standard,70,2571.9,1,35.27,Month-to-month,0
CUST1020038,47,Male,Central,Standard,1,2513.79,5,204.88,Month-to-month,1
CUST1020039,64,Male,North,Standard,55,2484.48,1,82.26,One year,0
CUST1020040,53,Female,Central,Standard,23,4727.5,2,59.64,One year,1
CUST1020041,33,Female,South,Standard,60,2210.57,0,71.9,Two year,0
CUST1020042,62,Female,South,Premium,30,2658.78,4,51.58,One year,1
CUST1020043,51,Female,South,Premium,52,3654.69,4,110.92,Month-to-month,1
CUST1020044,27,Female,West,Basic,61,2067.8,4,136.77,Two year,1
CUST1020045,35,Male,South,Standard,16,2496.91,2,183.43,Month-to-month,0
CUST1020046,48,Male,West,Basic,63,3255.94,2,59.89,Month-to-month,0
CUST1020047,58,Female,West,Basic,60,2258.42,6,148.8,One year,0
CUST1020048,23,Female,West,Premium,52,2606.53,3,104.75,Month-to-month,0
CUST1020049,34,Female,South,Standard,32,2102.78,3,68.61,Month-to-month,1
CUST1020050,54,Female,South,Standard,67,2165.77,0,76.29,Two year,0
CUST1020051,49,Female,South,Premium,39,1939.27,2,57.14,Month-to-month,1
CUST1020052,46,Male,East,Premium,2,1087.81,3,45.19,Two year,1
CUST1020053,42,Male,South,Basic,31,3198.9,2,70.26,Month-to-month,1
CUST1020054,26,Male,West,Basic,25,2452.57,3,84.24,One year,0
CUST1020055,57,Male,East,Premium,71,2133.55,1,54.04,Month-to-month,1
CUST1020056,26,Female,Central,Standard,8,1560.92,2,60.13,Month-to-month,1
CUST1020057,35,Female,South,Standard,30,2007.08,0,203.02,Month-to-month,0
CUST1020058,44,Female,East,Premium,71,2150.48,1,170.18,One year,0
CUST1020059,34,Male,Central,Enterprise,41,539.56,3,75.1,Month-to-month,1
CUST1020060,43,Female,East,Premium,64,3186.27,1,92.11,Month-to-month,1
CUST1020061,38,Male,Central,Basic,8,2340.51,1,127.34,One year,0
CUST1020062,45,Male,Central,Standard,38,1634.4,1,163.25,Month-to-month,1
CUST1020063,64,Female,Central,Standard,72,2201.39,1,94.74,Two year,0
CUST1020064,64,Female,East,Enterprise,71,2332.36,1,65.77,One year,0
CUST1020065,34,Female,East,Standard,21,2884.3,1,155.32,Month-to-month,1
CUST1020066,65,Male,West,Enterprise,9,2228.97,1,117.31,One year,1
