customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11020001,38,Male,Central,Enterprise,38,3385.08,6,219.75,Month-to-month,0
CUST11020002,45,Male,North,Premium,20,3304.82,4,111.69,One year,1
CUST11020003,60,Female,North,Enterprise,12,3373.73,2,110.77,Month-to-month,1
CUST11020004,23,Male,West,Premium,70,3054.09,2,161.45,One year,0
CUST11020005,34,Male,West,Standard,6,3610.49,1,235.76,Month-to-month,1
CUST11020006,57,Male,East,Basic,49,2932.08,5,49.77,Month-to-month,1
CUST11020007,63,Male,Central,Basic,70,3443.99,3,58.15,One year,1
CUST11020008,34,Female,North,Basic,25,3283.43,2,99.11,Month-to-month,1
CUST11020009,35,Female,West,Standard,61,1833.29,3,253.51,Month-to-month,0
CUST11020010,40,Female,West,Premium,39,1548.04,2,139.44,One year,0
CUST11020011,43,Female,South,Standard,23,3763.1,4,161.31,One year,0
CUST11020012,26,Male,Central,Basic,49,3124.44,2,255.77,Month-to-month,1
CUST11020013,37,Male,North,Basic,18,2737.16,2,277.83,Month-to-month,0
CUST11020014,47,Male,North,Basic,62,2057.14,2,62.75,Month-to-month,1
CUST11020015,47,Female,South,Standard,62,2804.02,3,68.88,Month-to-month,1
CUST11020016,25,Female,Central,Basic,37,3366.71,4,126.91,Month-to-month,0
CUST11020017,51,Male,South,Enterprise,8,1285.65,3,222.75,Month-to-month,0
CUST11020018,25,Female,Central,Basic,15,2850.93,1,88.03,Month-to-month,0
CUST11020019,37,Male,Central,Basic,53,4244.7,8,125.31,One year,1
CUST11020020,44,Male,East,Enterprise,5,2868.8,2,148.97,Month-to-month,0
CUST11020021,49,Male,Central,Basic,8,3412.15,4,143.79,Month-to-month,0
CUST11020022,53,Male,Central,Premium,50,2210.88,1,158.59,One year,0
CUST11020023,25,Male,East,Standard,6,2817.21,4,48.4,Month-to-month,0
CUST11020024,38,Female,Central,Premium,42,3952.14,1,264.81,Month-to-month,1
CUST11020025,54,Male,North,Premium,8,2252.77,4,77.49,Month-to-month,0
CUST11020026,38,Female,East,Standard,62,3027.71,7,123.01,Month-to-month,0
CUST11020027,23,Male,Central,Premium,5,2609.46,4,151.33,Month-to-month,0
CUST11020028,40,Female,Central,Standard,65,1892.74,4,123.99,One year,0
CUST11020029,33,Female,West,Basic,37,2833.68,5,95.05,One year,1
CUST11020030,60,Male,Central,Basic,22,2945.68,10,107.25,Month-to-month,1
CUST11020031,65,Female,Central,Basic,34,2703.09,3,167.46,One year,0
CUST11020032,63,Female,Central,Standard,46,3525.85,0,82.97,Month-to-month,0
CUST11020033,45,Male,East,Standard,46,2806.44,3,45.81,Month-to-month,0
CUST11020034,65,Male,West,Basic,69,500.0,2,108.29,One year,0
CUST11020035,52,Male,North,Basic,26,1172.41,2,53.1,Month-to-month,1
CUST11020036,46,Male,West,Standard,58,2741.5,3,76.92,Month-to-month,0
CUST11020037,22,Male,North,Premium,29,1981.5,3,50.94,Month-to-month,1
CUST11020038,47,Female,South,Standard,39,2390.9,1,70.03,Two year,1
CUST11020039,35,Male,South,Standard,64,2651.17,1,260.94,Month-to-month,1
CUST11020040,38,Male,East,Standard,15,2995.82,3,145.83,Month-to-month,1
CUST11020041,62,Female,South,Basic,35,1737.28,3,132.09,Month-to-month,1
CUST11020042,24,Male,East,Basic,12,3440.45,3,129.84,One year,0
CUST11020043,58,Male,East,Premium,23,2095.8,4,55.16,Month-to-month,0
CUST11020044,33,Female,North,Basic,10,1826.72,4,73.19,Month-to-month,1
CUST11020045,61,Male,Central,Premium,51,2873.05,5,166.4,One year,0
CUST11020046,47,Female,Central,Basic,18,3848.99,5,89.3,Month-to-month,1
CUST11020047,28,Male,West,Enterprise,9,1091.26,2,130.44,Month-to-month,1
CUST11020048,23,Male,North,Basic,57,2639.27,1,141.98,Month-to-month,1
CUST11020049,65,Female,Central,Basic,46,3720.78,5,130.29,Two year,1
CUST11020050,53,Male,North,Basic,70,4144.62,8,132.01,Month-to-month,0
CUST11020051,48,Male,North,Standard,22,3027.32,2,63.99,Month-to-month,1
CUST11020052,33,Male,North,Standard,25,3374.66,1,43.47,Month-to-month,1
CUST11020053,63,Male,West,Basic,2,2836.91,3,140.49,Month-to-month,1
CUST11020054,43,Male,East,Enterprise,61,2166.14,1,177.28,Month-to-month,0
CUST11020055,34,Male,Central,Premium,3,3061.38,4,140.66,One year,1
CUST11020056,43,Female,South,Standard,20,1747.71,5,188.36,Month-to-month,1
CUST11020057,44,Female,North,Standard,55,2538.22,3,78.31,Month-to-month,0
CUST11020058,64,Female,North,Basic,57,3189.39,0,94.43,Month-to-month,0
CUST11020059,40,Male,East,Basic,55,3921.65,5,121.81,One year,0
CUST11020060,41,Female,Central,Basic,43,3712.91,1,73.8,One year,0
CUST11020061,36,Female,Central,Standard,41,3639.27,2,113.8,One year,0
CUST11020062,25,Male,West,Enterprise,68,1251.1,5,67.32,Month-to-month,0
CUST11020063,31,Female,Central,Standard,12,3089.32,4,129.41,Month-to-month,1
CUST11020064,50,Female,North,Premium,7,3238.98,2,150.17,Month-to-month,1
CUST11020065,60,Male,North,Standard,1,5803.71,3,96.16,Month-to-month,1
CUST11020066,33,Male,East,Standard,23,3186.51,4,147.25,One year,0
CUST11020067,62,Female,West,Basic,37,3963.01,4,61.19,Month-to-month,1
CUST11020068,22,Female,South,Standard,12,3418.34,1,113.63,Month-to-month,1
CUST11020069,58,Male,South,Standard,56,2377.93,4,100.58,Month-to-month,1
CUST11020070,48,Female,South,Basic,23,1463.48,2,61.58,Month-to-month,1
CUST11020071,24,Male,North,Standard,26,3479.74,2,93.45,One year,1
CUST11020072,59,Male,West,Basic,40,3466.38,2,132.14,Month-to-month,1
CUST11020073,40,Male,Central,Standard,32,3837.57,3,183.06,Month-to-month,1
CUST11020074,30,Female,Central,Basic,62,3704.42,2,113.25,Month-to-month,1
CUST11020075,27,Female,North,Premium,31,3074.68,1,157.35,Month-to-month,0
CUST11020076,56,Male,North,Basic,10,5800.47,1,85.36,Month-to-month,0
CUST11020077,63,Female,Central,Standard,9,3221.11,0,173.21,Month-to-month,1
CUST11020078,39,Male,North,Premium,50,3979.51,3,140.73,Month-to-month,1
CUST11020079,61,Male,South,Basic,56,1562.9,4,107.56,Month-to-month,1
CUST11020080,61,Female,West,Basic,17,1864.74,3,89.51,One year,0
CUST11020081,31,Male,West,Standard,50,2077.4,2,76.02,Two year,0
CUST11020082,22,Female,East,Basic,72,3097.41,5,134.99,Month-to-month,0
CUST11020083,42,Male,Central,Standard,4,3133.2,4,81.24,Month-to-month,1
CUST11020084,34,Female,Central,Standard,19,3455.39,7,104.43,One year,0
CUST11020085,48,Male,Central,Standard,41,3567.59,3,169.79,Month-to-month,0
CUST11020086,35,Male,East,Standard,33,2030.62,2,72.13,One year,1
CUST11020087,58,Male,Central,Premium,58,2099.68,3,171.04,One year,0
CUST11020088,41,Female,South,Standard,29,1263.01,3,67.79,Month-to-month,0
CUST11020089,62,Female,Central,Basic,1,3127.87,3,110.85,Month-to-month,0
CUST11020090,34,Male,South,Standard,55,3376.02,0,55.85,Month-to-month,1
CUST11020091,61,Female,West,Premium,7,3725.03,4,81.55,Month-to-month,1
CUST11020092,58,Female,North,Basic,47,3937.14,0,152.32,One year,0
CUST11020093,28,Female,North,Basic,66,4224.95,0,81.84,Month-to-month,1
CUST11020094,47,Male,Central,Basic,66,2614.12,3,135.11,Month-to-month,1
CUST11020095,64,Male,South,Basic,48,3819.14,0,217.66,Month-to-month,0
CUST11020096,61,Male,East,Basic,65,2372.43,1,190.63,One year,1
CUST11020097,48,Male,Central,Premium,21,3764.89,2,101.91,Month-to-month,1
CUST11020098,54,Female,North,Standard,20,3129.56,0,77.74,Month-to-month,0
CUST11020099,33,Male,East,Premium,2,1354.7,2,109.44,One year,0
CUST11020100,44,Other,East,Basic,48,1717.52,2,166.93,Month-to-month,0
CUST11020101,53,Male,South,Standard,39,1995.82,4,201.88,Month-to-month,1
CUST11020102,53,Male,South,Premium,40,2465.33,2,84.84,One year,0
CUST11020103,25,Female,North,Basic,11,1489.95,1,69.74,Month-to-month,1
CUST11020104,37,Other,North,Enterprise,40,2875.17,5,140.32,Month-to-month,0
CUST11020105,35,Male,Central,Standard,68,3780.79,2,212.02,One year,0
CUST11020106,62,Female,East,Enterprise,30,1612.57,1,136.24,One year,0
CUST11020107,53,Male,West,Premium,65,2835.08,2,88.99,One year,0
CUST11020108,27,Female,Central,Premium,72,3293.08,2,94.08,One year,1
CUST11020109,46,Male,West,Premium,69,3216.43,7,133.92,Month-to-month,0
CUST11020110,44,Male,Central,Basic,3,1946.6,2,87.8,Month-to-month,1
CUST11020111,43,Male,North,Standard,29,1200.0,1,90.05,Month-to-month,0
CUST11020112,51,Female,Central,Basic,52,3167.77,4,123.63,Month-to-month,0
CUST11020113,47,Female,West,Standard,22,4537.12,1,109.37,One year,0
CUST11020114,28,Male,West,Premium,25,3671.33,3,103.19,Month-to-month,0
CUST11020115,42,Male,Central,Basic,22,3396.88,1,25.72,One year,0
CUST11020116,47,Female,Central,Standard,4,4425.34,1,58.04,Month-to-month,0
CUST11020117,35,Male,Central,Standard,24,4491.78,1,262.64,Two year,0
CUST11020118,35,Female,Central,Basic,59,3364.15,2,236.82,Month-to-month,1
CUST11020119,46,Female,East,Basic,13,3895.42,2,149.36,Month-to-month,1
CUST11020120,29,Male,East,Basic,64,3115.05,4,53.98,Month-to-month,0
CUST11020121,62,Male,West,Premium,71,3324.29,4,136.81,Month-to-month,0
CUST11020122,41,Female,East,Standard,44,500.0,4,100.18,Month-to-month,0
CUST11020123,41,Female,Central,Standard,5,3613.23,6,105.97,One year,0
CUST11020124,34,Female,North,Basic,44,2672.81,4,161.88,One year,0
CUST11020125,65,Female,North,Enterprise,57,2152.7,3,148.33,Month-to-month,1
CUST11020126,36,Female,South,Basic,19,3181.09,1,301.02,One year,0
CUST11020127,51,Male,South,Basic,60,1985.07,3,75.26,Month-to-month,1
CUST11020128,25,Female,West,Standard,66,4005.8,4,116.21,Month-to-month,1
CUST11020129,46,Male,East,Standard,58,2722.35,6,240.31,Month-to-month,1
CUST11020130,61,Female,South,Basic,40,3272.51,3,101.62,Month-to-month,0
CUST11020131,42,Male,West,Basic,35,2601.38,3,166.83,Month-to-month,1
CUST11020132,33,Male,North,Premium,49,2177.63,3,183.34,One year,1
CUST11020133,22,Other,North,Basic,19,1688.22,5,100.28,Month-to-month,0
CUST11020134,64,Male,West,Basic,65,3158.25,5,83.52,Month-to-month,0
CUST11020135,61,Other,South,Basic,63,2340.04,2,139.95,Month-to-month,0
CUST11020136,31,Male,West,Basic,44,2825.86,4,116.76,One year,0
CUST11020137,62,Female,West,Premium,20,2778.16,1,52.86,Month-to-month,0
CUST11020138,33,Female,West,Standard,56,3210.8,2,95.92,Two year,0
CUST11020139,40,Female,Central,Standard,58,3461.02,3,74.5,Month-to-month,1
CUST11020140,60,Male,East,Basic,10,2250.59,5,67.97,Month-to-month,1
CUST11020141,28,Female,East,Premium,22,2851.18,1,42.92,Month-to-month,1
CUST11020142,60,Other,South,Enterprise,31,1647.28,0,94.33,Month-to-month,0
CUST11020143,26,Male,South,Premium,13,3582.18,2,75.81,One year,0
CUST11020144,63,Female,Central,Standard,51,2472.24,2,126.83,One year,1
