customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1030001,45,Female,South,Standard,9,3244.07,3,115.56,Month-to-month,1
CUST1030002,35,Male,West,Basic,8,1405.08,3,92.43,One year,1
CUST1030003,24,Male,South,Standard,68,1734.56,3,175.75,Two year,1
CUST1030004,31,Female,East,Basic,67,2413.32,3,137.22,Two year,1
CUST1030005,53,Female,North,Basic,27,2768.64,3,117.25,Two year,1
CUST1030006,29,Male,North,Basic,19,2931.61,1,35.48,Month-to-month,1
CUST1030007,45,Male,South,Standard,38,3585.19,2,106.67,Month-to-month,1
CUST1030008,59,Female,South,Standard,56,2572.6,5,173.0,Month-to-month,0
CUST1030009,44,Male,North,Basic,17,3024.23,0,98.17,Month-to-month,1
CUST1030010,59,Male,North,Premium,43,2958.71,2,25.3,Month-to-month,1
CUST1030011,35,Female,South,Standard,14,1928.17,5,99.29,Two year,1
CUST1030012,25,Female,West,Standard,16,1048.27,2,50.27,Month-to-month,0
CUST1030013,25,Male,East,Basic,25,2413.24,1,58.46,One year,1
CUST1030014,34,Female,Central,Basic,32,2325.39,0,70.92,Month-to-month,1
CUST1030015,47,Female,Central,Premium,17,3549.12,3,99.19,Month-to-month,1
CUST1030016,50,Female,East,Enterprise,72,2839.88,1,135.06,Two year,0
CUST1030017,48,Male,West,Standard,38,3158.19,2,40.88,Month-to-month,0
CUST1030018,52,Female,East,Basic,69,2266.38,2,138.96,One year,0
CUST1030019,57,Male,South,Premium,4,2154.76,4,98.47,Two year,0
CUST1030020,40,Female,East,Standard,25,2954.73,2,72.37,One year,0
CUST1030021,27,Male,Central,Standard,26,3668.92,1,160.41,Month-to-month,0
CUST1030022,42,Male,West,Standard,72,1527.56,0,212.14,Month-to-month,0
CUST1030023,45,Male,North,Premium,60,2367.27,1,100.66,Month-to-month,0
CUST1030024,54,Female,East,Standard,25,1480.74,5,53.22,Month-to-month,0
CUST1030025,21,Female,Central,Premium,55,1729.5,1,110.38,Month-to-month,0
CUST1030026,40,Male,South,Premium,45,3070.66,1,100.61,One year,0
CUST1030027,21,Female,Central,Premium,22,2825.38,2,73.2,Two year,1
CUST1030028,64,Female,South,Premium,7,2136.42,1,118.82,Month-to-month,1
CUST1030029,60,Male,East,Basic,39,2522.9,2,104.47,Two year,0
CUST1030030,34,Male,North,Premium,5,3595.02,4,89.72,Month-to-month,1
CUST1030031,34,Male,West,Premium,34,1813.79,3,86.14,Month-to-month,1
CUST1030032,26,Male,Central,Standard,54,3245.64,1,97.78,Month-to-month,0
CUST1030033,56,Female,Central,Enterprise,45,2543.05,2,168.38,Month-to-month,0
CUST1030034,32,Female,South,Standard,59,676.66,1,97.13,Month-to-month,0
CUST1030035,36,Female,East,Standard,50,3196.97,1,75.71,Month-to-month,0
CUST1030036,23,Male,North,Premium,8,4036.21,1,102.54,Month-to-month,1
CUST1030037,56,Other,South,Basic,33,2136.59,3,99.63,One year,0
CUST1030038,62,Female,West,Standard,48,2271.39,3,157.0,One year,0
CUST1030039,21,Male,North,Standard,46,1917.19,4,90.22,Month-to-month,1
CUST1030040,50,Male,North,Basic,48,2645.26,2,82.12,Month-to-month,1
CUST1030041,45,Male,South,Basic,19,2640.55,7,134.12,One year,1
CUST1030042,29,Female,South,Standard,56,3516.01,3,115.16,Two year,1
CUST1030043,65,Male,East,Basic,70,3060.7,3,84.6,One year,0
CUST1030044,22,Female,West,Basic,39,2604.67,1,165.16,One year,0
CUST1030045,42,Other,North,Premium,33,2349.52,2,150.24,Month-to-month,0
CUST1030046,59,Female,South,Basic,63,3423.35,5,85.18,Month-to-month,1
CUST1030047,39,Female,South,Premium,51,2323.32,2,58.49,Month-to-month,0
CUST1030048,37,Male,North,Standard,31,2369.01,1,132.65,Month-to-month,0
CUST1030049,36,Male,East,Basic,64,3162.34,4,95.14,Two year,1
CUST1030050,30,Female,West,Premium,31,3300.46,2,107.87,One year,1
CUST1030051,51,Female,South,Basic,39,2115.07,2,49.26,One year,0
CUST1030052,39,Female,Central,Standard,4,2224.76,5,86.4,Two year,1
CUST1030053,22,Other,North,Standard,7,4479.8,0,74.59,Month-to-month,1
CUST1030054,28,Male,West,Basic,1,1388.86,2,155.41,Month-to-month,0
CUST1030055,50,Male,East,Standard,25,2851.76,1,123.77,One year,0
CUST1030056,24,Female,East,Premium,17,2304.09,1,175.16,Month-to-month,0
CUST1030057,29,Male,Central,Standard,51,4054.59,3,180.98,One year,0
