customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11030001,39,Female,East,Basic,6,3571.64,5,96.75,One year,0
CUST11030002,31,Female,South,Premium,58,3899.88,2,90.4,Month-to-month,0
CUST11030003,26,Female,North,Enterprise,9,2515.08,5,108.12,Month-to-month,1
CUST11030004,54,Female,West,Enterprise,34,2038.0,3,92.05,One year,0
CUST11030005,46,Female,North,Basic,59,2741.72,4,110.18,Month-to-month,1
CUST11030006,47,Female,North,Premium,30,2392.09,3,66.34,Month-to-month,0
CUST11030007,22,Male,North,Basic,70,1382.26,2,117.34,One year,1
CUST11030008,28,Female,South,Standard,65,2989.51,1,143.4,Two year,0
CUST11030009,62,Female,North,Standard,20,3572.93,3,141.51,Month-to-month,1
CUST11030010,59,Female,Central,Premium,10,2074.84,2,67.04,Month-to-month,0
CUST11030011,59,Female,South,Premium,14,1025.63,3,75.28,Month-to-month,0
CUST11030012,44,Female,East,Standard,36,2777.28,3,177.88,Month-to-month,1
CUST11030013,27,Female,Central,Standard,2,2686.67,3,99.34,One year,1
CUST11030014,24,Male,East,Premium,37,2423.34,4,86.09,Month-to-month,1
CUST11030015,35,Male,East,Standard,9,2957.4,4,83.62,Month-to-month,1
CUST11030016,57,Female,North,Standard,58,1113.08,2,128.67,Month-to-month,1
CUST11030017,56,Male,Central,Premium,44,3514.18,3,108.99,One year,1
CUST11030018,57,Male,West,Standard,1,3781.27,3,155.82,One year,0
CUST11030019,33,Female,South,Premium,50,4902.61,5,139.63,Month-to-month,1
CUST11030020,44,Male,West,Standard,53,3320.59,1,147.04,Month-to-month,1
CUST11030021,32,Female,West,Basic,64,3252.56,4,132.34,Month-to-month,1
CUST11030022,35,Male,East,Standard,39,5226.68,2,103.57,Month-to-month,0
CUST11030023,26,Male,South,Premium,34,2321.02,5,131.08,Month-to-month,0
CUST11030024,38,Male,West,Premium,6,4180.85,5,119.56,One year,1
CUST11030025,46,Male,South,Basic,67,2641.71,2,100.27,One year,0
CUST11030026,55,Male,East,Basic,12,2062.41,1,293.04,Month-to-month,1
CUST11030027,61,Male,East,Premium,7,3132.75,3,79.31,One year,0
CUST11030028,60,Male,South,Basic,12,2392.09,2,266.79,One year,1
CUST11030029,29,Male,North,Basic,64,3209.01,3,66.76,Two year,0
CUST11030030,33,Male,North,Standard,52,2366.38,2,88.6,One year,1
