customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11040001,61,Female,North,Premium,59,3413.25,3,114.51,One year,0
CUST11040002,24,Female,Central,Premium,44,2591.41,3,121.32,Month-to-month,0
CUST11040003,21,Female,West,Standard,45,2628.28,2,104.07,Month-to-month,0
CUST11040004,21,Male,East,Premium,64,2255.12,4,96.58,Month-to-month,0
CUST11040005,43,Male,South,Basic,58,3180.52,2,176.52,Month-to-month,1
CUST11040006,50,Male,West,Enterprise,7,2099.97,4,104.3,One year,1
CUST11040007,29,Male,North,Basic,7,2526.13,3,135.96,Month-to-month,0
CUST11040008,54,Female,Central,Standard,54,3260.15,3,86.8,One year,0
CUST11040009,33,Female,East,Basic,61,2537.52,5,156.22,Month-to-month,1
CUST11040010,43,Male,South,Premium,64,1336.82,5,94.47,Month-to-month,1
CUST11040011,40,Male,Central,Basic,5,2583.48,3,105.34,One year,0
CUST11040012,22,Other,South,Premium,67,1955.99,0,91.23,Month-to-month,0
CUST11040013,55,Female,Central,Premium,22,1908.01,3,93.09,Month-to-month,1
CUST11040014,25,Male,North,Basic,28,1793.95,7,82.89,One year,0
CUST11040015,57,Male,Central,Premium,21,1946.97,2,140.21,One year,1
CUST11040016,63,Female,North,Standard,70,2893.7,3,189.43,Two year,0
CUST11040017,34,Male,West,Basic,8,2160.29,2,91.65,Month-to-month,1
CUST11040018,28,Male,South,Premium,14,3984.16,2,64.98,One year,0
CUST11040019,32,Male,South,Standard,31,4607.06,6,126.4,Month-to-month,0
CUST11040020,63,Female,East,Basic,48,2970.27,4,137.87,One year,1
CUST11040021,56,Female,North,Standard,61,1731.61,2,96.17,Two year,0
CUST11040022,62,Female,West,Premium,70,2817.12,1,75.61,Month-to-month,1
CUST11040023,53,Female,West,Premium,54,4936.11,4,70.27,Month-to-month,0
CUST11040024,55,Male,South,Basic,3,3801.59,2,38.94,Month-to-month,1
CUST11040025,41,Female,East,Basic,29,2620.41,4,104.75,Two year,0
CUST11040026,47,Male,East,Premium,13,3553.0,2,60.77,Month-to-month,0
CUST11040027,27,Other,West,Basic,62,3365.4,2,115.92,Month-to-month,1
CUST11040028,54,Female,West,Premium,35,2054.49,1,43.84,Month-to-month,0
CUST11040029,41,Male,Central,Standard,40,3129.81,6,123.5,Two year,0
CUST11040030,46,Male,Central,Standard,35,4164.85,1,123.91,Month-to-month,0
CUST11040031,63,Male,North,Basic,2,2424.91,2,185.85,Month-to-month,1
CUST11040032,53,Female,East,Premium,39,2368.32,6,177.79,Month-to-month,1
CUST11040033,59,Male,South,Premium,34,3478.42,1,140.11,One year,0
CUST11040034,26,Female,Central,Standard,3,1685.15,4,104.79,Month-to-month,1
CUST11040035,45,Female,West,Basic,33,2834.39,2,97.68,Month-to-month,1
CUST11040036,24,Male,East,Premium,69,3202.07,3,108.92,One year,0
CUST11040037,60,Female,Central,Standard,57,3250.14,3,130.06,One year,0
CUST11040038,59,Female,East,Standard,19,1830.72,1,161.49,Month-to-month,1
CUST11040039,33,Female,West,Basic,55,2288.16,4,116.85,One year,1
CUST11040040,38,Male,North,Standard,4,4292.03,5,54.32,Month-to-month,0
CUST11040041,55,Other,North,Basic,72,1572.76,4,58.63,Month-to-month,1
CUST11040042,63,Female,North,Standard,7,3457.61,3,105.09,Month-to-month,1
CUST11040043,35,Male,East,Premium,42,2437.76,1,125.18,Month-to-month,0
CUST11040044,26,Male,Central,Standard,4,3577.98,3,92.3,One year,1
CUST11040045,33,Male,East,Basic,37,941.23,3,223.24,One year,0
CUST11040046,39,Male,West,Standard,19,2158.36,6,112.22,Month-to-month,1
CUST11040047,25,Male,South,Standard,69,3368.04,3,55.24,Month-to-month,1
CUST11040048,57,Male,Central,Standard,58,3544.41,1,90.21,Month-to-month,0
CUST11040049,44,Male,East,Standard,40,1896.78,4,132.81,Two year,1
CUST11040050,23,Other,West,Basic,26,1667.08,6,92.18,Month-to-month,1
CUST11040051,25,Female,West,Basic,39,3136.68,4,74.13,Month-to-month,1
CUST11040052,64,Female,West,Premium,57,2858.59,3,167.48,Month-to-month,0
CUST11040053,56,Other,West,Enterprise,27,3462.81,3,107.8,Month-to-month,1
CUST11040054,21,Male,West,Basic,17,1196.43,3,218.93,Month-to-month,1
CUST11040055,41,Female,North,Basic,67,4018.49,3,78.28,Month-to-month,1
CUST11040056,64,Male,West,Enterprise,56,3444.81,3,89.29,Month-to-month,0
CUST11040057,61,Female,Central,Standard,58,1432.62,3,133.32,Month-to-month,0
CUST11040058,24,Male,North,Premium,3,3009.6,3,83.19,Month-to-month,1
CUST11040059,64,Female,East,Basic,66,2824.08,5,299.86,Month-to-month,0
CUST11040060,25,Female,East,Standard,54,4128.85,3,135.95,One year,1
CUST11040061,61,Female,West,Standard,3,2609.68,5,124.93,One year,1
CUST11040062,23,Male,North,Basic,8,1121.81,1,138.47,Month-to-month,1
CUST11040063,35,Male,Central,Premium,32,2734.09,4,86.77,Two year,0
CUST11040064,36,Male,West,Premium,41,3437.0,2,108.51,One year,0
CUST11040065,41,Female,West,Standard,41,4790.4,3,90.0,One year,0
CUST11040066,24,Female,Central,Basic,71,2057.37,4,66.62,Month-to-month,1
CUST11040067,46,Male,North,Standard,48,1739.17,3,95.3,One year,1
CUST11040068,48,Female,North,Standard,29,3753.44,4,258.48,Month-to-month,0
