customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1050001,33,Female,North,Basic,33,1402.09,2,136.94,One year,1
CUST1050002,49,Female,East,Basic,50,2354.72,3,87.14,One year,1
CUST1050003,65,Male,North,Basic,31,3054.54,0,94.89,Month-to-month,1
CUST1050004,65,Female,East,Basic,25,2521.76,0,135.96,Month-to-month,1
CUST1050005,52,Male,West,Standard,34,2292.4,3,75.18,Month-to-month,0
CUST1050006,25,Female,West,Premium,64,2549.17,3,133.66,One year,1
CUST1050007,49,Female,North,Enterprise,63,3591.08,1,82.31,Month-to-month,0
CUST1050008,43,Male,North,Standard,41,2192.06,2,107.69,One year,0
CUST1050009,42,Female,East,Standard,64,2014.93,7,164.43,One year,0
CUST1050010,38,Female,East,Standard,5,2211.69,2,139.07,Month-to-month,1
CUST1050011,32,Female,South,Standard,15,2129.44,3,105.29,One year,1
CUST1050012,30,Female,East,Standard,25,2892.07,3,138.55,Two year,0
CUST1050013,51,Female,East,Basic,48,500.0,2,32.95,Month-to-month,0
CUST1050014,60,Female,North,Basic,11,2379.71,0,254.96,Two year,0
CUST1050015,27,Female,South,Enterprise,32,2176.04,3,99.06,Month-to-month,1
CUST1050016,45,Male,West,Basic,44,2735.57,4,98.95,One year,0
CUST1050017,46,Male,East,Enterprise,47,3304.79,2,124.65,Two year,1
CUST1050018,48,Female,East,Standard,19,2883.7,3,92.91,Month-to-month,0
CUST1050019,31,Female,West,Basic,33,2532.18,1,120.58,One year,1
CUST1050020,33,Male,East,Standard,67,1930.36,4,75.17,Month-to-month,0
CUST1050021,38,Female,West,Standard,8,2945.05,0,76.73,One year,1
CUST1050022,46,Female,Central,Standard,40,2842.38,0,108.37,Month-to-month,0
CUST1050023,59,Female,West,Standard,62,2113.5,0,116.78,Month-to-month,1
CUST1050024,54,Female,North,Standard,48,2372.13,2,147.5,Month-to-month,0
CUST1050025,30,Male,East,Premium,40,2689.61,2,103.1,Month-to-month,0
CUST1050026,29,Female,South,Basic,34,1958.3,3,83.11,One year,0
CUST1050027,31,Female,North,Basic,56,1608.47,1,178.92,Month-to-month,1
CUST1050028,32,Female,Central,Premium,9,3557.97,2,169.41,Month-to-month,1
CUST1050029,56,Male,West,Premium,58,2127.07,4,78.19,One year,1
CUST1050030,35,Female,North,Basic,70,2234.94,2,79.07,Two year,0
CUST1050031,32,Female,Central,Basic,46,3679.61,4,49.58,One year,0
CUST1050032,44,Male,Central,Standard,26,3208.91,1,70.58,One year,0
CUST1050033,56,Female,East,Enterprise,22,2655.65,2,70.64,Month-to-month,0
CUST1050034,41,Male,West,Basic,36,1935.57,1,99.56,Month-to-month,0
CUST1050035,21,Male,North,Premium,69,1626.85,1,112.07,Month-to-month,0
CUST1050036,43,Female,East,Basic,29,2333.1,3,60.38,Month-to-month,1
CUST1050037,38,Male,West,Basic,2,899.21,0,114.46,Month-to-month,1
CUST1050038,48,Male,North,Basic,46,2401.48,5,267.26,Month-to-month,1
CUST1050039,61,Male,North,Standard,11,2716.1,0,70.87,One year,1
CUST1050040,56,Female,North,Premium,54,2019.14,1,142.0,Month-to-month,0
CUST1050041,52,Male,East,Premium,34,1443.67,3,168.66,Two year,0
CUST1050042,54,Female,Central,Premium,53,4076.37,3,117.03,One year,0
CUST1050043,38,Female,West,Premium,11,1774.48,0,39.29,Month-to-month,0
CUST1050044,48,Female,West,Standard,35,2037.22,1,139.0,Month-to-month,0
CUST1050045,24,Male,West,Standard,15,2915.95,2,133.6,One year,0
CUST1050046,57,Male,North,Basic,48,3497.95,0,107.99,Month-to-month,0
CUST1050047,57,Male,Central,Standard,64,2937.81,2,138.63,Month-to-month,1
CUST1050048,38,Male,North,Standard,69,2128.55,1,94.67,Month-to-month,0
CUST1050049,42,Male,East,Premium,46,2781.61,1,79.27,One year,0
CUST1050050,36,Female,East,Basic,1,3827.1,2,122.65,Month-to-month,1
CUST1050051,40,Female,East,Standard,1,2515.25,1,110.11,Month-to-month,1
CUST1050052,30,Female,South,Standard,52,2776.56,1,112.96,Two year,0
CUST1050053,58,Female,South,Standard,10,3331.21,3,109.87,One year,1
CUST1050054,53,Female,East,Basic,2,2092.7,3,45.75,One year,1
CUST1050055,27,Male,West,Standard,67,2722.23,2,85.13,One year,0
CUST1050056,37,Male,North,Basic,7,1806.96,5,69.49,Month-to-month,0
CUST1050057,50,Male,North,Standard,8,2404.1,3,163.25,Month-to-month,1
CUST1050058,37,Male,South,Standard,14,1573.26,1,43.03,Month-to-month,0
CUST1050059,43,Male,North,Standard,41,2206.03,0,63.91,One year,1
CUST1050060,49,Male,North,Basic,20,2802.3,3,97.83,Two year,1
CUST1050061,52,Male,South,Standard,55,2606.64,3,130.54,Month-to-month,1
CUST1050062,36,Female,South,Standard,3,2805.09,2,117.19,Month-to-month,1
CUST1050063,21,Male,South,Basic,51,2373.5,2,137.53,Month-to-month,1
CUST1050064,51,Male,Central,Standard,29,1609.76,2,152.73,One year,1
CUST1050065,38,Male,South,Basic,39,1583.24,2,106.49,One year,0
CUST1050066,48,Male,East,Premium,15,3132.65,0,138.04,Two year,0
CUST1050067,57,Female,Central,Basic,59,3059.01,5,143.42,One year,0
CUST1050068,43,Male,South,Standard,67,2378.98,3,164.4,Month-to-month,0
CUST1050069,48,Female,South,Standard,7,2552.01,2,134.19,Two year,0
CUST1050070,49,Male,North,Basic,33,4435.35,3,107.67,Month-to-month,1
CUST1050071,57,Male,South,Standard,33,4073.89,2,67.34,Month-to-month,1
CUST1050072,49,Other,South,Basic,13,2798.43,2,110.99,Month-to-month,0
CUST1050073,25,Female,South,Enterprise,62,2097.2,5,132.82,Month-to-month,0
CUST1050074,36,Female,Central,Premium,61,3390.57,5,74.68,Month-to-month,0
CUST1050075,26,Female,West,Basic,21,2819.27,1,142.29,Month-to-month,1
CUST1050076,50,Female,South,Standard,31,2383.46,0,165.02,Month-to-month,1
CUST1050077,35,Male,South,Basic,8,2158.15,5,137.4,Month-to-month,1
CUST1050078,31,Male,North,Premium,25,3813.8,0,95.17,One year,0
CUST1050079,53,Male,North,Standard,20,3277.98,2,60.24,Month-to-month,0
CUST1050080,32,Male,Central,Standard,21,3255.4,3,259.56,Month-to-month,1
CUST1050081,39,Other,West,Basic,10,2694.23,2,142.05,One year,0
CUST1050082,46,Female,South,Enterprise,48,3127.85,3,121.1,One year,1
CUST1050083,64,Female,North,Standard,13,2995.28,6,79.42,Month-to-month,1
CUST1050084,28,Male,Central,Premium,20,540.67,1,137.65,Month-to-month,0
CUST1050085,49,Female,Central,Standard,27,3164.63,0,96.35,Month-to-month,1
CUST1050086,47,Female,West,Premium,13,3246.79,1,80.19,Month-to-month,1
CUST1050087,46,Male,East,Basic,10,2234.13,2,147.53,One year,0
CUST1050088,59,Male,West,Standard,43,3068.73,4,103.97,Two year,0
CUST1050089,46,Male,North,Standard,6,1900.91,0,104.91,Month-to-month,0
CUST1050090,59,Male,North,Basic,56,2032.18,1,106.12,Two year,0
CUST1050091,46,Female,South,Standard,25,500.0,1,65.76,Month-to-month,0
CUST1050092,35,Female,West,Standard,6,4579.87,0,53.22,Two year,1
CUST1050093,64,Female,East,Standard,67,3117.23,1,87.96,Month-to-month,1
CUST1050094,28,Male,East,Enterprise,71,2800.15,5,171.12,Month-to-month,0
CUST1050095,24,Male,South,Enterprise,41,1804.78,5,102.43,Month-to-month,0
CUST1050096,33,Male,West,Basic,69,1822.61,3,37.66,Two year,0
CUST1050097,57,Female,North,Basic,62,2535.87,2,42.34,Month-to-month,0
CUST1050098,51,Male,Central,Premium,53,3025.03,1,172.98,Month-to-month,0
CUST1050099,51,Male,North,Standard,53,2787.84,0,116.65,One year,0
CUST1050100,46,Male,Central,Premium,4,2014.88,1,138.49,Two year,0
CUST1050101,27,Male,Central,Standard,45,3657.03,0,82.6,Month-to-month,0
CUST1050102,45,Male,Central,Premium,54,3590.36,2,68.01,Two year,0
CUST1050103,25,Male,Central,Premium,31,2524.55,2,92.25,One year,0
CUST1050104,57,Male,South,Basic,44,4842.73,2,198.3,Two year,0
CUST1050105,52,Female,Central,Standard,3,3398.18,0,131.88,Month-to-month,1
CUST1050106,22,Female,South,Standard,45,1835.4,1,80.14,Month-to-month,0
CUST1050107,59,Male,East,Premium,64,2224.11,1,148.76,Month-to-month,0
CUST1050108,60,Male,West,Standard,59,1412.82,0,148.37,Month-to-month,1
CUST1050109,32,Female,South,Standard,2,2780.91,3,129.76,Month-to-month,0
CUST1050110,42,Male,Central,Standard,57,1765.6,4,77.59,One year,0
CUST1050111,42,Male,South,Enterprise,3,3932.41,0,65.23,Month-to-month,1
CUST1050112,40,Female,Central,Basic,39,3422.94,0,112.79,Month-to-month,1
CUST1050113,27,Other,West,Basic,14,3483.29,0,95.94,Two year,0
CUST1050114,53,Male,North,Premium,66,3412.49,3,73.94,Month-to-month,1
CUST1050115,45,Male,East,Premium,43,1616.33,2,90.69,Two year,0
CUST1050116,32,Female,South,Enterprise,11,996.83,2,133.28,Month-to-month,1
CUST1050117,32,Male,West,Enterprise,48,2352.75,2,51.02,One year,1
CUST1050118,62,Female,Central,Standard,24,3148.79,2,109.66,Month-to-month,0
CUST1050119,21,Female,East,Standard,46,2622.93,4,123.86,Month-to-month,1
CUST1050120,48,Male,East,Premium,7,3205.39,3,66.15,Month-to-month,1
CUST1050121,45,Other,South,Basic,70,2173.92,3,125.25,Month-to-month,0
CUST1050122,58,Female,East,Premium,59,2462.53,2,173.25,Month-to-month,0
CUST1050123,57,Male,Central,Standard,56,796.84,0,133.54,Month-to-month,1
CUST1050124,24,Other,North,Basic,18,2531.07,2,56.85,Two year,1
CUST1050125,38,Female,South,Standard,21,1978.93,2,148.54,Month-to-month,0
CUST1050126,27,Male,South,Premium,60,4039.7,0,81.15,Month-to-month,0
CUST1050127,57,Female,North,Premium,3,2890.77,1,150.92,One year,1
CUST1050128,61,Male,North,Standard,23,3546.3,0,136.73,Two year,1
CUST1050129,45,Female,Central,Basic,60,1167.44,2,100.75,One year,1
CUST1050130,25,Male,Central,Standard,55,1374.98,1,70.12,Month-to-month,1
CUST1050131,54,Female,Central,Enterprise,69,1479.95,4,71.07,Month-to-month,0
CUST1050132,54,Female,East,Enterprise,72,2204.42,3,75.57,One year,0
CUST1050133,34,Male,East,Premium,47,2298.76,1,160.1,One year,1
CUST1050134,21,Male,Central,Premium,38,1692.34,5,139.72,Month-to-month,0
CUST1050135,33,Male,East,Premium,12,2660.89,0,78.94,One year,0
CUST1050136,32,Female,East,Standard,13,1330.09,4,132.04,Month-to-month,0
CUST1050137,45,Female,Central,Premium,32,2314.07,5,225.73,Month-to-month,1
CUST1050138,33,Female,North,Standard,60,2773.83,1,109.35,Month-to-month,1
CUST1050139,41,Female,West,Basic,15,2289.06,2,142.05,Two year,0
CUST1050140,58,Female,North,Standard,60,1726.93,5,63.62,One year,0
CUST1050141,25,Male,West,Standard,65,3065.11,0,140.45,Month-to-month,0
CUST1050142,35,Male,East,Basic,43,2151.61,4,80.37,One year,0
CUST1050143,43,Male,East,Standard,51,2318.76,3,144.37,Month-to-month,1
CUST1050144,30,Male,Central,Premium,72,2540.21,1,69.09,Two year,0
CUST1050145,62,Male,Central,Basic,23,2323.96,2,85.9,Two year,1
CUST1050146,21,Female,West,Standard,2,2730.61,2,56.53,Month-to-month,0
CUST1050147,50,Female,West,Premium,65,1066.6,3,126.54,Month-to-month,0
CUST1050148,34,Male,East,Basic,10,2562.38,3,119.45,Month-to-month,1
CUST1050149,46,Male,West,Standard,58,1316.24,4,159.27,One year,1
CUST1050150,60,Male,North,Basic,27,2015.26,2,188.55,One year,1
CUST1050151,33,Male,West,Premium,54,4320.38,1,88.77,Month-to-month,1
CUST1050152,45,Male,North,Enterprise,5,3081.79,1,60.51,One year,1
CUST1050153,48,Male,West,Standard,44,2872.98,3,91.39,Month-to-month,0
CUST1050154,22,Female,South,Premium,27,3169.39,1,76.29,One year,0
CUST1050155,49,Female,West,Standard,44,2109.61,2,191.29,Month-to-month,0
CUST1050156,24,Female,North,Premium,66,2270.45,0,94.11,One year,0
CUST1050157,26,Female,South,Enterprise,5,2151.78,0,95.44,One year,0
CUST1050158,32,Male,West,Basic,29,3374.24,3,53.7,Month-to-month,1
CUST1050159,27,Female,North,Enterprise,35,891.67,4,159.37,One year,0
CUST1050160,55,Female,East,Enterprise,69,3110.25,4,198.93,One year,0
CUST1050161,44,Male,Central,Basic,66,1691.14,4,53.0,Two year,1
CUST1050162,29,Female,North,Basic,6,2566.5,3,56.97,One year,1
CUST1050163,53,Female,Central,Premium,38,2274.32,3,93.4,Month-to-month,1
CUST1050164,21,Male,East,Enterprise,37,1714.3,4,86.21,Month-to-month,1
CUST1050165,55,Female,Central,Enterprise,43,1709.08,2,254.62,Month-to-month,0
CUST1050166,65,Male,South,Standard,52,1119.0,5,116.67,Month-to-month,0
CUST1050167,45,Male,East,Standard,3,3233.43,5,87.39,One year,0
CUST1050168,63,Male,South,Standard,61,2767.11,2,78.0,Month-to-month,0
CUST1050169,65,Female,West,Standard,58,2422.41,3,118.84,Month-to-month,0
CUST1050170,49,Female,East,Enterprise,27,2367.07,3,133.58,One year,0
CUST1050171,35,Male,Central,Premium,58,3647.66,0,89.81,Two year,0
CUST1050172,30,Male,East,Premium,39,1883.3,6,48.31,One year,0
CUST1050173,37,Male,West,Premium,57,1663.0,2,76.94,Month-to-month,0
CUST1050174,47,Male,North,Basic,14,2411.96,3,96.92,Month-to-month,1
CUST1050175,44,Male,South,Enterprise,33,2458.94,3,117.73,Month-to-month,1
CUST1050176,31,Male,North,Basic,31,2634.09,2,158.95,Month-to-month,1
CUST1050177,58,Female,North,Standard,60,2852.07,3,77.51,Month-to-month,1
CUST1050178,50,Other,Central,Standard,13,1147.1,1,107.61,Two year,0
CUST1050179,52,Male,East,Basic,51,2620.38,2,178.52,One year,1
CUST1050180,22,Male,West,Premium,53,3503.56,1,203.17,Two year,0
CUST1050181,33,Female,South,Standard,37,4169.89,2,170.24,Two year,0
CUST1050182,54,Male,West,Standard,10,3246.28,0,136.22,Month-to-month,1
CUST1050183,34,Female,East,Enterprise,53,1569.67,2,55.54,One year,0
CUST1050184,61,Female,South,Enterprise,58,2687.0,2,165.59,Month-to-month,0
CUST1050185,36,Female,East,Basic,17,2274.6,2,86.49,Month-to-month,0
CUST1050186,57,Female,North,Enterprise,58,4415.9,6,138.42,Month-to-month,1
CUST1050187,39,Male,Central,Basic,52,1304.05,1,173.74,Two year,0
CUST1050188,31,Female,Central,Basic,12,2607.2,2,87.84,Month-to-month,0
CUST1050189,46,Male,Central,Standard,13,4138.72,1,68.73,Month-to-month,1
CUST1050190,24,Female,West,Basic,34,1219.84,2,190.84,Two year,0
CUST1050191,35,Female,North,Standard,19,2412.24,2,158.01,One year,1
CUST1050192,64,Female,Central,Basic,2,1243.4,1,78.25,One year,1
CUST1050193,60,Female,Central,Basic,30,2739.44,1,136.91,One year,1
CUST1050194,41,Female,East,Premium,37,2921.56,1,92.96,Month-to-month,1
