customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11050001,64,Female,Central,Premium,12,2923.07,0,152.35,One year,0
CUST11050002,50,Male,North,Basic,22,3617.91,4,45.14,Month-to-month,0
CUST11050003,62,Female,Central,Basic,20,2126.7,3,134.65,One year,1
CUST11050004,44,Female,South,Enterprise,64,1291.3,1,128.06,Month-to-month,0
CUST11050005,37,Male,Central,Basic,53,2477.34,2,78.65,Month-to-month,1
CUST11050006,42,Male,West,Premium,54,2895.28,2,47.71,Month-to-month,1
CUST11050007,23,Male,South,Basic,15,4669.33,4,169.39,Two year,1
CUST11050008,39,Male,North,Enterprise,40,3117.97,3,87.0,One year,0
CUST11050009,48,Female,Central,Standard,35,3796.03,4,160.4,Month-to-month,0
CUST11050010,55,Male,North,Standard,29,4140.12,4,134.92,One year,0
CUST11050011,34,Female,North,Basic,8,2062.24,6,58.78,Month-to-month,1
CUST11050012,39,Male,East,Standard,63,3241.92,3,29.27,One year,0
CUST11050013,62,Male,East,Basic,22,4103.02,7,41.03,One year,1
CUST11050014,43,Male,North,Basic,3,1307.34,4,165.49,Month-to-month,1
CUST11050015,58,Female,North,Standard,59,1666.05,2,95.14,Month-to-month,0
CUST11050016,27,Male,West,Basic,19,2851.4,3,214.11,One year,0
CUST11050017,31,Female,West,Premium,4,2874.27,1,157.34,Month-to-month,0
CUST11050018,33,Female,Central,Basic,38,4011.36,1,59.57,Month-to-month,1
CUST11050019,61,Female,West,Standard,51,2967.17,2,76.14,Month-to-month,0
CUST11050020,37,Male,West,Standard,46,2976.66,2,149.8,One year,0
CUST11050021,48,Female,North,Enterprise,32,2680.78,3,122.17,Month-to-month,0
CUST11050022,57,Female,East,Standard,11,2508.37,3,75.43,One year,0
CUST11050023,59,Male,Central,Standard,6,1721.45,2,186.49,One year,1
CUST11050024,55,Male,East,Premium,9,4721.24,6,59.93,Month-to-month,1
CUST11050025,48,Female,North,Standard,63,5234.04,1,74.93,Month-to-month,0
CUST11050026,44,Female,Central,Premium,16,3425.96,3,165.4,One year,0
CUST11050027,30,Male,East,Basic,30,2581.85,4,119.85,Month-to-month,0
CUST11050028,25,Female,West,Basic,27,2250.73,2,95.96,Month-to-month,0
CUST11050029,21,Male,North,Premium,5,3255.21,4,128.93,Month-to-month,1
CUST11050030,21,Female,East,Premium,66,3128.33,5,88.14,One year,0
CUST11050031,27,Female,North,Standard,5,3725.51,1,147.71,Month-to-month,1
CUST11050032,57,Female,West,Enterprise,72,2708.48,10,72.55,Month-to-month,0
CUST11050033,30,Female,South,Premium,65,3085.3,5,80.84,One year,0
CUST11050034,60,Male,East,Basic,29,2729.58,3,78.24,Month-to-month,1
CUST11050035,46,Female,South,Basic,34,2164.61,1,80.53,Month-to-month,1
CUST11050036,43,Female,Central,Standard,49,1429.97,1,147.0,Month-to-month,0
CUST11050037,38,Female,South,Premium,1,3422.97,6,123.95,One year,1
CUST11050038,36,Female,East,Premium,36,1559.99,0,123.06,Month-to-month,0
CUST11050039,24,Female,North,Premium,54,2388.78,1,119.13,One year,0
CUST11050040,34,Female,Central,Premium,15,1789.84,3,177.23,Two year,1
CUST11050041,27,Female,East,Standard,13,3869.42,3,92.75,One year,1
CUST11050042,35,Female,West,Enterprise,7,2698.21,4,118.78,Month-to-month,1
CUST11050043,40,Female,East,Enterprise,65,2170.16,4,80.36,One year,0
CUST11050044,47,Female,East,Basic,42,2483.45,2,248.14,Month-to-month,1
CUST11050045,57,Male,North,Standard,16,2960.8,1,109.4,One year,0
CUST11050046,43,Female,West,Premium,19,4351.54,2,199.63,Month-to-month,0
CUST11050047,44,Female,Central,Standard,2,2974.71,2,129.76,Two year,0
CUST11050048,26,Male,South,Basic,62,2759.47,2,90.85,One year,1
CUST11050049,42,Female,South,Standard,66,2013.58,2,134.88,Month-to-month,1
CUST11050050,54,Male,East,Standard,35,2262.86,4,113.36,Month-to-month,1
CUST11050051,28,Male,South,Premium,14,4687.68,9,106.45,Month-to-month,1
CUST11050052,55,Female,West,Standard,15,3400.65,5,92.64,Month-to-month,1
CUST11050053,59,Female,Central,Standard,31,4276.96,2,119.48,Two year,0
CUST11050054,55,Female,West,Premium,18,1077.58,3,165.3,Month-to-month,0
CUST11050055,51,Male,North,Premium,40,3219.74,4,85.94,Month-to-month,1
CUST11050056,48,Male,East,Basic,6,1399.99,4,89.24,Two year,1
CUST11050057,28,Male,North,Premium,61,2208.74,2,90.4,One year,0
CUST11050058,28,Male,North,Enterprise,60,3140.82,1,71.83,Month-to-month,1
CUST11050059,65,Male,East,Standard,4,3544.46,5,70.8,Month-to-month,1
CUST11050060,55,Female,North,Premium,58,2965.53,3,88.05,One year,0
CUST11050061,58,Male,East,Standard,53,3327.96,3,94.05,Month-to-month,1
CUST11050062,45,Male,West,Standard,42,2636.41,3,117.99,Two year,0
CUST11050063,24,Female,East,Enterprise,10,3026.38,2,34.06,One year,1
CUST11050064,25,Male,North,Basic,60,856.81,7,176.25,Month-to-month,1
CUST11050065,28,Male,Central,Enterprise,32,3139.78,7,65.04,Month-to-month,1
CUST11050066,35,Female,South,Standard,68,2276.0,1,132.52,Month-to-month,0
CUST11050067,61,Female,Central,Standard,37,2800.97,4,129.88,Month-to-month,1
CUST11050068,42,Female,West,Basic,33,4538.16,7,150.83,Month-to-month,1
CUST11050069,64,Other,South,Standard,65,3440.56,3,94.25,Two year,1
CUST11050070,39,Male,Central,Standard,24,2280.85,2,51.52,Month-to-month,1
CUST11050071,58,Female,West,Standard,15,500.0,5,123.78,Month-to-month,1
CUST11050072,26,Female,East,Standard,3,3191.45,4,94.36,Month-to-month,1
CUST11050073,34,Female,Central,Standard,1,3096.57,1,150.48,Month-to-month,0
CUST11050074,52,Male,West,Standard,3,1944.36,1,25.41,Two year,1
CUST11050075,47,Male,North,Premium,33,4537.25,4,162.19,One year,0
CUST11050076,62,Male,Central,Enterprise,44,2819.8,3,134.88,Month-to-month,0
CUST11050077,65,Female,South,Standard,48,2530.95,5,135.41,One year,0
CUST11050078,43,Male,South,Standard,34,3239.01,0,66.91,One year,1
CUST11050079,59,Male,North,Basic,44,3211.48,6,137.64,One year,0
CUST11050080,57,Female,Central,Premium,25,2920.88,3,121.76,Month-to-month,1
CUST11050081,35,Male,West,Basic,27,4597.14,1,99.39,Two year,1
CUST11050082,36,Male,North,Standard,18,2848.7,2,80.26,Month-to-month,0
CUST11050083,51,Other,East,Premium,19,1197.85,0,146.56,Month-to-month,0
CUST11050084,40,Male,Central,Standard,26,3306.23,3,137.62,One year,0
CUST11050085,34,Female,West,Standard,55,2643.52,1,114.45,One year,0
CUST11050086,59,Male,East,Premium,10,2702.87,3,163.49,Two year,0
CUST11050087,26,Female,North,Basic,4,4642.34,2,134.72,Two year,0
CUST11050088,39,Female,West,Basic,68,4389.69,1,55.44,Month-to-month,0
CUST11050089,35,Male,Central,Enterprise,31,1545.55,1,173.78,One year,0
CUST11050090,62,Male,Central,Basic,48,2651.55,4,113.73,One year,1
CUST11050091,38,Female,Central,Standard,19,3259.46,2,113.23,Month-to-month,1
CUST11050092,60,Other,South,Premium,66,2420.53,0,129.27,Month-to-month,0
CUST11050093,54,Female,South,Enterprise,60,3140.23,1,95.31,Month-to-month,0
CUST11050094,44,Female,East,Basic,13,2236.83,5,118.88,Month-to-month,1
CUST11050095,44,Male,Central,Premium,46,1079.99,4,163.62,One year,1
CUST11050096,25,Female,West,Basic,28,1670.51,3,71.57,Two year,0
CUST11050097,46,Female,East,Premium,48,3083.67,4,84.52,One year,0
CUST11050098,41,Male,Central,Standard,18,3270.16,2,67.53,Month-to-month,0
CUST11050099,56,Male,South,Standard,4,4239.19,2,121.09,Month-to-month,0
CUST11050100,26,Other,North,Premium,1,4289.23,1,51.58,Month-to-month,0
CUST11050101,43,Other,East,Premium,36,2016.96,2,145.24,Two year,0
CUST11050102,22,Male,East,Standard,30,2532.83,7,61.81,Month-to-month,1
CUST11050103,45,Male,East,Premium,67,3535.34,2,117.46,Month-to-month,0
CUST11050104,64,Male,North,Basic,11,4698.82,1,103.9,Month-to-month,1
CUST11050105,57,Female,West,Standard,24,3843.24,5,88.11,One year,1
CUST11050106,63,Female,West,Standard,15,4085.13,5,55.3,One year,0
CUST11050107,24,Male,East,Standard,8,4159.19,3,174.9,One year,1
CUST11050108,51,Male,East,Standard,2,4011.67,1,97.81,One year,1
CUST11050109,37,Female,West,Standard,70,1818.79,2,104.77,Month-to-month,0
CUST11050110,36,Female,South,Basic,56,2629.63,0,70.34,Month-to-month,0
CUST11050111,29,Female,North,Premium,71,3737.84,2,95.13,Month-to-month,1
CUST11050112,35,Female,South,Premium,9,2382.35,1,73.19,One year,1
CUST11050113,48,Female,South,Basic,8,2594.3,2,167.33,One year,1
CUST11050114,21,Male,East,Standard,1,2581.42,5,111.71,Two year,0
CUST11050115,44,Male,West,Standard,30,1701.71,5,207.46,One year,0
CUST11050116,37,Male,North,Premium,45,2492.21,4,105.8,One year,0
CUST11050117,27,Female,West,Premium,24,2901.01,3,101.79,Month-to-month,0
CUST11050118,33,Male,East,Basic,69,3228.03,3,72.09,Two year,0
CUST11050119,62,Male,West,Enterprise,28,3370.44,3,78.63,One year,1
CUST11050120,42,Female,West,Premium,64,2196.19,4,58.88,One year,1
CUST11050121,24,Female,West,Premium,8,3106.35,2,225.46,One year,0
CUST11050122,53,Male,East,Standard,68,1786.21,4,75.46,Month-to-month,1
CUST11050123,58,Female,North,Basic,12,1858.62,3,180.17,Month-to-month,1
CUST11050124,50,Female,West,Basic,3,3095.88,1,65.64,Month-to-month,1
CUST11050125,34,Male,South,Standard,47,1638.34,4,89.44,Month-to-month,0
CUST11050126,59,Female,East,Basic,63,4159.14,0,167.54,One year,0
CUST11050127,43,Female,West,Premium,36,2560.86,1,131.17,One year,0
CUST11050128,22,Male,West,Standard,16,1524.3,3,70.97,Two year,0
CUST11050129,41,Female,North,Basic,51,3102.57,3,188.89,Month-to-month,1
CUST11050130,42,Female,West,Basic,19,3221.08,3,52.86,Month-to-month,0
CUST11050131,50,Male,South,Standard,47,2053.13,1,70.73,One year,0
CUST11050132,21,Female,East,Premium,39,1777.64,4,103.91,Month-to-month,0
CUST11050133,39,Female,East,Standard,67,2247.87,3,182.02,Month-to-month,0
CUST11050134,44,Male,Central,Basic,51,2510.33,4,147.24,One year,0
CUST11050135,38,Male,North,Standard,38,814.88,2,85.71,One year,0
CUST11050136,43,Male,Central,Standard,51,1595.89,3,124.88,Month-to-month,1
CUST11050137,59,Male,Central,Basic,59,1605.66,0,230.73,Two year,0
CUST11050138,46,Male,South,Basic,61,3222.15,4,85.44,Month-to-month,0
CUST11050139,38,Male,West,Basic,63,2679.79,4,123.79,Two year,0
CUST11050140,50,Female,South,Standard,54,1999.81,2,77.36,Month-to-month,1
CUST11050141,63,Female,West,Basic,56,3032.19,7,110.07,Month-to-month,1
CUST11050142,64,Male,North,Standard,39,2679.25,3,185.63,Month-to-month,1
CUST11050143,60,Female,South,Premium,37,3356.46,4,216.71,One year,0
CUST11050144,65,Female,Central,Standard,46,2594.43,1,96.42,Month-to-month,0
CUST11050145,42,Male,South,Basic,38,2440.72,2,171.52,Two year,0
CUST11050146,22,Male,North,Basic,42,3507.82,0,111.54,Two year,0
CUST11050147,49,Other,North,Premium,51,3114.43,3,152.15,Month-to-month,1
CUST11050148,50,Male,South,Standard,54,2287.06,6,136.65,Two year,0
CUST11050149,46,Female,East,Enterprise,61,3625.74,5,119.71,Month-to-month,1
CUST11050150,30,Male,Central,Standard,62,3022.25,8,108.8,One year,0
CUST11050151,64,Male,South,Basic,6,1861.91,1,85.24,Month-to-month,1
