customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11070001,55,Male,North,Standard,63,2182.64,0,112.07,Month-to-month,1
CUST11070002,53,Male,East,Premium,3,1562.89,5,147.73,Month-to-month,0
CUST11070003,42,Male,West,Basic,38,2811.79,2,142.17,One year,0
CUST11070004,43,Male,South,Premium,9,3444.6,4,89.12,One year,0
CUST11070005,39,Male,Central,Basic,9,2671.06,1,182.52,Month-to-month,1
CUST11070006,28,Male,Central,Standard,25,2282.61,3,37.98,One year,0
CUST11070007,28,Female,West,Basic,25,2564.46,3,125.11,Month-to-month,0
CUST11070008,49,Female,East,Premium,21,500.0,1,65.93,Month-to-month,1
CUST11070009,51,Male,West,Premium,72,1619.35,4,158.68,One year,0
CUST11070010,59,Male,East,Basic,32,2515.99,5,99.31,Month-to-month,1
CUST11070011,63,Female,West,Basic,41,4828.49,3,101.23,Month-to-month,1
CUST11070012,52,Male,Central,Premium,30,3058.16,2,42.72,Two year,1
CUST11070013,31,Female,North,Standard,55,3500.0,4,137.75,Month-to-month,1
CUST11070014,58,Female,Central,Enterprise,16,2937.65,2,81.8,Month-to-month,1
CUST11070015,30,Female,West,Standard,31,3860.58,2,145.72,Month-to-month,1
CUST11070016,62,Female,North,Basic,46,3030.74,5,107.76,Month-to-month,1
CUST11070017,58,Male,South,Standard,55,1921.33,6,70.81,One year,1
CUST11070018,36,Male,West,Premium,63,2191.39,3,110.36,Month-to-month,0
CUST11070019,48,Female,East,Basic,50,2590.72,2,74.53,Month-to-month,0
CUST11070020,42,Other,North,Premium,21,2258.7,1,119.33,Month-to-month,1
CUST11070021,44,Female,Central,Premium,48,3851.82,2,225.4,One year,1
CUST11070022,59,Male,Central,Premium,31,4076.25,3,227.81,One year,1
CUST11070023,37,Male,East,Basic,25,5443.95,0,186.03,Month-to-month,1
CUST11070024,40,Male,West,Enterprise,46,3707.6,3,165.43,Month-to-month,1
CUST11070025,29,Male,West,Standard,37,1833.48,5,109.35,Two year,0
CUST11070026,53,Female,West,Basic,62,2013.25,1,199.46,Month-to-month,0
CUST11070027,54,Female,South,Premium,61,3862.13,3,182.82,Two year,0
CUST11070028,43,Female,Central,Premium,3,1872.22,4,170.07,One year,1
CUST11070029,41,Female,West,Premium,7,1648.75,3,166.09,One year,0
CUST11070030,25,Male,East,Standard,52,2891.15,2,216.35,Month-to-month,0
CUST11070031,21,Female,East,Basic,2,2773.93,5,67.3,Month-to-month,1
CUST11070032,31,Female,Central,Basic,33,3587.39,4,71.85,Month-to-month,1
CUST11070033,35,Male,South,Basic,4,4198.66,1,50.24,Month-to-month,1
CUST11070034,28,Male,West,Premium,34,2827.44,5,86.88,Month-to-month,0
CUST11070035,24,Female,South,Standard,2,1849.68,2,80.52,Month-to-month,0
CUST11070036,59,Male,East,Premium,64,4273.62,6,142.01,One year,1
CUST11070037,53,Male,Central,Basic,37,2591.23,3,132.49,Month-to-month,0
CUST11070038,44,Male,North,Premium,34,4266.26,3,62.68,One year,1
CUST11070039,57,Female,West,Standard,3,2920.3,3,91.99,Month-to-month,0
CUST11070040,32,Male,East,Basic,14,1945.44,3,119.44,Month-to-month,1
CUST11070041,59,Other,Central,Standard,25,3053.51,0,211.79,Month-to-month,0
CUST11070042,41,Female,East,Standard,7,3437.07,5,50.87,One year,1
CUST11070043,56,Female,West,Standard,40,2216.58,3,149.56,Two year,1
CUST11070044,62,Female,East,Standard,46,2905.86,2,162.9,Two year,0
CUST11070045,27,Other,East,Basic,20,4374.54,1,123.74,Month-to-month,0
CUST11070046,36,Male,North,Basic,51,4141.72,1,105.43,One year,1
CUST11070047,62,Male,West,Basic,51,4265.9,5,85.5,One year,1
CUST11070048,32,Male,South,Premium,14,3222.72,0,157.65,Month-to-month,0
CUST11070049,45,Female,West,Standard,14,3011.35,2,91.17,Month-to-month,1
CUST11070050,58,Male,West,Enterprise,14,2160.97,4,156.24,Month-to-month,1
CUST11070051,38,Female,West,Enterprise,54,904.15,3,118.23,One year,0
CUST11070052,51,Male,West,Premium,19,3424.51,5,42.04,Month-to-month,0
CUST11070053,26,Female,East,Basic,65,2768.68,2,134.7,Two year,0
