customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1080001,21,Other,North,Basic,38,1961.15,2,84.04,Month-to-month,1
CUST1080002,59,Male,East,Premium,68,1982.46,4,225.09,Month-to-month,0
CUST1080003,64,Female,West,Standard,16,2396.55,1,90.13,One year,0
CUST1080004,49,Male,West,Basic,22,2217.32,7,100.42,Month-to-month,1
CUST1080005,28,Male,North,Basic,62,3369.27,2,129.49,Month-to-month,1
CUST1080006,26,Female,South,Basic,72,4610.63,2,107.93,Two year,0
CUST1080007,22,Male,West,Standard,51,500.0,2,142.04,Two year,0
CUST1080008,36,Male,South,Premium,68,2373.18,4,219.36,One year,1
CUST1080009,59,Male,Central,Basic,6,2560.95,1,145.86,Month-to-month,1
CUST1080010,31,Male,West,Basic,70,3037.48,2,121.95,One year,1
CUST1080011,58,Male,North,Basic,33,3669.84,1,250.3,Two year,0
CUST1080012,24,Female,North,Basic,1,3242.84,2,180.85,One year,0
CUST1080013,23,Female,East,Premium,39,3471.55,1,81.3,Month-to-month,0
CUST1080014,42,Female,Central,Premium,64,1864.9,6,124.61,One year,1
CUST1080015,27,Female,Central,Standard,18,881.85,3,140.11,One year,1
CUST1080016,61,Female,West,Premium,4,2107.31,3,63.99,One year,0
CUST1080017,34,Male,East,Standard,11,1895.09,1,30.37,Month-to-month,1
CUST1080018,40,Female,Central,Standard,12,3372.46,2,101.75,One year,1
CUST1080019,22,Female,East,Basic,70,2903.33,0,92.08,Month-to-month,1
CUST1080020,48,Male,West,Basic,16,3022.07,0,89.22,One year,1
CUST1080021,52,Male,Central,Basic,54,2026.75,1,152.0,Two year,0
CUST1080022,44,Female,West,Premium,9,1987.26,2,123.21,One year,0
CUST1080023,38,Male,West,Basic,56,1714.81,2,118.56,Month-to-month,1
CUST1080024,45,Other,West,Premium,57,3786.82,0,61.72,Two year,0
CUST1080025,35,Female,West,Standard,24,2670.05,1,68.98,Two year,0
CUST1080026,39,Male,Central,Basic,56,3166.32,2,167.23,Month-to-month,0
CUST1080027,40,Male,South,Basic,63,1666.33,1,49.84,One year,1
CUST1080028,26,Female,South,Basic,9,2936.13,3,135.33,Month-to-month,0
CUST1080029,44,Male,West,Standard,54,4496.85,1,105.17,Two year,0
CUST1080030,65,Female,West,Basic,39,1626.29,1,73.49,Two year,1
CUST1080031,64,Male,East,Enterprise,7,1720.02,1,93.07,Two year,0
CUST1080032,29,Female,West,Standard,51,628.1,0,90.38,One year,0
CUST1080033,22,Female,South,Standard,12,2751.35,0,39.3,Month-to-month,0
CUST1080034,36,Female,West,Premium,71,2972.81,3,74.37,One year,1
CUST1080035,56,Male,Central,Basic,27,1114.98,2,96.13,Two year,1
CUST1080036,31,Female,Central,Enterprise,50,3056.91,5,140.48,Two year,1
CUST1080037,22,Male,South,Standard,59,4014.04,0,112.92,One year,0
CUST1080038,52,Male,North,Premium,14,2034.43,2,76.13,Two year,0
CUST1080039,54,Female,Central,Basic,63,2032.85,3,78.11,Two year,1
CUST1080040,59,Male,West,Enterprise,58,2442.08,6,212.55,One year,0
CUST1080041,35,Male,West,Standard,16,4586.72,3,125.42,One year,1
CUST1080042,24,Female,East,Basic,38,1654.86,0,75.02,Month-to-month,1
CUST1080043,36,Female,South,Standard,48,4486.01,0,224.55,One year,1
CUST1080044,48,Female,North,Standard,15,3884.46,1,144.48,One year,0
CUST1080045,35,Female,South,Basic,50,2107.59,0,84.45,Month-to-month,1
CUST1080046,25,Male,North,Basic,25,2605.26,1,102.6,Two year,1
CUST1080047,35,Female,North,Standard,19,2457.12,2,156.86,Month-to-month,0
CUST1080048,61,Female,West,Standard,54,2782.86,3,114.64,Month-to-month,1
CUST1080049,53,Female,North,Standard,52,4190.09,3,133.44,Month-to-month,1
CUST1080050,37,Female,South,Basic,40,2688.77,3,179.94,One year,0
CUST1080051,48,Male,Central,Enterprise,68,2080.53,0,65.61,Month-to-month,0
CUST1080052,54,Female,North,Standard,50,2652.19,1,155.01,One year,0
CUST1080053,25,Male,South,Premium,36,4466.2,3,77.98,One year,1
CUST1080054,49,Male,North,Standard,33,2558.9,2,50.15,One year,0
CUST1080055,44,Other,East,Basic,38,1899.25,0,41.67,Month-to-month,0
CUST1080056,60,Male,South,Basic,23,2265.16,4,58.75,Month-to-month,0
CUST1080057,64,Male,West,Premium,40,1869.79,2,66.81,Month-to-month,1
CUST1080058,44,Male,West,Premium,45,3747.58,3,98.93,Month-to-month,0
CUST1080059,33,Male,Central,Basic,33,2387.58,3,38.55,Month-to-month,0
CUST1080060,34,Female,North,Basic,31,2947.63,2,88.35,One year,0
CUST1080061,56,Male,Central,Basic,59,1068.33,1,124.96,Month-to-month,1
CUST1080062,57,Male,East,Standard,29,1946.88,1,131.11,One year,0
CUST1080063,25,Male,North,Enterprise,6,3289.46,3,96.91,Month-to-month,1
CUST1080064,36,Female,Central,Basic,35,3596.07,1,122.27,Month-to-month,0
CUST1080065,52,Female,Central,Standard,47,1149.64,3,71.93,Month-to-month,1
CUST1080066,37,Male,West,Basic,71,1553.49,2,44.6,Month-to-month,1
CUST1080067,65,Female,Central,Standard,11,2519.25,4,106.4,Two year,0
CUST1080068,27,Female,East,Standard,33,953.57,3,83.22,Month-to-month,1
CUST1080069,39,Other,Central,Standard,40,1477.55,2,116.8,Month-to-month,1
CUST1080070,31,Female,North,Premium,28,1880.11,1,133.6,One year,1
CUST1080071,55,Male,North,Standard,49,2764.49,2,91.63,Month-to-month,1
CUST1080072,37,Female,North,Standard,7,2186.27,3,128.4,One year,1
CUST1080073,46,Female,North,Standard,50,2741.9,4,122.13,Two year,1
CUST1080074,63,Male,North,Standard,60,2558.68,0,68.2,One year,0
CUST1080075,56,Male,South,Premium,18,1891.33,0,190.33,Month-to-month,0
CUST1080076,63,Male,East,Standard,13,4248.23,1,155.08,Month-to-month,0
CUST1080077,43,Male,South,Standard,68,2202.05,0,57.88,Month-to-month,1
CUST1080078,37,Male,Central,Standard,20,3372.96,2,176.71,Month-to-month,1
CUST1080079,62,Female,East,Standard,12,3747.54,1,65.07,One year,1
CUST1080080,26,Female,Central,Standard,50,1365.34,1,89.41,Month-to-month,0
CUST1080081,55,Female,Central,Enterprise,4,2867.08,3,116.51,Month-to-month,0
CUST1080082,32,Female,South,Standard,32,2541.85,3,125.51,Month-to-month,1
CUST1080083,47,Female,Central,Standard,18,1067.09,7,89.17,Two year,1
CUST1080084,49,Female,North,Basic,47,500.0,1,140.81,Two year,0
CUST1080085,48,Male,East,Basic,21,2956.46,1,61.02,Month-to-month,1
CUST1080086,23,Female,South,Enterprise,27,2954.89,2,134.71,One year,1
CUST1080087,21,Male,East,Standard,16,2883.63,0,119.38,Two year,1
CUST1080088,45,Male,West,Basic,2,1492.14,1,122.82,Month-to-month,1
CUST1080089,39,Male,Central,Premium,55,1549.14,3,134.71,One year,1
CUST1080090,41,Female,South,Premium,9,721.82,1,99.29,Month-to-month,0
CUST1080091,33,Male,South,Enterprise,33,971.91,3,69.94,One year,1
CUST1080092,47,Male,Central,Basic,31,2823.89,1,45.34,One year,1
CUST1080093,44,Female,East,Enterprise,68,2608.66,2,147.81,Month-to-month,0
CUST1080094,26,Female,North,Premium,51,4315.78,2,59.37,Month-to-month,1
CUST1080095,32,Female,East,Basic,4,2736.41,3,121.4,Month-to-month,1
CUST1080096,63,Female,North,Premium,69,2115.29,2,113.5,Two year,0
CUST1080097,31,Female,East,Basic,7,1738.18,1,101.22,Two year,1
CUST1080098,62,Male,South,Enterprise,69,1900.37,2,132.49,One year,1
CUST1080099,62,Female,East,Premium,10,1536.09,0,116.32,Month-to-month,1
CUST1080100,26,Female,Central,Standard,44,2637.89,3,124.28,Two year,0
CUST1080101,46,Female,West,Basic,44,4583.4,1,164.05,One year,0
CUST1080102,62,Male,West,Enterprise,28,2336.22,3,80.04,Month-to-month,0
CUST1080103,38,Male,West,Basic,36,2470.86,2,74.65,Month-to-month,0
CUST1080104,40,Female,West,Premium,64,2910.19,3,111.57,Two year,0
CUST1080105,65,Male,Central,Enterprise,47,1987.0,0,153.67,One year,0
CUST1080106,25,Female,Central,Basic,6,1699.4,3,143.46,One year,1
CUST1080107,46,Male,Central,Basic,61,2280.91,4,115.87,One year,1
CUST1080108,58,Female,West,Enterprise,72,4429.02,2,157.07,Month-to-month,0
CUST1080109,26,Male,North,Basic,51,2012.54,1,84.91,Month-to-month,0
CUST1080110,51,Female,North,Standard,46,1371.09,1,200.21,Two year,0
CUST1080111,43,Female,West,Enterprise,25,3143.12,2,152.91,One year,1
CUST1080112,33,Female,East,Premium,61,1596.98,0,112.84,Month-to-month,0
CUST1080113,65,Female,East,Basic,41,1415.5,4,92.61,Month-to-month,0
CUST1080114,24,Male,Central,Standard,21,3515.42,2,92.16,Two year,0
CUST1080115,59,Female,South,Premium,66,2829.95,2,97.64,Month-to-month,0
CUST1080116,37,Male,Central,Basic,43,3223.28,0,100.24,Month-to-month,0
CUST1080117,60,Female,South,Basic,23,3275.58,0,110.53,One year,1
CUST1080118,26,Female,North,Premium,41,2357.89,0,64.67,Month-to-month,0
CUST1080119,37,Male,East,Premium,18,1633.8,3,111.91,Two year,0
CUST1080120,51,Male,Central,Standard,6,2805.95,4,108.11,One year,1
CUST1080121,65,Female,Central,Basic,41,2050.81,0,158.14,Month-to-month,0
CUST1080122,49,Male,East,Standard,14,2797.72,3,149.6,Month-to-month,0
CUST1080123,31,Female,South,Basic,16,2199.82,2,105.81,Month-to-month,1
CUST1080124,46,Male,West,Basic,42,3278.84,4,91.82,One year,1
CUST1080125,56,Female,West,Basic,3,2230.11,5,107.05,One year,0
CUST1080126,34,Male,East,Basic,16,2442.03,0,120.17,Two year,0
CUST1080127,24,Male,East,Premium,61,1895.98,4,94.32,Two year,0
CUST1080128,34,Male,West,Basic,55,1573.25,3,64.41,Month-to-month,0
CUST1080129,25,Male,East,Enterprise,55,3013.51,4,81.03,Month-to-month,0
CUST1080130,36,Male,North,Standard,72,1921.4,3,124.44,One year,1
CUST1080131,54,Female,West,Basic,21,5153.54,2,92.02,Two year,0
CUST1080132,32,Female,East,Standard,28,1151.35,2,154.02,Two year,0
CUST1080133,47,Male,East,Enterprise,36,1118.35,7,88.13,Month-to-month,1
CUST1080134,25,Male,East,Basic,19,2275.36,0,80.18,Month-to-month,1
CUST1080135,30,Male,East,Standard,35,2136.66,2,127.96,Month-to-month,1
CUST1080136,40,Male,South,Premium,46,3932.43,2,80.3,One year,0
CUST1080137,41,Male,North,Standard,45,4071.53,2,106.91,Two year,0
CUST1080138,22,Female,North,Standard,63,2165.91,0,51.77,One year,1
CUST1080139,26,Female,West,Basic,53,3586.95,3,113.34,One year,0
CUST1080140,42,Male,West,Premium,14,2979.74,1,100.74,Month-to-month,1
CUST1080141,63,Female,Central,Basic,20,2264.15,4,81.73,Month-to-month,0
CUST1080142,38,Female,East,Standard,7,4990.92,1,145.47,Month-to-month,1
CUST1080143,42,Male,East,Standard,1,2096.37,2,78.56,Month-to-month,1
CUST1080144,57,Male,North,Standard,52,1909.19,3,55.83,Month-to-month,0
CUST1080145,62,Female,West,Standard,71,2286.77,1,93.9,Month-to-month,0
CUST1080146,62,Female,East,Premium,16,3087.42,1,151.68,Two year,0
CUST1080147,44,Female,West,Premium,36,2746.47,0,240.04,One year,0
CUST1080148,50,Male,Central,Standard,72,3427.17,2,130.7,Month-to-month,0
CUST1080149,24,Male,West,Premium,31,1424.22,4,83.5,Month-to-month,0
CUST1080150,44,Male,West,Standard,52,3827.07,3,222.33,Two year,0
CUST1080151,39,Male,North,Basic,70,2493.86,4,121.65,One year,1
CUST1080152,24,Male,West,Basic,3,2084.02,3,102.62,Month-to-month,1
CUST1080153,22,Female,North,Basic,41,1921.59,4,203.31,Month-to-month,0
CUST1080154,42,Female,West,Standard,60,2241.34,5,151.96,Month-to-month,1
