customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11080001,59,Male,South,Premium,58,2236.91,3,85.76,Month-to-month,0
CUST11080002,40,Male,Central,Premium,44,4922.51,0,85.36,Month-to-month,0
CUST11080003,21,Male,Central,Basic,46,4972.17,0,116.34,Month-to-month,1
CUST11080004,48,Female,Central,Premium,22,3641.79,2,58.85,Month-to-month,0
CUST11080005,51,Male,North,Standard,12,2952.55,2,86.59,Month-to-month,0
CUST11080006,29,Female,West,Standard,39,1717.71,4,98.35,Month-to-month,0
CUST11080007,64,Female,North,Standard,44,1755.54,3,124.57,Month-to-month,0
CUST11080008,51,Female,South,Basic,13,3410.84,4,111.91,Month-to-month,1
CUST11080009,42,Female,South,Basic,4,3126.73,3,26.22,Month-to-month,0
CUST11080010,50,Female,North,Standard,33,2099.26,3,81.39,Month-to-month,1
CUST11080011,47,Male,Central,Standard,3,2196.23,3,110.6,Month-to-month,1
CUST11080012,21,Male,West,Standard,41,3483.23,2,85.39,Two year,0
CUST11080013,21,Male,Central,Premium,5,2949.37,1,107.88,One year,1
CUST11080014,22,Female,West,Enterprise,71,3169.6,4,168.68,Month-to-month,0
CUST11080015,35,Female,North,Basic,66,3364.31,2,68.88,One year,0
CUST11080016,53,Male,East,Premium,30,1807.06,2,104.7,Month-to-month,1
CUST11080017,54,Female,North,Premium,41,2499.33,2,92.67,Month-to-month,0
CUST11080018,45,Female,North,Standard,26,1556.0,3,111.97,Month-to-month,0
CUST11080019,59,Female,Central,Basic,44,4340.46,2,138.54,One year,1
CUST11080020,28,Male,South,Standard,32,3121.69,2,101.98,Two year,0
CUST11080021,37,Male,East,Enterprise,48,3259.96,2,72.95,Month-to-month,0
CUST11080022,49,Female,North,Standard,49,1877.64,3,29.02,Month-to-month,0
CUST11080023,45,Male,East,Basic,33,2654.02,3,133.77,Month-to-month,1
CUST11080024,28,Female,West,Premium,64,3097.32,4,75.67,Two year,0
CUST11080025,64,Male,West,Premium,58,2505.63,5,99.03,Month-to-month,0
CUST11080026,60,Female,Central,Standard,2,1989.94,0,138.85,Month-to-month,1
CUST11080027,65,Female,West,Standard,31,3476.43,3,153.68,Month-to-month,1
CUST11080028,32,Female,South,Standard,53,3300.25,2,95.55,One year,0
CUST11080029,27,Female,East,Basic,65,3791.69,2,164.08,Month-to-month,0
CUST11080030,28,Female,West,Enterprise,18,3271.59,0,87.64,Month-to-month,1
CUST11080031,55,Female,West,Premium,1,3288.83,4,154.17,One year,1
CUST11080032,61,Female,Central,Enterprise,41,3125.07,4,125.91,Month-to-month,1
CUST11080033,53,Female,Central,Basic,8,3994.1,7,71.74,Two year,0
CUST11080034,48,Male,West,Standard,12,3908.67,1,108.76,Month-to-month,1
CUST11080035,52,Female,East,Enterprise,38,2683.97,3,44.56,Month-to-month,0
CUST11080036,43,Female,South,Standard,40,3458.53,6,165.48,One year,0
CUST11080037,27,Male,East,Enterprise,41,1145.84,5,95.96,One year,0
CUST11080038,65,Female,East,Standard,37,4082.28,1,126.47,One year,0
CUST11080039,37,Male,South,Standard,72,2884.18,6,129.67,One year,1
CUST11080040,27,Female,North,Standard,11,3777.23,7,115.54,Two year,0
CUST11080041,42,Female,West,Premium,65,2845.11,3,113.74,Month-to-month,1
CUST11080042,53,Male,West,Premium,53,2097.83,3,152.33,Month-to-month,1
CUST11080043,57,Female,South,Standard,37,2874.31,1,160.33,One year,0
CUST11080044,37,Female,West,Standard,10,1762.38,1,105.79,Month-to-month,1
CUST11080045,43,Female,North,Standard,26,2185.63,3,66.98,Month-to-month,0
CUST11080046,44,Male,Central,Premium,38,3039.5,3,97.8,Month-to-month,1
CUST11080047,46,Male,South,Premium,61,2438.9,3,68.68,Month-to-month,0
CUST11080048,58,Male,South,Basic,50,2888.81,0,149.49,Month-to-month,0
CUST11080049,65,Male,Central,Standard,32,4646.58,3,64.21,One year,0
CUST11080050,41,Female,Central,Premium,3,3764.03,6,80.3,One year,0
CUST11080051,55,Male,South,Premium,29,4316.93,2,153.05,Month-to-month,0
CUST11080052,22,Male,Central,Premium,49,2891.56,0,255.95,One year,0
CUST11080053,55,Male,East,Premium,28,4894.07,5,241.26,Month-to-month,0
CUST11080054,30,Male,Central,Enterprise,47,3035.84,4,137.25,Month-to-month,0
CUST11080055,27,Male,East,Standard,4,4377.84,2,133.35,One year,1
CUST11080056,29,Male,East,Standard,33,3154.72,4,59.45,One year,0
CUST11080057,47,Male,East,Standard,66,2699.83,4,98.64,Month-to-month,0
CUST11080058,21,Male,East,Basic,15,2453.78,2,147.37,Two year,0
CUST11080059,51,Male,West,Premium,12,2577.61,2,99.37,Month-to-month,0
CUST11080060,50,Female,South,Enterprise,66,3009.34,4,154.79,Month-to-month,0
CUST11080061,51,Male,North,Standard,12,2816.94,0,138.44,One year,1
CUST11080062,47,Female,East,Premium,48,2516.36,6,66.17,Month-to-month,0
CUST11080063,63,Female,South,Basic,2,3243.0,4,48.07,Month-to-month,1
CUST11080064,57,Male,North,Basic,52,1773.72,4,136.05,Month-to-month,1
CUST11080065,34,Male,North,Premium,37,3467.31,4,155.68,One year,0
CUST11080066,60,Male,South,Enterprise,66,3564.68,4,134.08,Month-to-month,0
CUST11080067,23,Female,North,Premium,39,2983.1,3,119.52,Month-to-month,1
CUST11080068,62,Female,West,Enterprise,58,4650.88,3,200.58,Month-to-month,0
CUST11080069,56,Male,North,Standard,33,2807.94,1,132.28,One year,0
CUST11080070,48,Female,East,Standard,72,1943.58,2,165.4,Two year,0
CUST11080071,63,Female,North,Basic,60,3649.62,5,102.22,One year,0
CUST11080072,64,Male,North,Enterprise,13,2371.26,3,184.09,Month-to-month,0
CUST11080073,42,Male,South,Basic,34,3662.89,6,103.82,One year,0
CUST11080074,33,Female,North,Basic,2,3155.36,2,120.97,Month-to-month,1
CUST11080075,47,Male,Central,Basic,55,2227.86,2,107.21,Month-to-month,0
CUST11080076,53,Female,Central,Standard,1,4058.36,2,243.14,One year,0
CUST11080077,38,Female,Central,Standard,10,2959.34,2,94.67,One year,1
CUST11080078,53,Male,Central,Basic,25,1381.56,3,67.1,One year,1
CUST11080079,31,Female,North,Standard,10,3181.84,3,85.14,One year,0
CUST11080080,21,Male,East,Basic,72,3692.16,3,112.77,Month-to-month,1
CUST11080081,50,Female,North,Enterprise,18,3614.45,4,134.63,Month-to-month,1
CUST11080082,56,Male,Central,Standard,5,2618.67,2,110.03,One year,1
CUST11080083,59,Female,East,Basic,7,3813.65,3,62.78,Month-to-month,1
CUST11080084,32,Male,Central,Premium,33,2149.27,7,102.6,Month-to-month,1
CUST11080085,33,Male,North,Basic,58,2481.15,1,190.75,Month-to-month,0
CUST11080086,24,Female,West,Basic,14,1936.25,5,115.39,Month-to-month,1
CUST11080087,46,Male,West,Premium,62,3153.5,2,94.28,Month-to-month,0
CUST11080088,63,Female,South,Basic,48,1539.62,3,58.99,Month-to-month,1
CUST11080089,25,Female,West,Standard,60,2702.88,1,52.12,Month-to-month,1
CUST11080090,65,Male,North,Standard,23,3094.95,5,74.16,Month-to-month,1
CUST11080091,45,Female,North,Basic,48,3472.14,3,167.51,Month-to-month,0
CUST11080092,44,Female,East,Standard,62,3060.11,1,201.42,Month-to-month,0
CUST11080093,27,Male,East,Basic,37,3738.44,3,96.96,Month-to-month,1
CUST11080094,59,Male,South,Enterprise,40,3920.48,2,163.4,Month-to-month,1
CUST11080095,27,Male,West,Basic,34,1948.0,2,105.91,Month-to-month,1
CUST11080096,59,Male,Central,Basic,51,3570.4,7,66.77,Month-to-month,1
CUST11080097,29,Male,North,Standard,22,4004.82,5,105.1,Month-to-month,1
CUST11080098,58,Male,West,Standard,39,3356.37,3,276.25,Month-to-month,1
CUST11080099,60,Male,West,Standard,35,2125.88,4,58.85,One year,0
CUST11080100,53,Female,South,Standard,47,3961.48,5,175.94,Month-to-month,1
CUST11080101,64,Female,Central,Basic,52,2479.81,3,102.16,Month-to-month,1
CUST11080102,61,Male,East,Standard,59,2617.69,6,79.47,Month-to-month,0
CUST11080103,31,Other,North,Premium,66,2574.72,0,94.54,Month-to-month,1
CUST11080104,51,Male,West,Standard,23,2609.35,0,106.29,One year,1
CUST11080105,57,Male,West,Enterprise,2,2608.37,0,123.38,One year,0
CUST11080106,65,Female,East,Standard,71,4453.01,1,150.0,One year,0
CUST11080107,61,Female,North,Basic,29,3503.52,5,101.19,Month-to-month,1
CUST11080108,54,Other,South,Standard,22,3265.44,1,58.55,One year,1
CUST11080109,59,Female,South,Basic,14,4716.66,3,103.1,One year,1
CUST11080110,40,Male,South,Standard,46,5031.19,2,74.3,Month-to-month,1
CUST11080111,44,Male,Central,Premium,45,3500.8,1,178.3,Month-to-month,0
CUST11080112,47,Female,Central,Basic,3,3280.33,6,173.19,One year,1
CUST11080113,50,Female,West,Standard,59,1083.77,3,94.96,Month-to-month,1
CUST11080114,33,Male,North,Enterprise,60,1779.18,0,48.45,Month-to-month,0
CUST11080115,33,Male,East,Standard,53,1783.1,3,175.53,Two year,0
CUST11080116,40,Female,South,Basic,20,3334.55,2,107.67,Two year,1
CUST11080117,39,Male,South,Standard,4,2531.87,5,208.41,Two year,1
CUST11080118,57,Female,South,Premium,8,3910.6,3,132.46,One year,1
CUST11080119,26,Male,North,Standard,44,2054.76,3,95.9,Month-to-month,1
CUST11080120,64,Male,East,Enterprise,2,4342.83,4,163.53,Month-to-month,0
CUST11080121,37,Female,Central,Premium,42,3195.15,3,138.9,One year,1
CUST11080122,49,Female,North,Basic,60,3543.78,4,48.16,Month-to-month,1
