customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1090001,45,Female,Central,Premium,10,1732.69,1,65.1,One year,0
CUST1090002,45,Female,East,Premium,42,3639.91,2,98.84,One year,0
CUST1090003,35,Female,North,Enterprise,26,1388.67,1,153.38,Month-to-month,0
CUST1090004,58,Male,West,Basic,62,2223.17,5,188.26,One year,0
CUST1090005,39,Male,Central,Premium,45,3049.1,2,137.52,Month-to-month,1
CUST1090006,54,Female,North,Premium,58,3568.83,4,46.86,Month-to-month,0
CUST1090007,30,Female,Central,Enterprise,10,2518.87,1,117.27,One year,1
CUST1090008,35,Female,South,Standard,61,2441.96,6,161.99,Month-to-month,1
CUST1090009,21,Male,Central,Premium,46,2070.61,3,228.56,One year,0
CUST1090010,47,Female,South,Premium,58,2882.27,2,86.29,Month-to-month,0
CUST1090011,21,Male,North,Enterprise,1,3646.84,2,120.99,Two year,0
CUST1090012,29,Female,East,Premium,32,2997.44,2,203.41,Month-to-month,1
CUST1090013,62,Female,West,Premium,53,2093.6,2,72.75,Month-to-month,1
CUST1090014,27,Male,South,Premium,29,2704.46,1,73.22,Month-to-month,1
CUST1090015,38,Male,South,Basic,20,1885.97,1,132.43,Month-to-month,0
CUST1090016,43,Male,Central,Standard,72,2391.84,1,149.61,Month-to-month,0
CUST1090017,45,Other,West,Standard,6,1002.26,5,91.36,Month-to-month,0
CUST1090018,45,Male,East,Premium,12,1267.35,3,176.09,Month-to-month,1
CUST1090019,57,Male,East,Basic,10,2005.29,2,128.89,Month-to-month,1
CUST1090020,65,Female,North,Premium,27,3313.87,4,110.02,Month-to-month,1
CUST1090021,42,Female,East,Premium,69,1352.39,3,75.5,Two year,0
CUST1090022,65,Female,South,Premium,56,3869.46,4,83.4,One year,0
CUST1090023,31,Male,South,Standard,26,3739.56,1,139.02,Month-to-month,0
CUST1090024,44,Female,West,Enterprise,32,2823.98,2,111.53,Two year,0
CUST1090025,36,Other,South,Premium,14,2898.46,2,129.64,One year,1
CUST1090026,50,Female,West,Standard,30,2258.5,3,77.49,Two year,0
CUST1090027,58,Female,West,Enterprise,51,500.0,3,87.2,One year,0
CUST1090028,30,Female,Central,Enterprise,23,2479.18,1,112.44,Two year,0
CUST1090029,39,Male,Central,Basic,60,2901.02,3,98.04,Two year,1
CUST1090030,55,Female,East,Basic,61,3153.38,4,28.33,Month-to-month,1
CUST1090031,65,Female,South,Standard,26,2741.02,2,81.39,Two year,0
CUST1090032,56,Female,Central,Standard,5,3846.44,1,102.51,Two year,1
CUST1090033,53,Male,West,Basic,13,2687.62,0,150.3,Month-to-month,0
CUST1090034,64,Female,South,Premium,46,2456.07,3,52.3,Month-to-month,1
CUST1090035,43,Male,West,Standard,54,3130.43,1,121.76,One year,0
CUST1090036,27,Other,West,Enterprise,49,2073.99,1,84.46,Month-to-month,0
CUST1090037,49,Male,South,Basic,64,2504.32,3,158.99,Month-to-month,0
CUST1090038,41,Male,West,Basic,36,1992.09,2,86.07,One year,0
CUST1090039,22,Male,East,Premium,34,2171.63,2,73.76,Month-to-month,0
CUST1090040,49,Male,South,Basic,52,3452.75,3,153.82,Month-to-month,0
CUST1090041,65,Female,South,Basic,7,3471.12,2,136.44,One year,1
CUST1090042,45,Other,South,Premium,35,2375.02,1,127.36,Month-to-month,0
CUST1090043,22,Male,West,Premium,6,2641.86,1,94.7,Month-to-month,0
CUST1090044,25,Female,North,Basic,27,2290.97,2,182.78,Month-to-month,0
CUST1090045,30,Female,Central,Premium,6,4300.1,4,86.59,One year,1
CUST1090046,50,Male,North,Standard,27,1952.46,0,74.41,Month-to-month,0
CUST1090047,38,Male,West,Basic,14,1478.13,0,128.75,One year,0
CUST1090048,55,Other,Central,Premium,51,1825.03,1,166.92,One year,0
CUST1090049,55,Female,East,Premium,61,3435.26,2,42.46,One year,0
CUST1090050,60,Male,North,Basic,11,2909.79,4,54.78,Month-to-month,0
CUST1090051,34,Other,North,Standard,43,1963.09,3,95.78,Month-to-month,0
CUST1090052,24,Female,South,Standard,69,3478.83,4,102.16,One year,0
CUST1090053,57,Male,Central,Standard,8,2743.61,0,95.25,Two year,0
CUST1090054,33,Male,Central,Premium,23,2601.86,4,125.5,One year,0
CUST1090055,41,Female,East,Enterprise,53,2323.01,3,76.59,Two year,0
CUST1090056,61,Male,East,Standard,72,2263.41,3,216.65,Month-to-month,1
CUST1090057,34,Female,South,Premium,13,3966.68,2,59.3,Two year,0
CUST1090058,52,Other,South,Basic,23,3325.36,1,45.14,Month-to-month,1
CUST1090059,62,Male,North,Basic,68,3762.49,1,47.85,Month-to-month,1
CUST1090060,56,Male,North,Basic,39,3363.77,0,140.03,One year,1
CUST1090061,36,Female,East,Premium,65,3063.93,1,59.35,Month-to-month,1
CUST1090062,35,Male,Central,Enterprise,7,1864.43,7,61.67,Month-to-month,0
CUST1090063,60,Male,North,Premium,55,2819.58,0,244.68,Two year,0
CUST1090064,29,Male,East,Premium,55,1049.59,6,60.48,Month-to-month,0
CUST1090065,26,Male,South,Premium,7,4532.22,4,112.64,One year,1
CUST1090066,43,Female,South,Premium,54,2174.29,3,64.8,Two year,0
CUST1090067,21,Female,North,Enterprise,9,3039.94,3,162.08,Month-to-month,1
CUST1090068,38,Female,East,Basic,65,3497.8,0,63.15,Month-to-month,0
CUST1090069,26,Female,West,Standard,26,1414.26,4,41.53,Month-to-month,0
CUST1090070,32,Male,West,Premium,27,2625.32,2,102.19,One year,0
CUST1090071,21,Male,Central,Standard,47,2595.75,4,38.72,Month-to-month,1
CUST1090072,43,Female,West,Basic,44,3080.15,5,80.51,Month-to-month,0
CUST1090073,34,Female,West,Basic,7,756.05,2,79.6,One year,1
CUST1090074,24,Female,Central,Basic,7,3428.85,2,130.19,One year,0
CUST1090075,61,Female,West,Enterprise,54,3372.66,2,108.23,Month-to-month,0
CUST1090076,64,Female,Central,Standard,11,3263.24,3,51.93,One year,0
CUST1090077,65,Male,East,Premium,9,3518.41,2,199.18,One year,1
CUST1090078,34,Male,South,Enterprise,37,3168.19,2,97.16,One year,0
CUST1090079,47,Female,West,Enterprise,25,2028.66,7,107.54,Month-to-month,1
CUST1090080,21,Male,South,Premium,23,2424.98,2,85.38,Month-to-month,1
CUST1090081,29,Male,West,Standard,61,2141.75,5,224.86,Month-to-month,1
CUST1090082,57,Male,West,Standard,62,2870.28,2,30.19,Month-to-month,1
CUST1090083,60,Female,East,Standard,27,610.49,2,112.29,One year,0
CUST1090084,30,Female,West,Premium,55,1705.84,1,98.21,Month-to-month,0
CUST1090085,54,Male,West,Enterprise,34,2077.58,2,121.6,One year,0
CUST1090086,30,Female,Central,Premium,46,3078.38,2,34.03,Month-to-month,0
CUST1090087,44,Male,West,Standard,5,3405.12,2,62.76,Two year,1
CUST1090088,48,Other,East,Standard,58,2155.61,1,115.69,Month-to-month,0
CUST1090089,40,Female,Central,Premium,12,1732.19,1,112.96,One year,0
CUST1090090,36,Male,South,Enterprise,48,2921.59,0,79.43,Month-to-month,0
CUST1090091,28,Male,East,Enterprise,20,2386.75,2,141.8,Month-to-month,1
CUST1090092,40,Female,South,Basic,55,3373.72,1,82.19,One year,0
CUST1090093,57,Male,East,Premium,56,3677.11,0,85.8,Two year,0
CUST1090094,59,Male,East,Enterprise,29,1760.88,2,120.94,Two year,0
CUST1090095,39,Female,North,Basic,59,2841.31,3,161.57,Two year,0
CUST1090096,35,Male,Central,Standard,57,1978.55,2,64.2,Month-to-month,1
CUST1090097,37,Female,West,Standard,10,2274.88,1,67.6,Month-to-month,1
CUST1090098,62,Female,West,Standard,15,1315.75,2,82.39,Month-to-month,0
CUST1090099,36,Male,South,Standard,36,3365.34,4,116.32,Two year,0
CUST1090100,27,Male,South,Enterprise,20,2345.06,3,82.67,One year,0
CUST1090101,60,Female,South,Basic,55,2148.47,3,194.88,Month-to-month,1
CUST1090102,33,Male,North,Basic,22,1394.72,1,103.06,Month-to-month,1
CUST1090103,49,Male,North,Standard,29,2434.1,5,58.19,One year,1
CUST1090104,55,Female,South,Basic,37,4299.24,2,88.08,Month-to-month,1
CUST1090105,35,Male,South,Enterprise,13,3148.04,0,108.48,One year,0
CUST1090106,58,Male,East,Standard,48,2312.25,2,108.79,Month-to-month,1
CUST1090107,51,Male,South,Enterprise,23,1810.12,1,130.1,Month-to-month,0
CUST1090108,54,Female,North,Basic,27,2197.08,1,75.71,One year,0
CUST1090109,29,Male,West,Basic,30,2719.84,1,125.09,Two year,1
CUST1090110,21,Female,Central,Basic,66,1626.33,5,102.71,One year,0
CUST1090111,45,Female,Central,Basic,49,2822.66,1,134.25,Month-to-month,0
CUST1090112,51,Male,North,Premium,1,3961.98,3,184.48,Month-to-month,1
CUST1090113,58,Female,West,Basic,15,3301.14,4,119.66,Month-to-month,1
CUST1090114,56,Female,West,Enterprise,31,1466.1,4,56.96,One year,0
CUST1090115,62,Male,Central,Standard,71,3231.29,4,60.81,Month-to-month,0
CUST1090116,28,Male,East,Standard,1,4267.53,3,204.24,Month-to-month,1
CUST1090117,51,Female,Central,Standard,43,2845.2,5,156.46,Two year,1
CUST1090118,52,Male,North,Standard,70,2464.29,3,186.79,One year,0
CUST1090119,46,Female,West,Enterprise,40,2890.32,1,72.34,Month-to-month,1
CUST1090120,65,Male,South,Standard,9,2540.84,5,108.28,Month-to-month,1
CUST1090121,53,Female,East,Standard,16,2070.3,2,126.99,Month-to-month,0
CUST1090122,22,Male,Central,Basic,24,4554.8,2,56.33,One year,1
CUST1090123,40,Female,Central,Premium,41,4121.52,2,89.52,One year,1
CUST1090124,55,Male,Central,Standard,71,3438.02,3,138.22,Month-to-month,0
CUST1090125,64,Male,North,Premium,50,3415.56,3,39.91,Two year,0
CUST1090126,55,Male,South,Standard,71,1416.75,2,127.64,Month-to-month,0
CUST1090127,62,Male,Central,Standard,55,2187.47,1,198.06,Month-to-month,0
CUST1090128,28,Male,East,Basic,71,4407.11,2,64.4,Month-to-month,1
CUST1090129,65,Male,South,Standard,27,1353.05,1,75.07,One year,0
CUST1090130,21,Male,East,Basic,23,1233.69,1,109.25,Month-to-month,1
CUST1090131,54,Female,North,Standard,41,1400.45,1,177.28,Month-to-month,1
CUST1090132,45,Female,West,Premium,60,3894.9,1,172.3,Month-to-month,1
CUST1090133,60,Female,North,Standard,25,506.76,2,148.3,Month-to-month,1
CUST1090134,30,Female,East,Premium,29,2400.73,1,94.62,Month-to-month,0
CUST1090135,37,Female,East,Standard,12,4332.36,2,137.28,Month-to-month,0
CUST1090136,54,Female,East,Standard,49,3111.01,3,84.46,One year,0
CUST1090137,57,Male,South,Premium,17,2397.78,1,35.15,Month-to-month,1
CUST1090138,56,Other,North,Basic,17,2512.86,4,60.83,Month-to-month,1
CUST1090139,44,Female,East,Basic,18,1597.2,3,98.93,Two year,0
CUST1090140,26,Female,Central,Basic,13,4535.19,2,43.66,One year,1
CUST1090141,23,Female,West,Premium,49,1758.17,2,115.9,Month-to-month,1
CUST1090142,25,Male,Central,Basic,72,3487.46,0,74.56,Month-to-month,0
CUST1090143,56,Female,North,Basic,11,2711.76,1,173.84,Month-to-month,1
CUST1090144,59,Female,Central,Enterprise,67,1960.72,2,96.18,One year,0
CUST1090145,62,Male,East,Standard,26,1063.15,1,140.41,One year,0
CUST1090146,44,Male,South,Premium,37,2400.68,1,65.98,Month-to-month,0
CUST1090147,34,Male,Central,Premium,20,2956.39,1,121.45,Month-to-month,0
CUST1090148,32,Female,South,Premium,47,2649.66,3,40.89,One year,0
CUST1090149,54,Female,South,Basic,1,4452.1,4,82.35,Month-to-month,1
CUST1090150,56,Male,North,Standard,57,1909.0,4,94.6,One year,0
CUST1090151,54,Female,South,Premium,32,3344.79,4,142.88,One year,1
CUST1090152,56,Female,West,Standard,31,2925.11,3,157.41,Month-to-month,1
CUST1090153,38,Female,West,Standard,37,2098.59,3,88.43,Month-to-month,1
CUST1090154,63,Female,South,Basic,9,2890.35,3,116.2,Month-to-month,1
CUST1090155,29,Female,South,Standard,11,2389.1,1,110.23,Month-to-month,0
CUST1090156,29,Male,East,Basic,43,3098.91,2,124.48,Month-to-month,0
CUST1090157,52,Female,South,Premium,2,3624.11,4,75.05,Month-to-month,1
CUST1090158,61,Female,West,Standard,36,5130.03,1,56.83,Month-to-month,1
