customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11090001,47,Female,East,Premium,1,5223.25,4,52.65,Month-to-month,0
CUST11090002,40,Male,North,Basic,45,2371.2,1,70.78,Month-to-month,0
CUST11090003,58,Female,North,Premium,8,3591.94,1,120.99,Month-to-month,0
CUST11090004,30,Female,North,Premium,71,4366.47,5,127.84,Month-to-month,0
CUST11090005,52,Female,North,Basic,64,3279.38,2,88.48,Month-to-month,1
CUST11090006,22,Female,South,Premium,45,1561.76,2,40.99,One year,1
CUST11090007,49,Male,East,Standard,37,3595.98,5,112.52,Month-to-month,0
CUST11090008,54,Male,East,Basic,26,3113.61,2,125.56,One year,0
CUST11090009,63,Male,Central,Basic,44,2991.02,7,143.58,One year,1
CUST11090010,24,Male,West,Basic,24,3406.38,3,136.5,One year,0
CUST11090011,43,Female,South,Basic,30,2770.77,6,95.43,Month-to-month,1
CUST11090012,44,Female,South,Premium,64,3503.91,0,102.34,Two year,0
CUST11090013,37,Other,Central,Basic,30,2802.14,5,132.19,One year,0
CUST11090014,59,Male,North,Standard,9,2551.63,2,206.67,Month-to-month,1
CUST11090015,27,Male,Central,Premium,36,2991.47,3,193.19,One year,0
CUST11090016,56,Male,West,Basic,33,3310.12,3,50.73,Two year,0
CUST11090017,30,Female,West,Standard,66,1929.01,2,136.64,Month-to-month,0
CUST11090018,56,Male,Central,Enterprise,45,1201.89,4,98.76,One year,0
CUST11090019,22,Female,South,Basic,66,4342.3,4,107.58,Two year,1
CUST11090020,49,Male,West,Standard,53,2625.36,2,95.26,One year,0
CUST11090021,57,Male,South,Standard,37,3608.37,3,67.17,Month-to-month,0
CUST11090022,33,Female,West,Standard,8,1458.98,0,174.88,One year,0
CUST11090023,47,Female,South,Standard,24,2827.42,1,103.53,Two year,0
CUST11090024,43,Other,East,Standard,24,3179.52,0,148.99,Month-to-month,0
CUST11090025,44,Female,North,Premium,8,960.76,3,74.66,Two year,1
CUST11090026,39,Male,South,Basic,19,2554.77,3,105.65,One year,0
CUST11090027,26,Female,Central,Basic,11,1891.33,2,87.11,One year,1
CUST11090028,33,Female,Central,Standard,49,3344.38,3,83.98,Month-to-month,0
CUST11090029,24,Male,Central,Standard,34,2025.27,4,114.56,Month-to-month,0
CUST11090030,54,Male,South,Premium,3,3076.95,1,120.9,Month-to-month,1
CUST11090031,27,Male,East,Premium,36,3488.47,4,263.8,Month-to-month,0
CUST11090032,45,Female,West,Premium,23,4093.44,4,90.87,One year,1
CUST11090033,47,Female,Central,Premium,33,3281.04,5,62.08,Month-to-month,1
CUST11090034,63,Male,West,Basic,44,3170.76,4,51.8,One year,1
CUST11090035,57,Female,North,Basic,19,4055.16,4,71.16,One year,0
CUST11090036,48,Male,West,Premium,67,3805.59,5,73.51,Month-to-month,1
CUST11090037,50,Male,West,Basic,67,2324.61,2,146.98,Month-to-month,0
CUST11090038,38,Female,West,Standard,55,3276.42,3,109.29,Two year,0
CUST11090039,40,Female,West,Premium,57,1834.14,5,84.6,Month-to-month,0
CUST11090040,57,Male,East,Premium,43,3135.05,6,68.62,Month-to-month,1
CUST11090041,22,Female,North,Basic,10,1808.69,2,83.11,Month-to-month,1
CUST11090042,29,Female,North,Basic,18,2817.17,0,141.53,Two year,0
CUST11090043,32,Female,North,Standard,24,2628.94,2,171.74,One year,1
CUST11090044,38,Other,Central,Standard,44,4619.51,1,48.55,Month-to-month,0
CUST11090045,45,Male,North,Premium,49,2373.19,2,108.88,Month-to-month,0
CUST11090046,50,Female,East,Standard,33,2212.56,6,105.53,Month-to-month,1
CUST11090047,58,Male,South,Standard,15,4337.39,1,226.34,Month-to-month,0
CUST11090048,53,Male,South,Basic,66,2846.8,3,176.66,Month-to-month,1
CUST11090049,45,Male,South,Standard,67,3771.59,4,30.81,Month-to-month,1
CUST11090050,50,Female,North,Standard,64,2451.22,0,148.53,Month-to-month,0
CUST11090051,53,Other,Central,Basic,59,3517.4,3,166.03,Month-to-month,1
CUST11090052,32,Male,West,Standard,12,2436.12,3,110.73,Month-to-month,1
CUST11090053,25,Male,Central,Basic,16,2032.3,3,184.56,One year,1
CUST11090054,57,Male,North,Basic,72,3321.76,0,68.36,Month-to-month,1
CUST11090055,27,Male,East,Basic,70,2624.14,3,95.97,Month-to-month,0
CUST11090056,40,Male,North,Standard,32,1830.33,4,131.98,Month-to-month,0
CUST11090057,57,Female,North,Premium,39,4116.33,4,121.47,Month-to-month,0
