customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11100001,53,Female,Central,Premium,39,4003.71,1,47.38,Month-to-month,1
CUST11100002,42,Male,West,Basic,8,2638.09,3,115.92,Month-to-month,1
CUST11100003,60,Female,Central,Basic,16,2073.96,3,34.67,Month-to-month,1
CUST11100004,46,Male,North,Standard,35,2453.49,3,131.56,Month-to-month,1
CUST11100005,42,Male,East,Enterprise,29,2140.58,4,94.2,One year,0
CUST11100006,44,Male,West,Premium,13,3425.83,3,120.51,Month-to-month,0
CUST11100007,64,Male,Central,Premium,19,2613.34,5,134.46,One year,0
CUST11100008,21,Male,Central,Standard,47,2392.15,2,111.09,Month-to-month,0
CUST11100009,22,Male,East,Enterprise,17,2693.7,3,156.78,Month-to-month,1
CUST11100010,55,Male,East,Basic,23,3273.61,2,193.3,One year,0
CUST11100011,32,Female,East,Standard,49,2628.15,1,103.62,Month-to-month,0
CUST11100012,63,Female,Central,Standard,27,4366.12,1,130.41,Month-to-month,1
CUST11100013,35,Male,Central,Standard,42,2081.3,3,156.26,Month-to-month,0
CUST11100014,28,Male,West,Enterprise,72,2613.18,6,81.8,One year,0
CUST11100015,61,Female,North,Basic,33,2918.81,2,214.15,One year,1
CUST11100016,52,Male,Central,Basic,28,2835.59,4,153.32,Month-to-month,1
CUST11100017,29,Male,Central,Basic,7,2862.01,3,164.64,Month-to-month,0
CUST11100018,49,Female,West,Basic,5,2848.75,5,53.99,Month-to-month,1
CUST11100019,60,Female,West,Premium,23,3252.0,1,64.43,Month-to-month,0
CUST11100020,55,Male,South,Basic,36,2379.14,2,257.68,One year,0
CUST11100021,30,Female,West,Premium,37,1893.62,3,111.05,Month-to-month,1
CUST11100022,23,Male,South,Enterprise,44,3685.57,3,75.5,Month-to-month,0
CUST11100023,65,Female,South,Premium,50,3880.63,2,57.33,Month-to-month,0
CUST11100024,49,Male,Central,Standard,72,1680.53,4,94.62,Month-to-month,1
CUST11100025,23,Female,North,Enterprise,46,1720.99,1,80.85,One year,0
CUST11100026,46,Male,North,Standard,43,2644.91,1,59.73,Month-to-month,1
CUST11100027,43,Male,South,Standard,72,2071.06,5,108.96,Month-to-month,0
CUST11100028,56,Female,East,Standard,44,3527.22,2,91.81,Month-to-month,0
CUST11100029,40,Male,Central,Premium,24,2908.77,1,280.08,Month-to-month,1
CUST11100030,23,Male,North,Premium,26,2572.11,0,153.48,Month-to-month,1
CUST11100031,45,Male,West,Basic,22,2412.56,3,169.23,Month-to-month,1
CUST11100032,35,Male,West,Standard,12,985.92,2,66.51,Month-to-month,1
CUST11100033,51,Male,Central,Standard,6,998.21,4,135.43,Two year,0
CUST11100034,55,Male,North,Enterprise,53,5103.27,3,121.09,One year,0
CUST11100035,59,Male,West,Premium,55,1872.79,3,117.48,Two year,0
CUST11100036,49,Male,North,Basic,23,2447.68,2,46.3,Month-to-month,0
CUST11100037,60,Male,Central,Basic,40,2491.3,5,80.06,One year,1
CUST11100038,58,Female,South,Basic,49,2653.37,3,93.46,Month-to-month,1
CUST11100039,50,Male,South,Standard,26,2529.23,4,61.04,Two year,1
CUST11100040,42,Female,North,Premium,63,3969.67,2,114.11,Two year,0
CUST11100041,59,Male,East,Enterprise,32,2391.82,3,237.34,Two year,0
CUST11100042,53,Male,Central,Standard,72,2012.08,1,49.06,One year,0
CUST11100043,29,Male,East,Premium,16,3271.45,0,69.08,Month-to-month,1
CUST11100044,47,Female,South,Enterprise,51,4252.06,3,115.35,Month-to-month,0
CUST11100045,27,Male,West,Basic,26,5292.27,3,201.89,One year,1
CUST11100046,23,Female,East,Basic,11,2606.68,3,105.83,One year,1
CUST11100047,57,Female,Central,Basic,31,1741.65,2,138.35,Month-to-month,1
CUST11100048,44,Male,South,Basic,11,2985.71,1,92.52,Month-to-month,1
CUST11100049,24,Male,North,Standard,26,2890.63,5,167.26,One year,1
CUST11100050,48,Female,North,Standard,11,3630.53,4,70.75,Month-to-month,1
CUST11100051,57,Female,East,Standard,41,3060.45,3,86.14,Month-to-month,0
CUST11100052,56,Male,South,Basic,65,3392.22,4,67.83,Month-to-month,1
CUST11100053,26,Female,South,Basic,13,2223.96,2,129.83,One year,0
CUST11100054,52,Male,West,Standard,44,1936.23,4,107.92,One year,1
CUST11100055,61,Male,East,Premium,17,3274.61,2,216.08,Month-to-month,0
CUST11100056,54,Male,West,Premium,14,3949.84,3,124.46,Month-to-month,1
CUST11100057,61,Female,Central,Standard,49,2965.48,1,139.21,One year,0
CUST11100058,30,Male,East,Enterprise,11,4767.68,4,102.49,One year,1
CUST11100059,38,Male,East,Basic,28,4211.59,3,88.02,Month-to-month,0
CUST11100060,60,Male,North,Standard,12,2631.99,2,74.96,Month-to-month,0
CUST11100061,49,Male,South,Enterprise,49,3703.56,5,73.34,One year,0
CUST11100062,24,Female,South,Basic,67,1619.5,5,85.04,One year,1
CUST11100063,62,Female,Central,Standard,60,1153.51,5,63.32,Month-to-month,0
CUST11100064,31,Female,South,Basic,69,3668.4,3,83.16,Month-to-month,1
CUST11100065,40,Female,North,Premium,71,4243.0,2,260.92,Month-to-month,1
CUST11100066,51,Female,West,Basic,15,1681.35,2,186.34,Month-to-month,1
CUST11100067,63,Female,West,Standard,31,2355.78,2,84.2,Month-to-month,1
CUST11100068,23,Male,West,Standard,60,2414.67,0,140.21,One year,0
CUST11100069,64,Female,West,Enterprise,22,2761.4,2,81.57,One year,0
CUST11100070,57,Female,Central,Basic,37,1455.44,1,79.66,Month-to-month,1
CUST11100071,32,Female,West,Basic,59,3117.15,4,56.47,Month-to-month,0
CUST11100072,43,Female,East,Premium,54,2541.83,2,146.02,One year,0
CUST11100073,58,Female,Central,Standard,37,2160.99,3,99.01,Month-to-month,1
CUST11100074,64,Female,North,Basic,64,3191.6,2,93.27,Month-to-month,0
CUST11100075,35,Female,North,Basic,68,2980.65,2,93.33,One year,1
CUST11100076,40,Female,East,Basic,18,1982.22,2,123.8,Month-to-month,0
CUST11100077,58,Female,Central,Basic,56,3072.28,2,109.46,Month-to-month,1
CUST11100078,45,Male,South,Standard,16,1810.39,3,125.09,Month-to-month,1
CUST11100079,35,Other,East,Premium,23,2188.2,3,127.77,Month-to-month,0
CUST11100080,30,Male,North,Standard,24,1634.55,5,121.72,Month-to-month,1
CUST11100081,58,Female,East,Standard,36,3027.03,2,97.68,Month-to-month,1
CUST11100082,53,Female,East,Basic,57,2411.75,2,106.99,Month-to-month,0
CUST11100083,61,Male,Central,Standard,42,2796.73,2,136.76,Month-to-month,1
CUST11100084,33,Male,East,Premium,54,1975.84,7,83.15,Month-to-month,0
CUST11100085,61,Female,East,Premium,33,2289.77,3,121.37,One year,0
CUST11100086,30,Female,North,Enterprise,36,2973.98,2,156.24,One year,0
CUST11100087,56,Male,West,Standard,33,3032.39,0,122.19,Two year,0
CUST11100088,32,Male,North,Basic,44,3077.89,1,68.73,One year,0
CUST11100089,49,Male,West,Standard,62,2172.81,5,160.46,Month-to-month,0
CUST11100090,56,Male,South,Basic,3,2563.39,3,174.27,Month-to-month,0
CUST11100091,41,Male,South,Standard,63,2715.52,4,117.89,One year,0
CUST11100092,28,Female,Central,Standard,54,2327.51,7,114.55,Month-to-month,1
CUST11100093,59,Male,West,Enterprise,54,2985.7,1,78.38,Month-to-month,0
CUST11100094,46,Male,East,Premium,71,2676.31,4,86.27,Month-to-month,1
CUST11100095,29,Female,Central,Standard,43,2122.81,2,107.98,One year,0
CUST11100096,37,Female,North,Basic,42,2366.37,2,94.15,Month-to-month,0
CUST11100097,38,Male,Central,Basic,69,2946.41,5,92.37,Two year,0
CUST11100098,65,Male,South,Basic,13,2308.83,4,110.85,Two year,0
CUST11100099,52,Male,Central,Premium,37,2721.88,4,135.85,One year,0
CUST11100100,31,Female,North,Standard,53,3064.57,5,63.57,One year,0
CUST11100101,52,Male,West,Standard,37,2407.06,6,186.68,Month-to-month,0
CUST11100102,64,Male,East,Basic,25,3053.02,0,61.69,One year,0
CUST11100103,52,Male,Central,Basic,14,2803.76,4,85.54,One year,0
CUST11100104,61,Other,North,Standard,47,3570.02,6,199.38,Month-to-month,0
CUST11100105,65,Male,South,Enterprise,32,4119.79,3,34.48,Month-to-month,0
CUST11100106,24,Male,North,Premium,69,3975.42,3,101.29,One year,0
CUST11100107,35,Male,West,Standard,27,3091.22,2,71.13,Month-to-month,1
CUST11100108,21,Female,Central,Standard,54,2529.35,4,131.21,Month-to-month,1
CUST11100109,40,Female,West,Basic,47,4511.51,4,202.43,Month-to-month,1
CUST11100110,40,Male,Central,Standard,24,3540.41,1,99.2,One year,0
CUST11100111,45,Female,West,Basic,55,2401.08,1,150.74,One year,1
CUST11100112,39,Male,South,Premium,28,4642.62,1,100.31,Month-to-month,1
CUST11100113,36,Male,South,Premium,63,2349.39,1,88.05,Month-to-month,0
CUST11100114,30,Male,North,Enterprise,39,3662.73,1,43.57,One year,0
CUST11100115,50,Male,East,Basic,70,3232.88,3,101.78,Two year,0
CUST11100116,30,Female,East,Standard,63,3293.71,4,128.83,Month-to-month,1
CUST11100117,63,Female,West,Premium,20,2615.35,1,117.24,Month-to-month,1
CUST11100118,36,Female,South,Basic,24,2056.07,1,141.52,Month-to-month,1
CUST11100119,41,Male,West,Standard,5,3940.79,2,223.95,Month-to-month,1
CUST11100120,44,Male,South,Basic,66,2273.63,2,79.07,One year,1
CUST11100121,65,Male,East,Standard,1,1418.46,5,54.69,One year,0
CUST11100122,41,Male,South,Basic,27,2429.84,1,103.11,Month-to-month,0
CUST11100123,60,Male,West,Standard,62,3037.27,1,39.54,Month-to-month,1
CUST11100124,27,Female,North,Enterprise,21,4160.4,1,117.56,One year,1
CUST11100125,53,Female,Central,Basic,59,3661.99,4,127.25,Month-to-month,0
CUST11100126,24,Female,East,Basic,63,4691.24,3,150.32,One year,1
CUST11100127,34,Female,West,Premium,40,4572.98,2,159.76,Two year,0
CUST11100128,37,Male,North,Basic,28,2917.68,0,130.64,One year,0
CUST11100129,24,Female,Central,Enterprise,12,3131.84,3,115.82,One year,0
CUST11100130,50,Male,East,Premium,71,4792.42,5,121.39,One year,0
CUST11100131,22,Other,East,Standard,42,3009.75,1,102.43,Month-to-month,0
CUST11100132,32,Male,Central,Standard,61,1847.14,2,53.18,Month-to-month,0
CUST11100133,26,Male,West,Basic,61,3186.5,3,218.5,Two year,0
CUST11100134,54,Male,Central,Standard,13,1761.66,4,107.27,Month-to-month,0
CUST11100135,23,Male,Central,Basic,27,3354.46,2,87.56,One year,0
CUST11100136,27,Female,South,Standard,24,2860.35,2,164.02,Month-to-month,1
CUST11100137,46,Female,Central,Basic,60,1632.92,7,212.19,One year,0
CUST11100138,22,Female,East,Basic,62,3364.35,4,189.65,One year,1
CUST11100139,57,Other,North,Enterprise,66,3092.21,6,156.83,Month-to-month,1
CUST11100140,58,Female,Central,Basic,32,3388.59,0,254.68,One year,1
CUST11100141,58,Male,North,Standard,13,1807.67,5,90.93,Two year,0
CUST11100142,60,Female,North,Enterprise,67,3899.76,2,81.54,Two year,0
CUST11100143,21,Other,North,Premium,18,2027.09,2,102.37,Two year,0
CUST11100144,26,Male,South,Premium,50,2436.09,0,150.66,One year,1
CUST11100145,46,Male,East,Enterprise,26,2083.6,3,152.11,One year,0
CUST11100146,45,Female,Central,Basic,72,3677.02,2,65.88,Month-to-month,1
CUST11100147,28,Female,North,Basic,26,2661.17,3,148.6,Month-to-month,1
CUST11100148,27,Female,South,Basic,32,2223.25,2,138.02,Month-to-month,1
CUST11100149,62,Male,Central,Basic,33,4199.31,6,71.8,Month-to-month,1
CUST11100150,62,Male,Central,Basic,9,1929.92,2,173.03,Month-to-month,0
CUST11100151,55,Female,South,Standard,31,2322.09,2,143.64,One year,0
CUST11100152,57,Female,North,Premium,42,2449.54,8,110.12,Month-to-month,0
CUST11100153,57,Male,North,Premium,33,3324.16,2,169.26,Month-to-month,0
CUST11100154,55,Male,North,Premium,59,2896.21,2,86.46,One year,1
CUST11100155,63,Female,South,Premium,38,2524.03,3,102.14,One year,0
CUST11100156,27,Male,North,Standard,25,5036.15,6,126.88,One year,1
CUST11100157,23,Female,North,Basic,12,3944.6,2,179.03,Month-to-month,1
CUST11100158,41,Female,North,Basic,56,4271.95,2,117.16,One year,0
CUST11100159,34,Male,Central,Standard,43,2304.21,4,89.03,Month-to-month,0
CUST11100160,52,Female,South,Premium,33,3195.54,2,150.43,Month-to-month,1
CUST11100161,52,Female,Central,Premium,15,1984.83,4,130.46,Month-to-month,0
CUST11100162,38,Female,Central,Basic,2,4516.74,4,117.82,Month-to-month,0
CUST11100163,55,Male,South,Standard,16,3250.67,7,75.59,One year,1
CUST11100164,65,Female,North,Premium,1,2411.15,5,70.81,Month-to-month,1
CUST11100165,24,Female,West,Premium,32,4196.14,3,53.19,One year,0
CUST11100166,47,Male,East,Basic,49,3261.69,3,108.53,Month-to-month,0
CUST11100167,50,Female,South,Standard,54,3125.94,4,78.02,Two year,0
