customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1110001,42,Female,South,Basic,34,1131.12,3,125.88,Month-to-month,0
CUST1110002,27,Male,North,Premium,66,2804.87,1,67.84,Month-to-month,0
CUST1110003,53,Male,Central,Standard,57,3627.71,2,156.01,Month-to-month,0
CUST1110004,28,Female,West,Standard,55,2883.93,4,81.96,One year,1
CUST1110005,53,Male,West,Basic,2,2272.6,4,78.05,Two year,0
CUST1110006,43,Female,West,Basic,16,2466.6,3,126.55,One year,1
CUST1110007,37,Male,West,Standard,14,1479.91,2,60.23,Month-to-month,0
CUST1110008,50,Male,North,Basic,62,2302.32,1,160.4,Two year,0
CUST1110009,59,Female,West,Standard,21,2544.78,1,227.7,One year,0
CUST1110010,55,Male,West,Basic,45,2663.94,2,81.93,Month-to-month,1
CUST1110011,53,Male,North,Standard,45,3573.61,1,114.22,One year,1
CUST1110012,25,Female,East,Standard,72,2036.36,3,136.62,One year,0
CUST1110013,27,Male,North,Basic,36,2235.32,2,58.87,Two year,0
CUST1110014,56,Female,South,Premium,21,2764.19,3,47.5,Two year,1
CUST1110015,41,Female,East,Premium,51,3069.93,0,139.69,Two year,0
CUST1110016,64,Female,East,Enterprise,13,2393.62,1,61.14,One year,0
CUST1110017,26,Female,South,Basic,60,2286.68,2,43.5,Month-to-month,1
CUST1110018,32,Female,East,Standard,55,828.61,3,115.53,Two year,0
CUST1110019,43,Female,West,Basic,17,505.67,3,144.02,One year,1
CUST1110020,29,Female,West,Enterprise,34,2756.16,2,115.46,Month-to-month,1
CUST1110021,41,Female,North,Standard,26,4118.26,2,130.3,One year,1
CUST1110022,36,Male,South,Standard,20,1297.87,7,105.03,Month-to-month,1
CUST1110023,24,Female,East,Basic,33,3201.43,4,65.41,Month-to-month,0
CUST1110024,53,Female,South,Premium,20,3310.3,4,27.89,One year,0
CUST1110025,56,Male,North,Basic,40,1297.64,1,67.88,Month-to-month,0
CUST1110026,24,Male,Central,Premium,12,2425.65,1,165.22,Month-to-month,0
CUST1110027,61,Female,North,Basic,42,1397.95,1,66.92,Month-to-month,1
CUST1110028,39,Male,West,Standard,57,1923.13,4,115.39,Month-to-month,1
CUST1110029,53,Female,East,Basic,9,3486.62,3,114.75,Month-to-month,0
CUST1110030,38,Female,West,Basic,36,3289.14,2,121.44,Month-to-month,0
CUST1110031,49,Female,South,Standard,49,1772.33,2,38.99,Month-to-month,1
CUST1110032,63,Other,South,Standard,42,860.69,1,73.4,Month-to-month,0
CUST1110033,39,Male,East,Basic,5,3037.74,2,159.58,One year,1
CUST1110034,34,Male,West,Basic,63,2201.26,1,84.95,Month-to-month,1
CUST1110035,46,Female,West,Standard,11,3979.59,2,36.82,Two year,1
CUST1110036,48,Female,North,Premium,3,2496.97,2,136.91,Month-to-month,1
CUST1110037,25,Male,Central,Premium,64,2494.88,1,134.75,One year,0
CUST1110038,54,Female,North,Premium,17,2031.97,2,91.98,Two year,0
CUST1110039,42,Male,East,Basic,27,3743.68,1,127.98,Month-to-month,1
CUST1110040,24,Male,West,Premium,45,2561.51,4,129.39,One year,0
CUST1110041,40,Male,North,Standard,50,2695.93,0,70.62,Month-to-month,1
CUST1110042,59,Female,East,Premium,16,2163.36,2,74.47,Month-to-month,1
CUST1110043,23,Male,East,Standard,58,4195.5,2,174.0,One year,0
CUST1110044,44,Male,South,Premium,32,2976.24,6,62.87,Month-to-month,0
CUST1110045,29,Male,West,Enterprise,3,2333.54,0,118.09,Month-to-month,0
CUST1110046,60,Male,East,Premium,46,3855.4,3,99.21,Month-to-month,1
CUST1110047,37,Male,West,Basic,40,1946.65,2,98.21,Two year,0
CUST1110048,41,Female,North,Premium,2,1727.16,1,116.38,One year,1
CUST1110049,44,Male,North,Basic,40,1762.15,3,91.49,One year,0
CUST1110050,62,Female,Central,Standard,59,2106.32,0,174.81,One year,1
CUST1110051,53,Male,Central,Premium,12,3280.9,0,134.44,Month-to-month,1
CUST1110052,62,Female,West,Basic,38,2348.27,2,43.31,Month-to-month,1
CUST1110053,33,Male,South,Basic,4,3000.12,0,176.0,Two year,1
CUST1110054,32,Male,North,Premium,17,2182.03,1,71.95,One year,0
CUST1110055,37,Male,South,Basic,41,3328.82,1,59.81,Month-to-month,0
CUST1110056,25,Male,East,Standard,29,1057.27,4,82.59,Month-to-month,0
CUST1110057,45,Female,South,Standard,12,3012.51,4,99.59,One year,0
CUST1110058,31,Female,South,Standard,69,1807.84,2,121.32,Two year,0
CUST1110059,50,Female,Central,Standard,60,1260.4,1,94.25,Month-to-month,0
CUST1110060,41,Male,North,Basic,41,1595.4,0,62.94,Two year,0
CUST1110061,45,Male,Central,Standard,58,3465.57,3,60.03,Month-to-month,1
CUST1110062,60,Female,East,Basic,9,2255.47,6,140.96,Month-to-month,1
CUST1110063,43,Female,West,Premium,19,4165.88,1,154.44,One year,0
