customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11110001,58,Female,South,Basic,32,2680.41,2,124.27,Month-to-month,1
CUST11110002,59,Other,Central,Basic,2,5628.91,2,143.08,Month-to-month,1
CUST11110003,65,Female,West,Standard,25,4605.79,4,95.0,One year,0
CUST11110004,50,Male,North,Standard,30,2875.96,4,105.44,One year,1
CUST11110005,42,Male,Central,Premium,27,3802.53,1,113.76,Month-to-month,0
CUST11110006,42,Female,South,Basic,46,2990.43,2,125.12,One year,1
CUST11110007,47,Female,Central,Standard,57,4827.56,1,91.75,Month-to-month,1
CUST11110008,50,Female,West,Basic,5,2636.98,4,66.17,One year,1
CUST11110009,63,Male,East,Basic,71,3635.22,3,114.04,One year,0
CUST11110010,44,Male,North,Basic,19,3311.06,6,104.4,Month-to-month,1
CUST11110011,44,Female,East,Standard,17,2920.08,3,218.33,Month-to-month,1
CUST11110012,50,Female,South,Basic,60,1836.43,2,189.79,One year,0
CUST11110013,43,Female,Central,Basic,8,1604.66,3,166.03,Month-to-month,1
CUST11110014,46,Female,South,Premium,16,3560.08,3,193.43,Month-to-month,1
CUST11110015,47,Female,West,Standard,65,3374.93,1,79.26,One year,0
CUST11110016,23,Male,West,Standard,45,3490.59,6,78.84,One year,1
CUST11110017,61,Male,West,Basic,53,3105.45,5,61.12,One year,0
CUST11110018,39,Female,East,Enterprise,41,4586.17,5,167.64,Month-to-month,0
CUST11110019,61,Male,South,Enterprise,67,2305.87,5,204.11,Month-to-month,0
CUST11110020,30,Male,North,Basic,11,3542.93,2,103.55,Month-to-month,1
CUST11110021,39,Male,Central,Basic,14,4621.05,2,142.45,Two year,0
CUST11110022,55,Female,West,Standard,31,1237.06,6,89.33,Month-to-month,0
CUST11110023,26,Female,East,Premium,70,2389.05,4,127.17,One year,0
CUST11110024,46,Male,East,Premium,67,1540.41,3,127.98,One year,0
CUST11110025,38,Male,South,Standard,38,4753.87,6,157.49,Month-to-month,0
CUST11110026,40,Female,Central,Basic,2,3381.64,4,124.01,One year,0
CUST11110027,36,Male,West,Premium,68,4052.7,6,101.42,Month-to-month,1
CUST11110028,28,Female,North,Enterprise,32,2110.21,3,133.15,One year,0
CUST11110029,25,Male,South,Basic,65,3789.89,2,85.88,One year,0
CUST11110030,65,Male,South,Basic,58,2877.19,1,82.05,One year,1
CUST11110031,53,Male,South,Standard,42,3960.26,1,149.35,Month-to-month,0
CUST11110032,53,Male,West,Premium,39,3088.36,2,152.32,Month-to-month,1
CUST11110033,46,Female,South,Standard,56,3429.92,1,79.65,Month-to-month,0
CUST11110034,56,Female,South,Standard,43,2560.51,2,133.49,Month-to-month,1
CUST11110035,40,Male,East,Premium,65,1966.95,1,156.52,Two year,0
CUST11110036,55,Male,North,Basic,49,3235.03,4,58.8,Month-to-month,1
CUST11110037,63,Female,South,Standard,4,3201.16,2,62.86,One year,0
CUST11110038,55,Female,West,Standard,51,3457.58,1,124.55,Month-to-month,1
CUST11110039,53,Male,East,Premium,29,3960.6,1,164.71,One year,1
CUST11110040,37,Male,South,Premium,38,1877.85,4,90.15,One year,0
CUST11110041,22,Female,North,Standard,57,667.74,3,104.99,Month-to-month,1
CUST11110042,21,Female,East,Premium,56,3665.89,5,73.37,One year,1
CUST11110043,38,Male,North,Standard,70,2325.78,3,66.89,Month-to-month,0
CUST11110044,38,Female,North,Premium,60,3918.42,5,137.3,Month-to-month,0
CUST11110045,37,Male,West,Basic,66,2861.58,2,120.4,One year,1
CUST11110046,57,Male,North,Premium,18,3365.11,0,132.39,Two year,0
CUST11110047,47,Female,North,Basic,60,3237.75,5,112.53,Month-to-month,1
CUST11110048,29,Male,West,Enterprise,16,3117.49,4,76.64,One year,1
CUST11110049,55,Female,North,Standard,7,2851.54,3,48.54,One year,1
CUST11110050,42,Female,North,Basic,21,2852.67,3,121.37,Month-to-month,0
CUST11110051,32,Female,North,Standard,63,3016.59,2,129.82,One year,1
CUST11110052,61,Female,West,Standard,69,804.2,5,208.53,One year,1
CUST11110053,30,Male,East,Premium,10,3799.51,2,121.32,Month-to-month,1
CUST11110054,61,Male,West,Premium,48,3133.57,7,166.59,Two year,0
