customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1120001,29,Male,North,Standard,23,1676.53,4,67.18,Two year,0
CUST1120002,26,Other,North,Premium,5,2452.48,2,215.59,Month-to-month,1
CUST1120003,55,Male,East,Basic,26,1611.23,2,39.61,Month-to-month,0
CUST1120004,58,Male,West,Basic,35,3708.24,1,135.24,Month-to-month,1
CUST1120005,50,Female,East,Basic,40,855.5,1,89.93,Two year,1
CUST1120006,56,Male,North,Basic,57,2439.66,3,32.67,Two year,1
CUST1120007,55,Female,East,Standard,39,3230.91,2,201.35,One year,0
CUST1120008,21,Male,South,Standard,67,2046.85,1,69.73,One year,0
CUST1120009,43,Male,West,Standard,8,4050.05,4,53.56,Month-to-month,1
CUST1120010,24,Male,South,Standard,29,3847.01,3,44.35,One year,1
CUST1120011,25,Female,East,Basic,38,2120.91,3,153.81,One year,0
CUST1120012,43,Male,East,Basic,51,4412.5,4,95.09,One year,1
CUST1120013,44,Female,East,Basic,69,3168.83,1,109.31,One year,0
CUST1120014,58,Male,West,Enterprise,39,2569.78,0,45.15,One year,0
CUST1120015,44,Male,West,Basic,54,2340.36,2,75.76,Month-to-month,1
CUST1120016,32,Female,West,Enterprise,48,2511.5,0,99.08,Month-to-month,0
CUST1120017,65,Female,West,Premium,47,3734.04,2,172.86,One year,0
CUST1120018,35,Female,South,Basic,38,2434.46,0,56.24,One year,0
CUST1120019,53,Other,South,Standard,64,4017.19,5,112.43,Month-to-month,0
CUST1120020,53,Male,Central,Premium,49,3496.34,6,197.92,One year,0
CUST1120021,26,Male,North,Basic,12,2055.32,1,107.88,Month-to-month,1
CUST1120022,23,Male,West,Basic,28,3419.27,1,84.28,One year,0
CUST1120023,25,Female,East,Premium,34,2478.38,3,210.95,Month-to-month,0
CUST1120024,57,Male,West,Basic,24,3353.29,2,221.52,Month-to-month,1
CUST1120025,65,Female,South,Basic,71,2365.5,1,63.55,Month-to-month,1
CUST1120026,64,Other,East,Standard,19,3556.09,2,95.5,Month-to-month,0
CUST1120027,56,Female,West,Premium,11,2320.78,0,131.31,One year,0
CUST1120028,56,Male,East,Basic,33,2157.79,2,149.98,Two year,0
CUST1120029,31,Male,West,Standard,31,2717.55,2,208.68,One year,0
CUST1120030,65,Male,West,Premium,43,2265.82,4,69.27,Two year,0
CUST1120031,63,Male,North,Enterprise,19,1740.48,6,63.7,Month-to-month,1
CUST1120032,43,Female,North,Basic,56,2103.45,4,118.96,Month-to-month,1
CUST1120033,38,Male,East,Premium,23,1579.6,1,100.38,Two year,0
CUST1120034,29,Male,East,Premium,22,1572.59,1,95.57,Two year,0
CUST1120035,56,Female,South,Standard,37,2849.02,0,108.49,Month-to-month,1
CUST1120036,57,Female,East,Premium,43,2651.82,1,125.78,Month-to-month,0
CUST1120037,57,Male,South,Basic,25,2079.75,0,106.32,Month-to-month,1
CUST1120038,65,Male,South,Premium,9,1564.17,5,173.6,One year,0
CUST1120039,48,Female,East,Basic,10,2432.8,2,71.17,Month-to-month,1
CUST1120040,55,Female,East,Basic,66,2374.12,2,110.73,Two year,1
CUST1120041,60,Male,North,Premium,15,2530.8,4,119.32,One year,1
CUST1120042,25,Female,South,Premium,55,2742.82,1,62.98,Month-to-month,0
CUST1120043,57,Female,Central,Standard,2,3354.74,1,59.35,Month-to-month,1
CUST1120044,35,Male,West,Premium,40,3411.86,0,43.04,Month-to-month,0
CUST1120045,22,Female,East,Standard,52,2195.48,1,66.94,Two year,0
CUST1120046,31,Female,North,Enterprise,60,2051.62,2,60.41,Month-to-month,1
CUST1120047,36,Female,West,Enterprise,47,2065.06,4,61.84,One year,0
CUST1120048,55,Male,East,Basic,64,1950.11,1,71.05,Month-to-month,1
CUST1120049,43,Male,South,Standard,49,4203.82,7,86.7,Two year,1
CUST1120050,29,Male,North,Standard,30,3052.69,4,86.24,Month-to-month,0
CUST1120051,44,Male,East,Standard,19,1109.37,2,80.41,Month-to-month,1
CUST1120052,22,Female,Central,Basic,57,3009.17,2,221.4,One year,0
CUST1120053,49,Female,West,Premium,4,1169.03,2,79.0,Month-to-month,0
CUST1120054,42,Male,South,Premium,58,1153.34,5,75.12,Two year,1
CUST1120055,33,Male,East,Standard,18,3341.7,3,137.61,Month-to-month,0
CUST1120056,43,Male,North,Premium,38,3936.63,0,64.17,Month-to-month,1
CUST1120057,26,Female,North,Standard,29,3624.23,3,117.5,One year,1
CUST1120058,42,Female,West,Basic,14,1869.98,2,58.06,Two year,0
CUST1120059,56,Female,Central,Basic,72,3264.57,1,81.28,Month-to-month,0
CUST1120060,45,Female,South,Premium,52,1943.67,2,155.06,Month-to-month,0
CUST1120061,27,Female,West,Basic,29,3600.79,1,57.22,Month-to-month,1
CUST1120062,51,Female,East,Premium,29,2052.72,1,124.19,One year,0
CUST1120063,59,Female,South,Premium,33,3194.48,3,67.01,Two year,1
CUST1120064,46,Male,Central,Standard,46,2984.46,3,81.43,One year,0
CUST1120065,24,Female,Central,Standard,38,2434.83,3,84.48,Month-to-month,0
CUST1120066,38,Male,North,Standard,66,3221.27,3,137.29,One year,0
CUST1120067,35,Male,East,Basic,11,2867.39,0,200.8,One year,1
CUST1120068,21,Female,Central,Premium,59,2171.75,2,94.14,Month-to-month,1
CUST1120069,63,Male,Central,Basic,64,2565.78,2,72.72,Month-to-month,0
CUST1120070,53,Male,Central,Standard,34,2202.47,0,84.2,One year,1
CUST1120071,39,Female,East,Basic,40,1905.27,3,26.19,Month-to-month,0
CUST1120072,32,Female,Central,Premium,60,2357.87,3,177.4,One year,1
CUST1120073,23,Male,South,Basic,61,2368.5,3,177.05,Month-to-month,0
CUST1120074,25,Male,West,Premium,69,1891.31,2,45.59,Month-to-month,1
CUST1120075,24,Female,West,Premium,50,987.96,2,89.7,Month-to-month,1
CUST1120076,56,Other,East,Standard,47,2483.89,3,215.69,Month-to-month,0
CUST1120077,49,Male,North,Standard,49,2818.27,2,77.21,One year,0
CUST1120078,28,Male,Central,Premium,63,3562.87,2,85.66,Month-to-month,1
CUST1120079,46,Female,South,Premium,66,1312.13,3,168.25,One year,0
CUST1120080,60,Female,Central,Enterprise,13,2666.97,2,121.89,Two year,0
CUST1120081,24,Female,Central,Standard,2,4297.88,1,152.54,Two year,0
