customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11120001,30,Male,Central,Premium,68,2630.37,2,54.21,Month-to-month,0
CUST11120002,47,Other,West,Standard,60,2217.54,0,123.2,One year,0
CUST11120003,40,Female,North,Standard,8,4161.88,4,168.93,Month-to-month,1
CUST11120004,45,Female,North,Enterprise,63,2480.1,4,66.24,Month-to-month,0
CUST11120005,57,Female,West,Basic,59,2693.03,3,231.56,Month-to-month,1
CUST11120006,59,Male,South,Basic,43,1948.06,4,156.24,Month-to-month,0
CUST11120007,37,Male,East,Standard,66,3466.75,2,133.65,Month-to-month,1
CUST11120008,46,Female,North,Standard,6,2377.29,0,111.98,Month-to-month,0
CUST11120009,21,Female,Central,Premium,32,3475.7,2,133.87,Month-to-month,1
CUST11120010,37,Female,West,Standard,27,752.94,2,142.56,Month-to-month,0
CUST11120011,40,Male,Central,Standard,20,2581.4,5,120.64,Month-to-month,1
CUST11120012,48,Female,Central,Premium,26,3838.52,2,103.41,One year,1
CUST11120013,36,Female,South,Enterprise,19,2766.64,4,137.52,Month-to-month,1
CUST11120014,65,Male,South,Basic,30,3732.35,0,143.55,Month-to-month,1
CUST11120015,39,Male,North,Basic,60,3922.67,4,89.37,Month-to-month,0
CUST11120016,44,Male,West,Premium,17,3628.55,3,138.5,Month-to-month,0
CUST11120017,41,Male,South,Premium,28,2243.16,2,93.73,Month-to-month,1
CUST11120018,25,Female,Central,Standard,7,1964.42,2,146.42,Month-to-month,1
CUST11120019,45,Female,West,Premium,67,2749.34,3,148.38,One year,1
CUST11120020,30,Male,South,Premium,52,3777.65,1,77.39,Month-to-month,0
CUST11120021,24,Male,East,Standard,45,686.4,7,116.33,One year,0
CUST11120022,53,Other,Central,Premium,65,3437.03,3,75.44,Month-to-month,1
CUST11120023,56,Male,East,Premium,50,1843.92,4,77.56,One year,1
CUST11120024,24,Male,West,Enterprise,48,2390.86,3,87.7,Month-to-month,1
CUST11120025,65,Other,South,Standard,1,2556.97,3,46.6,One year,0
CUST11120026,34,Female,North,Basic,10,4969.34,1,80.19,Month-to-month,0
CUST11120027,23,Male,West,Standard,70,2376.75,3,69.49,One year,0
CUST11120028,23,Female,North,Standard,11,4470.66,0,128.23,One year,0
CUST11120029,26,Male,South,Standard,1,3987.05,2,293.3,One year,1
CUST11120030,39,Female,East,Standard,43,2858.36,4,87.53,Month-to-month,0
CUST11120031,30,Male,Central,Premium,40,3483.29,3,75.02,Two year,0
CUST11120032,57,Female,Central,Standard,24,1780.54,6,115.56,One year,0
CUST11120033,21,Female,West,Basic,21,5318.16,2,69.64,Month-to-month,1
CUST11120034,25,Female,North,Basic,17,4454.4,3,177.52,One year,0
CUST11120035,35,Male,West,Standard,9,4933.5,1,159.74,Month-to-month,0
CUST11120036,45,Female,North,Enterprise,60,2246.67,4,103.15,One year,0
CUST11120037,61,Female,West,Premium,3,2052.25,2,111.76,One year,1
CUST11120038,38,Male,South,Enterprise,37,2954.35,4,98.72,Month-to-month,0
CUST11120039,25,Male,South,Standard,20,2875.99,8,46.88,One year,0
CUST11120040,45,Other,West,Enterprise,9,2230.7,0,68.83,Month-to-month,0
CUST11120041,30,Female,South,Standard,32,3525.65,3,132.85,One year,1
CUST11120042,37,Male,West,Basic,64,2972.96,2,66.49,Month-to-month,1
CUST11120043,30,Male,Central,Basic,5,810.9,2,119.96,Month-to-month,1
CUST11120044,43,Male,Central,Premium,4,1890.24,2,62.52,Month-to-month,0
CUST11120045,42,Male,West,Premium,39,3751.13,3,53.62,Month-to-month,0
CUST11120046,35,Male,North,Basic,27,2845.58,0,122.6,Month-to-month,0
CUST11120047,62,Female,East,Basic,57,1180.63,2,25.39,Month-to-month,0
CUST11120048,27,Male,North,Premium,8,4429.84,3,77.33,Month-to-month,1
CUST11120049,49,Other,South,Premium,59,2442.63,4,107.82,One year,0
CUST11120050,21,Male,West,Premium,11,4152.9,0,82.98,Month-to-month,1
CUST11120051,38,Male,Central,Basic,38,3663.53,2,138.17,Month-to-month,1
CUST11120052,42,Male,Central,Basic,59,2402.8,1,155.2,Month-to-month,0
CUST11120053,62,Female,Central,Basic,20,3727.72,2,40.67,Month-to-month,1
CUST11120054,31,Male,North,Basic,67,3703.96,4,34.92,One year,1
CUST11120055,61,Female,East,Standard,25,4118.98,3,103.33,Month-to-month,1
CUST11120056,45,Male,Central,Enterprise,58,3032.62,4,36.8,Month-to-month,1
CUST11120057,50,Female,Central,Premium,3,3908.14,4,115.51,One year,0
CUST11120058,50,Other,East,Premium,4,3319.93,4,98.45,One year,0
CUST11120059,36,Female,North,Basic,5,1973.68,4,154.11,Month-to-month,0
CUST11120060,37,Male,East,Premium,3,3382.33,4,163.36,Two year,0
CUST11120061,28,Female,Central,Basic,10,2845.86,2,121.63,One year,1
CUST11120062,24,Male,North,Basic,33,3652.78,1,223.01,One year,1
CUST11120063,57,Male,South,Standard,66,3713.88,2,100.56,Month-to-month,1
CUST11120064,54,Female,South,Standard,15,3782.12,1,133.46,Month-to-month,1
CUST11120065,24,Male,West,Standard,38,944.52,4,102.51,Month-to-month,0
CUST11120066,22,Male,East,Premium,27,2523.15,4,117.52,Month-to-month,0
CUST11120067,47,Female,Central,Basic,71,3018.98,3,111.69,One year,0
CUST11120068,51,Male,North,Enterprise,36,2184.51,1,85.78,One year,0
CUST11120069,46,Male,North,Standard,3,2786.07,3,132.01,Month-to-month,1
CUST11120070,35,Male,North,Standard,72,2410.55,4,59.67,Month-to-month,1
CUST11120071,56,Female,North,Standard,11,3704.2,4,125.27,Month-to-month,1
CUST11120072,63,Male,South,Basic,9,2683.42,0,106.36,One year,1
CUST11120073,63,Male,East,Premium,13,2698.2,0,87.88,Month-to-month,1
CUST11120074,40,Female,Central,Enterprise,48,3414.04,4,100.64,One year,0
CUST11120075,46,Female,South,Basic,38,3002.13,2,98.91,Month-to-month,0
CUST11120076,28,Male,South,Premium,28,2887.47,2,193.8,Month-to-month,1
CUST11120077,36,Male,Central,Standard,9,4612.21,3,148.08,Month-to-month,1
CUST11120078,42,Male,East,Enterprise,41,4084.49,5,157.8,Month-to-month,1
CUST11120079,61,Male,Central,Standard,11,1138.53,4,113.02,Month-to-month,1
CUST11120080,43,Female,Central,Basic,30,1685.33,2,94.25,One year,0
CUST11120081,63,Male,West,Basic,65,2628.31,2,135.44,Two year,0
CUST11120082,23,Male,South,Premium,42,2360.3,2,113.34,One year,0
CUST11120083,21,Male,West,Basic,45,3748.15,5,75.01,Month-to-month,0
CUST11120084,47,Female,South,Basic,4,2791.45,3,103.52,Month-to-month,1
CUST11120085,53,Female,East,Standard,11,2772.36,1,107.52,Month-to-month,0
CUST11120086,22,Female,East,Premium,14,787.1,3,115.24,Month-to-month,1
CUST11120087,56,Male,South,Enterprise,29,3728.55,3,174.35,One year,0
CUST11120088,21,Male,North,Premium,13,2818.12,2,184.94,Month-to-month,1
CUST11120089,32,Male,North,Standard,69,2977.62,3,106.86,Month-to-month,1
CUST11120090,24,Female,East,Standard,32,4030.42,0,159.87,Month-to-month,1
CUST11120091,33,Female,Central,Basic,9,2745.72,2,117.05,Month-to-month,1
CUST11120092,53,Female,Central,Standard,12,1868.95,2,40.76,Month-to-month,1
CUST11120093,33,Female,Central,Standard,32,2761.45,2,117.18,Month-to-month,0
CUST11120094,37,Female,West,Premium,13,4018.94,2,130.28,Month-to-month,0
CUST11120095,37,Male,East,Basic,54,3135.05,4,56.69,Month-to-month,1
CUST11120096,33,Male,West,Basic,66,3315.79,3,142.78,One year,0
CUST11120097,65,Male,West,Premium,24,4778.62,3,81.1,One year,0
CUST11120098,31,Female,West,Standard,29,3009.41,3,122.86,Month-to-month,1
CUST11120099,21,Male,West,Premium,51,4385.31,4,72.46,Month-to-month,0
CUST11120100,54,Male,East,Standard,24,1484.94,1,150.76,Month-to-month,0
CUST11120101,61,Male,West,Basic,10,3201.35,0,142.16,One year,1
CUST11120102,23,Male,South,Basic,7,2713.3,1,110.85,One year,1
CUST11120103,52,Female,Central,Premium,40,3826.41,0,135.22,Month-to-month,1
CUST11120104,58,Male,North,Premium,60,3911.61,5,55.02,Month-to-month,1
CUST11120105,26,Female,Central,Basic,57,3111.13,2,98.67,Month-to-month,1
CUST11120106,35,Female,East,Premium,29,3070.41,2,144.51,Month-to-month,1
CUST11120107,34,Male,West,Premium,15,4616.69,2,172.12,Month-to-month,0
CUST11120108,45,Female,Central,Standard,9,3350.85,6,110.5,Month-to-month,1
CUST11120109,29,Male,West,Enterprise,28,3640.53,3,123.49,Month-to-month,1
CUST11120110,23,Male,West,Basic,8,3950.61,0,123.58,Month-to-month,1
CUST11120111,41,Female,East,Standard,35,1897.61,2,120.26,One year,0
CUST11120112,24,Male,South,Basic,19,3039.84,5,80.18,Month-to-month,1
CUST11120113,26,Female,Central,Premium,16,3155.53,2,59.35,Month-to-month,0
CUST11120114,51,Female,West,Basic,9,3492.21,0,90.45,Month-to-month,1
CUST11120115,38,Male,West,Basic,57,2072.18,4,154.94,Month-to-month,0
CUST11120116,23,Female,West,Standard,52,2500.48,0,101.39,Two year,0
CUST11120117,29,Female,East,Standard,59,3100.49,5,117.47,One year,0
CUST11120118,45,Female,Central,Standard,19,3003.3,1,68.45,Month-to-month,0
CUST11120119,37,Male,North,Standard,60,3463.07,1,93.86,Month-to-month,0
CUST11120120,50,Other,Central,Basic,53,4766.56,1,152.77,Month-to-month,0
CUST11120121,48,Male,South,Basic,34,950.96,1,88.05,Month-to-month,0
CUST11120122,37,Female,Central,Standard,61,2607.63,4,115.83,Month-to-month,0
CUST11120123,51,Female,South,Standard,9,3295.75,2,90.94,Two year,1
CUST11120124,62,Male,Central,Standard,2,3972.39,3,76.61,One year,0
CUST11120125,52,Male,North,Basic,68,1565.45,2,94.19,Month-to-month,0
CUST11120126,41,Male,West,Enterprise,67,2474.28,3,125.04,One year,0
CUST11120127,32,Male,South,Basic,15,1824.99,5,191.18,Month-to-month,1
CUST11120128,23,Female,North,Basic,62,2649.36,3,173.57,Month-to-month,1
CUST11120129,23,Male,East,Premium,41,2823.58,3,150.62,Month-to-month,1
CUST11120130,37,Male,North,Standard,6,2826.85,0,67.02,Month-to-month,1
CUST11120131,60,Male,Central,Premium,9,3991.03,0,236.59,Month-to-month,1
CUST11120132,22,Female,South,Standard,44,2890.75,2,57.16,Month-to-month,1
CUST11120133,23,Female,South,Premium,50,4151.6,4,58.92,One year,0
CUST11120134,21,Female,West,Standard,72,2224.21,2,80.83,One year,1
CUST11120135,57,Male,East,Basic,30,3192.01,4,178.31,Month-to-month,1
CUST11120136,48,Male,West,Premium,71,2597.34,2,117.87,Two year,0
CUST11120137,52,Male,South,Basic,61,1253.7,2,235.44,Month-to-month,0
CUST11120138,23,Male,North,Standard,37,3807.18,1,99.65,Month-to-month,0
CUST11120139,56,Female,East,Premium,61,3101.51,3,81.76,Month-to-month,0
CUST11120140,30,Male,Central,Premium,2,2640.32,2,170.03,Two year,1
CUST11120141,30,Male,North,Basic,21,2695.92,3,144.8,Month-to-month,1
CUST11120142,58,Female,Central,Basic,12,3273.83,2,71.88,One year,1
CUST11120143,25,Male,South,Standard,60,2386.57,2,83.97,Month-to-month,1
CUST11120144,48,Other,South,Basic,39,3633.62,2,182.25,One year,1
CUST11120145,23,Male,West,Standard,6,2856.32,4,47.98,Month-to-month,1
CUST11120146,55,Male,West,Basic,69,1561.41,2,52.35,Month-to-month,0
CUST11120147,57,Female,Central,Standard,55,2741.32,3,100.87,Month-to-month,0
CUST11120148,22,Female,North,Basic,10,2570.61,1,156.09,Month-to-month,0
CUST11120149,61,Male,Central,Premium,17,500.0,2,38.45,One year,0
CUST11120150,34,Female,North,Basic,39,2442.07,4,102.93,One year,0
CUST11120151,42,Female,South,Standard,68,5164.63,1,144.51,Month-to-month,0
CUST11120152,22,Female,North,Standard,9,4208.01,3,117.78,One year,1
CUST11120153,41,Male,South,Premium,27,2497.09,4,87.5,One year,0
CUST11120154,62,Male,West,Enterprise,43,3170.38,2,91.94,Month-to-month,0
CUST11120155,34,Female,East,Basic,18,3850.59,5,177.08,Month-to-month,1
CUST11120156,41,Female,South,Standard,63,2535.04,2,139.07,Month-to-month,1
CUST11120157,26,Female,Central,Standard,45,1733.5,1,139.71,One year,0
CUST11120158,51,Female,West,Basic,39,1883.42,2,81.25,One year,1
CUST11120159,34,Female,Central,Standard,54,2600.8,4,87.97,Month-to-month,0
CUST11120160,59,Male,Central,Basic,15,3641.32,3,97.07,One year,0
CUST11120161,65,Female,North,Standard,72,2720.34,2,105.66,One year,0
CUST11120162,61,Female,South,Enterprise,9,3032.62,1,88.42,Month-to-month,0
CUST11120163,49,Male,East,Enterprise,11,4671.72,3,92.42,One year,0
CUST11120164,37,Female,Central,Premium,47,2878.18,2,90.06,One year,0
CUST11120165,50,Female,West,Standard,23,4204.88,2,123.98,One year,0
CUST11120166,52,Female,North,Basic,23,2328.48,3,96.13,Two year,1
CUST11120167,42,Female,West,Standard,30,2648.6,1,132.43,Two year,1
CUST11120168,26,Male,Central,Standard,64,4221.36,2,72.65,One year,1
CUST11120169,62,Male,South,Basic,5,4825.69,4,110.74,One year,1
CUST11120170,60,Male,North,Standard,31,4666.24,5,177.66,Month-to-month,0
CUST11120171,26,Male,West,Premium,46,3766.84,4,326.73,Two year,0
CUST11120172,62,Female,West,Enterprise,72,3460.14,3,62.85,Month-to-month,0
CUST11120173,59,Female,East,Premium,36,3618.32,3,158.17,Month-to-month,1
CUST11120174,60,Female,South,Standard,71,2408.69,1,111.79,Month-to-month,0
CUST11120175,22,Female,North,Premium,7,2880.89,6,96.08,Month-to-month,0
CUST11120176,48,Female,East,Basic,59,4003.64,2,73.16,Month-to-month,1
CUST11120177,51,Male,North,Premium,34,1982.96,3,119.74,Two year,0
CUST11120178,39,Male,South,Basic,32,3013.35,2,77.06,One year,1
CUST11120179,45,Female,West,Basic,69,5333.45,3,98.13,Month-to-month,0
CUST11120180,34,Female,Central,Standard,50,3169.93,1,133.37,Month-to-month,0
CUST11120181,30,Female,Central,Standard,13,2416.42,4,144.75,Month-to-month,0
CUST11120182,30,Male,West,Premium,27,2224.54,4,98.06,Month-to-month,1
CUST11120183,51,Male,Central,Standard,40,909.88,3,249.19,One year,0
CUST11120184,28,Male,South,Standard,60,3341.39,2,96.98,Month-to-month,1
CUST11120185,39,Male,West,Basic,14,3277.6,1,75.79,Two year,1
CUST11120186,43,Other,Central,Premium,53,2984.5,2,117.06,Month-to-month,1
