customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11130001,56,Male,East,Basic,1,3350.32,3,109.22,One year,1
CUST11130002,64,Female,West,Standard,66,2517.02,6,147.9,Month-to-month,1
CUST11130003,44,Female,West,Standard,23,2764.78,5,68.49,Month-to-month,1
CUST11130004,23,Female,East,Basic,15,1868.16,2,68.03,Two year,0
CUST11130005,21,Male,South,Premium,39,2361.07,3,211.63,One year,0
CUST11130006,61,Male,Central,Basic,41,2925.22,4,76.73,One year,1
CUST11130007,23,Female,North,Premium,10,1237.97,4,130.19,Month-to-month,1
CUST11130008,51,Male,West,Basic,8,4268.92,3,109.94,Month-to-month,1
CUST11130009,30,Male,South,Standard,58,3079.82,5,177.72,Month-to-month,0
CUST11130010,41,Male,North,Enterprise,16,946.73,3,221.33,One year,0
CUST11130011,49,Female,West,Basic,48,4913.77,2,72.41,Month-to-month,0
CUST11130012,51,Male,Central,Premium,35,2278.46,5,108.49,One year,1
CUST11130013,32,Female,Central,Premium,27,1523.86,4,167.49,Month-to-month,1
CUST11130014,54,Female,North,Enterprise,29,3130.12,6,97.55,Month-to-month,0
CUST11130015,21,Male,South,Standard,28,4145.08,6,81.19,Month-to-month,1
CUST11130016,30,Female,East,Basic,10,3792.14,3,136.59,Two year,0
CUST11130017,25,Male,East,Premium,63,4209.63,5,72.88,Month-to-month,1
CUST11130018,56,Female,North,Standard,59,3638.16,2,287.18,Month-to-month,1
CUST11130019,43,Male,Central,Premium,2,1992.41,2,58.2,One year,1
CUST11130020,25,Female,East,Enterprise,66,3626.93,3,50.28,Month-to-month,0
CUST11130021,62,Female,West,Standard,4,2049.08,6,143.84,Month-to-month,1
CUST11130022,43,Female,North,Standard,32,4041.66,8,115.8,One year,0
CUST11130023,59,Female,North,Standard,42,2844.72,2,183.14,Month-to-month,1
CUST11130024,30,Male,North,Premium,33,3043.49,3,111.87,Month-to-month,0
CUST11130025,31,Female,West,Premium,58,3421.77,1,123.77,Month-to-month,0
CUST11130026,45,Male,South,Premium,29,4353.15,2,100.6,One year,0
CUST11130027,37,Female,North,Basic,56,3752.23,2,105.63,Month-to-month,1
CUST11130028,44,Male,South,Basic,28,3146.58,4,193.13,One year,0
CUST11130029,33,Female,South,Basic,45,2667.64,3,85.13,One year,0
CUST11130030,38,Female,North,Standard,64,1116.95,2,90.12,Month-to-month,0
CUST11130031,22,Female,South,Enterprise,41,2987.94,2,98.08,Month-to-month,1
CUST11130032,24,Female,North,Premium,34,2529.83,4,139.52,One year,1
CUST11130033,24,Male,South,Standard,68,2983.62,3,219.05,Month-to-month,0
CUST11130034,42,Male,Central,Premium,8,3731.51,4,85.63,Month-to-month,1
CUST11130035,27,Female,West,Enterprise,28,2457.59,3,77.96,Month-to-month,1
CUST11130036,42,Male,West,Basic,9,2507.01,1,55.22,Month-to-month,1
CUST11130037,45,Female,Central,Enterprise,1,3280.77,0,192.75,Month-to-month,0
CUST11130038,21,Male,Central,Enterprise,62,3194.94,2,128.54,Two year,0
CUST11130039,24,Female,North,Basic,66,3057.31,3,184.72,Two year,1
CUST11130040,21,Male,Central,Standard,32,2967.78,4,106.47,Month-to-month,1
CUST11130041,34,Male,East,Standard,36,3066.38,2,103.9,Two year,0
CUST11130042,37,Female,East,Standard,40,2926.91,1,100.14,Month-to-month,0
CUST11130043,27,Female,Central,Standard,43,2581.53,4,163.56,Month-to-month,1
CUST11130044,43,Other,East,Standard,10,2992.52,2,126.0,Month-to-month,0
CUST11130045,45,Male,Central,Premium,61,2831.46,1,154.99,Month-to-month,0
CUST11130046,39,Female,East,Enterprise,40,3027.51,4,57.29,One year,0
CUST11130047,25,Female,North,Standard,39,2582.9,3,143.44,One year,0
CUST11130048,34,Female,West,Standard,58,3702.28,1,104.96,Month-to-month,1
CUST11130049,64,Female,West,Premium,10,2128.65,4,91.84,One year,0
CUST11130050,59,Male,North,Standard,35,2383.51,4,82.37,Month-to-month,1
CUST11130051,54,Male,West,Basic,32,1397.47,0,35.48,One year,0
CUST11130052,29,Female,West,Basic,54,1485.77,4,105.02,Month-to-month,1
CUST11130053,48,Male,North,Standard,65,2054.94,2,106.24,Month-to-month,0
CUST11130054,32,Male,South,Standard,42,1716.31,3,223.82,Month-to-month,1
CUST11130055,57,Female,Central,Standard,4,3173.91,2,97.13,Two year,0
CUST11130056,46,Female,South,Standard,68,2916.52,0,88.7,Month-to-month,0
CUST11130057,36,Male,Central,Enterprise,41,4254.79,2,87.51,Two year,0
CUST11130058,42,Male,South,Basic,2,3337.14,4,145.32,Month-to-month,1
CUST11130059,58,Female,North,Premium,4,2661.14,5,122.55,Month-to-month,0
CUST11130060,28,Male,North,Enterprise,12,3520.27,6,92.16,Month-to-month,1
CUST11130061,54,Male,Central,Basic,21,2935.63,4,161.25,One year,1
CUST11130062,42,Male,Central,Premium,72,3090.16,2,160.19,Month-to-month,1
CUST11130063,40,Female,North,Basic,43,3230.75,2,85.33,Two year,0
CUST11130064,55,Female,East,Basic,29,4277.77,4,68.28,Month-to-month,1
CUST11130065,29,Male,North,Premium,3,1900.71,6,92.64,One year,1
CUST11130066,47,Female,North,Premium,34,2898.23,1,166.22,Month-to-month,0
CUST11130067,52,Female,South,Premium,42,4594.96,3,54.55,Two year,0
CUST11130068,51,Female,West,Standard,49,2244.13,2,119.6,One year,0
CUST11130069,23,Female,South,Standard,14,3447.79,3,158.48,Month-to-month,1
CUST11130070,22,Male,South,Basic,33,3477.06,2,67.95,Month-to-month,0
CUST11130071,56,Male,North,Enterprise,42,3789.59,2,99.13,Month-to-month,0
CUST11130072,27,Female,Central,Basic,35,2259.39,5,132.45,One year,1
CUST11130073,23,Male,North,Standard,59,3294.83,1,129.15,One year,0
CUST11130074,26,Male,North,Premium,45,3320.26,3,128.13,Month-to-month,0
CUST11130075,60,Male,West,Standard,43,2438.1,3,122.68,One year,1
CUST11130076,39,Male,East,Standard,42,3044.79,4,117.81,Month-to-month,1
CUST11130077,38,Male,East,Standard,67,3222.1,1,117.22,Month-to-month,0
CUST11130078,57,Female,North,Premium,60,2688.1,2,144.59,One year,0
CUST11130079,23,Female,Central,Enterprise,40,2057.05,5,115.09,One year,0
CUST11130080,36,Male,North,Standard,17,3767.73,8,58.67,Month-to-month,0
CUST11130081,43,Male,South,Standard,62,3829.22,4,146.49,One year,1
CUST11130082,47,Female,South,Enterprise,38,3068.65,5,161.18,Month-to-month,1
CUST11130083,27,Male,Central,Basic,5,2276.89,5,107.79,One year,1
CUST11130084,42,Male,West,Standard,36,2686.54,5,105.14,Month-to-month,1
