customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1140001,28,Female,North,Standard,57,1325.55,3,79.57,One year,0
CUST1140002,53,Male,South,Basic,70,2644.54,1,187.11,One year,0
CUST1140003,61,Male,North,Standard,43,1763.1,2,79.62,Month-to-month,0
CUST1140004,27,Male,North,Standard,10,2796.28,2,164.92,Month-to-month,1
CUST1140005,24,Female,West,Basic,62,3179.03,3,213.73,Month-to-month,0
CUST1140006,40,Female,South,Premium,34,1915.05,4,115.19,Month-to-month,1
CUST1140007,39,Female,North,Standard,20,3132.79,4,159.62,Month-to-month,1
CUST1140008,52,Female,North,Standard,21,2165.63,6,165.25,One year,0
CUST1140009,60,Female,South,Enterprise,11,2938.16,1,149.54,Month-to-month,1
CUST1140010,48,Male,East,Standard,3,833.33,2,220.45,One year,1
CUST1140011,37,Male,West,Enterprise,12,2762.27,4,115.7,Month-to-month,1
CUST1140012,50,Female,East,Standard,63,2325.48,4,96.57,Month-to-month,1
CUST1140013,49,Female,Central,Premium,29,1679.3,1,107.75,Two year,1
CUST1140014,40,Female,South,Basic,7,1139.93,2,233.06,Two year,1
CUST1140015,37,Male,Central,Standard,60,3104.02,0,219.7,Two year,0
CUST1140016,44,Female,South,Premium,68,2999.3,1,60.79,One year,0
CUST1140017,21,Female,North,Standard,58,1959.86,0,52.11,Month-to-month,1
CUST1140018,61,Female,Central,Premium,6,2900.56,1,93.87,Month-to-month,1
CUST1140019,53,Female,Central,Premium,67,4696.62,3,154.78,One year,1
CUST1140020,25,Male,Central,Basic,72,2339.34,4,134.26,Two year,0
CUST1140021,37,Female,Central,Premium,37,1828.79,6,105.01,Month-to-month,0
CUST1140022,28,Male,North,Basic,43,3187.1,3,72.81,Two year,0
CUST1140023,28,Female,West,Standard,20,3913.27,1,160.66,Month-to-month,1
CUST1140024,21,Female,Central,Standard,23,1608.12,3,101.2,Month-to-month,0
CUST1140025,56,Female,West,Basic,10,500.0,2,81.43,Two year,0
CUST1140026,46,Female,North,Standard,17,2113.87,1,81.23,Two year,0
CUST1140027,53,Male,Central,Basic,42,2476.16,4,65.8,One year,1
CUST1140028,28,Female,West,Standard,53,2933.57,5,150.13,Month-to-month,0
CUST1140029,21,Female,West,Premium,34,2178.56,4,81.03,Month-to-month,0
CUST1140030,35,Male,West,Enterprise,53,2985.11,3,162.45,Month-to-month,1
CUST1140031,30,Male,North,Enterprise,3,2026.59,1,77.23,Month-to-month,1
CUST1140032,65,Female,East,Basic,33,2416.93,0,203.29,One year,0
