customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11140001,29,Female,Central,Basic,3,2219.09,3,54.57,Month-to-month,1
CUST11140002,28,Female,East,Standard,55,3655.89,1,86.61,One year,1
CUST11140003,61,Male,North,Enterprise,33,3230.71,2,93.87,Month-to-month,0
CUST11140004,56,Female,North,Premium,20,1199.95,4,86.49,Month-to-month,0
CUST11140005,60,Female,East,Standard,33,3467.27,5,144.6,One year,1
CUST11140006,43,Male,West,Standard,67,3824.81,3,118.6,Month-to-month,0
CUST11140007,50,Male,South,Standard,64,3934.95,4,110.5,One year,1
CUST11140008,56,Female,East,Basic,72,2997.26,3,163.38,Month-to-month,0
CUST11140009,25,Female,East,Standard,37,3151.89,3,161.6,Month-to-month,0
CUST11140010,56,Male,South,Premium,63,2980.17,1,130.22,Month-to-month,1
CUST11140011,38,Other,West,Premium,28,2411.72,4,166.12,One year,0
CUST11140012,53,Female,West,Basic,38,3209.67,0,68.62,Two year,0
CUST11140013,60,Female,West,Basic,24,2458.84,2,183.22,Month-to-month,0
CUST11140014,30,Female,East,Premium,21,4689.13,3,74.5,Month-to-month,0
CUST11140015,57,Female,East,Standard,67,1621.79,3,84.12,Month-to-month,1
CUST11140016,35,Male,East,Standard,42,1192.75,1,115.66,Two year,0
CUST11140017,40,Male,West,Standard,62,3193.26,4,100.22,One year,0
CUST11140018,38,Male,South,Standard,48,3737.34,6,75.47,One year,0
CUST11140019,24,Female,West,Standard,69,2625.81,4,117.43,Month-to-month,1
CUST11140020,39,Male,East,Standard,15,3217.18,1,104.8,Month-to-month,0
CUST11140021,59,Female,North,Enterprise,38,2346.83,2,139.06,One year,0
CUST11140022,40,Male,East,Basic,47,2872.71,4,81.02,Month-to-month,1
CUST11140023,63,Female,East,Premium,24,2259.82,0,83.44,Month-to-month,1
CUST11140024,44,Male,North,Premium,1,2021.04,4,99.14,One year,1
CUST11140025,43,Female,North,Basic,52,3696.87,3,162.39,One year,1
CUST11140026,59,Other,West,Enterprise,47,2376.14,2,119.35,Month-to-month,0
CUST11140027,29,Female,South,Enterprise,61,2986.22,2,112.77,Month-to-month,1
CUST11140028,31,Male,South,Basic,16,3680.69,6,98.63,Month-to-month,0
CUST11140029,61,Female,South,Standard,48,3313.4,2,108.81,Month-to-month,1
CUST11140030,33,Female,Central,Premium,33,1299.93,1,60.15,Month-to-month,0
CUST11140031,35,Male,North,Premium,9,1980.07,2,169.59,Month-to-month,1
CUST11140032,58,Female,West,Standard,29,3818.85,2,115.96,Month-to-month,1
CUST11140033,36,Female,Central,Premium,11,3278.52,3,97.09,Month-to-month,0
CUST11140034,32,Male,Central,Standard,31,1778.45,1,104.53,One year,0
CUST11140035,45,Female,Central,Standard,57,1968.37,2,74.46,Two year,0
CUST11140036,33,Female,West,Basic,17,3788.56,6,56.6,Month-to-month,1
CUST11140037,21,Female,East,Enterprise,11,2416.16,2,50.26,One year,0
CUST11140038,50,Female,Central,Premium,52,3666.83,2,73.37,One year,0
CUST11140039,22,Male,East,Standard,60,4645.29,3,66.71,Month-to-month,1
CUST11140040,49,Female,Central,Standard,32,2463.2,5,94.48,Month-to-month,0
CUST11140041,30,Female,Central,Standard,1,4606.31,1,212.51,Month-to-month,1
CUST11140042,58,Male,Central,Basic,36,2985.84,4,114.2,Month-to-month,0
CUST11140043,22,Other,Central,Basic,20,3579.4,1,71.32,Month-to-month,1
CUST11140044,50,Male,West,Premium,17,3167.0,3,84.83,Month-to-month,0
CUST11140045,45,Female,East,Standard,26,2227.32,1,89.8,One year,1
CUST11140046,21,Male,East,Standard,7,2509.45,0,61.23,Month-to-month,0
CUST11140047,33,Male,Central,Basic,16,2447.71,2,61.98,One year,0
CUST11140048,59,Female,West,Basic,55,3239.76,0,99.39,Month-to-month,0
CUST11140049,30,Female,East,Standard,59,4209.92,3,217.6,Month-to-month,0
CUST11140050,64,Female,South,Basic,24,2189.89,5,107.6,Month-to-month,0
CUST11140051,62,Female,West,Basic,31,3183.74,6,83.63,One year,0
CUST11140052,26,Male,West,Basic,17,906.8,1,102.1,Two year,0
CUST11140053,65,Female,Central,Premium,13,2968.69,4,156.19,One year,1
CUST11140054,44,Female,North,Standard,5,1923.33,1,142.6,One year,1
CUST11140055,45,Female,South,Premium,45,2185.96,0,115.04,Month-to-month,0
CUST11140056,27,Female,South,Basic,53,2916.37,3,49.55,Month-to-month,0
CUST11140057,46,Male,North,Standard,7,4205.38,1,155.34,Month-to-month,1
CUST11140058,22,Female,North,Premium,38,1525.55,1,109.23,Month-to-month,0
CUST11140059,46,Male,Central,Standard,6,2834.96,1,93.34,One year,1
CUST11140060,21,Female,South,Basic,72,2112.05,4,136.01,One year,0
CUST11140061,24,Male,East,Standard,18,2375.98,5,74.16,Two year,1
CUST11140062,56,Female,West,Basic,48,2775.89,4,57.33,Month-to-month,0
CUST11140063,55,Female,West,Premium,30,3932.66,3,80.91,One year,0
CUST11140064,27,Male,South,Premium,65,2960.79,5,121.62,Month-to-month,1
CUST11140065,58,Male,West,Standard,52,3548.75,1,169.35,Month-to-month,0
CUST11140066,22,Male,West,Enterprise,26,3427.09,4,149.06,Month-to-month,1
CUST11140067,56,Other,North,Basic,43,1985.93,4,88.35,Two year,1
CUST11140068,29,Female,West,Enterprise,47,2527.52,3,87.14,Month-to-month,0
CUST11140069,30,Female,East,Basic,26,3014.69,2,52.38,Month-to-month,1
CUST11140070,55,Male,North,Basic,61,1866.92,2,64.92,Month-to-month,0
CUST11140071,40,Female,Central,Premium,30,3275.12,3,108.84,Month-to-month,0
CUST11140072,65,Male,West,Standard,51,2524.27,4,173.27,One year,0
CUST11140073,52,Female,North,Premium,5,3232.14,2,124.06,Two year,0
CUST11140074,63,Male,East,Enterprise,9,2799.67,3,91.11,One year,0
CUST11140075,24,Male,East,Premium,4,2789.13,2,117.36,Two year,1
CUST11140076,63,Female,Central,Standard,72,1327.1,2,136.08,Month-to-month,1
CUST11140077,51,Male,South,Premium,30,2372.39,5,73.16,Month-to-month,1
CUST11140078,39,Male,North,Basic,64,4005.04,0,109.05,Month-to-month,1
CUST11140079,30,Male,South,Premium,67,519.38,0,82.7,One year,0
CUST11140080,26,Male,West,Basic,64,2281.4,0,220.41,Month-to-month,0
CUST11140081,50,Female,West,Basic,29,3720.05,3,104.64,Month-to-month,1
CUST11140082,45,Female,South,Basic,40,2349.42,5,66.09,Month-to-month,1
CUST11140083,22,Male,East,Basic,72,2561.8,1,104.7,Month-to-month,0
CUST11140084,61,Female,South,Standard,72,1224.12,1,92.5,One year,0
CUST11140085,52,Male,Central,Basic,63,3318.92,6,99.77,One year,1
CUST11140086,26,Male,South,Basic,31,3714.1,6,220.22,One year,0
CUST11140087,39,Male,East,Premium,53,4661.47,2,59.72,Month-to-month,0
CUST11140088,59,Female,West,Standard,18,3840.21,5,134.66,One year,1
CUST11140089,46,Male,East,Premium,8,3407.3,7,69.6,Two year,1
CUST11140090,37,Female,South,Premium,38,2634.13,3,96.77,Month-to-month,0
