customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1150001,49,Other,East,Basic,19,2950.78,2,103.93,One year,1
CUST1150002,52,Male,Central,Basic,17,3584.78,3,103.89,Month-to-month,1
CUST1150003,31,Male,North,Standard,58,1875.12,4,189.09,Month-to-month,1
CUST1150004,48,Male,North,Basic,7,4362.64,1,92.57,One year,0
CUST1150005,32,Female,Central,Basic,10,3249.96,1,125.84,Month-to-month,1
CUST1150006,45,Male,West,Standard,39,3292.76,2,82.74,Month-to-month,0
CUST1150007,42,Female,Central,Enterprise,62,1282.39,1,97.45,One year,0
CUST1150008,57,Male,East,Standard,47,4108.89,2,80.83,Month-to-month,1
CUST1150009,23,Male,Central,Basic,26,3352.53,3,96.81,One year,0
CUST1150010,21,Female,Central,Standard,28,2996.86,4,44.23,Two year,0
CUST1150011,21,Male,Central,Basic,4,3106.05,2,121.76,One year,1
CUST1150012,26,Male,West,Premium,58,3364.87,1,95.73,One year,0
CUST1150013,49,Male,West,Standard,54,1245.29,4,73.0,Two year,0
CUST1150014,49,Male,East,Premium,24,3063.68,2,127.78,Month-to-month,1
CUST1150015,65,Female,East,Basic,23,1923.32,1,40.27,Month-to-month,0
CUST1150016,39,Male,North,Premium,34,2748.54,1,84.79,One year,0
CUST1150017,37,Female,East,Premium,17,2389.49,1,96.84,Month-to-month,0
CUST1150018,30,Female,West,Standard,30,3241.33,2,143.91,One year,0
CUST1150019,54,Female,North,Enterprise,32,1950.74,2,96.07,One year,0
CUST1150020,40,Female,North,Basic,59,2618.31,0,108.44,Two year,0
CUST1150021,30,Female,North,Standard,67,3093.42,6,87.18,Month-to-month,1
CUST1150022,27,Other,South,Standard,32,1286.41,2,171.06,Month-to-month,1
CUST1150023,41,Male,Central,Standard,53,1825.82,2,140.09,One year,0
CUST1150024,29,Female,West,Basic,68,1147.77,1,136.04,Month-to-month,0
CUST1150025,64,Female,East,Basic,41,3701.6,1,167.13,One year,0
CUST1150026,41,Male,Central,Basic,16,2538.7,0,103.21,One year,0
CUST1150027,22,Female,West,Standard,63,1760.04,0,170.63,One year,0
CUST1150028,26,Male,Central,Basic,5,3483.49,0,176.63,One year,1
CUST1150029,35,Female,North,Premium,7,2018.69,3,32.02,Month-to-month,1
CUST1150030,40,Female,East,Standard,60,3334.81,1,87.44,Month-to-month,0
CUST1150031,59,Male,Central,Standard,64,2958.36,1,100.68,One year,0
CUST1150032,51,Male,Central,Premium,7,1949.5,2,62.81,One year,0
CUST1150033,28,Male,North,Basic,57,3435.96,0,185.37,Month-to-month,0
CUST1150034,49,Male,East,Premium,46,3671.44,2,120.4,One year,0
CUST1150035,53,Other,East,Premium,69,2096.31,4,128.52,Month-to-month,0
CUST1150036,59,Male,East,Standard,45,3131.35,4,77.79,Month-to-month,1
CUST1150037,26,Female,Central,Basic,11,3690.48,2,105.9,Month-to-month,1
CUST1150038,60,Male,South,Premium,41,2459.52,0,81.06,Month-to-month,0
CUST1150039,40,Female,Central,Standard,40,3565.23,0,91.33,Month-to-month,1
CUST1150040,50,Female,North,Standard,54,3925.44,2,110.87,One year,0
CUST1150041,21,Male,East,Enterprise,12,2255.61,2,73.25,One year,0
CUST1150042,31,Male,Central,Premium,24,2277.36,0,86.02,Month-to-month,0
CUST1150043,36,Female,Central,Enterprise,66,3388.12,3,135.34,Month-to-month,1
CUST1150044,39,Male,North,Basic,61,3059.72,1,89.66,Month-to-month,0
CUST1150045,42,Female,East,Premium,54,3234.05,5,72.97,Two year,0
CUST1150046,61,Female,West,Premium,53,1945.43,2,42.38,Two year,0
CUST1150047,46,Female,West,Basic,40,1856.99,3,91.04,Month-to-month,1
CUST1150048,33,Female,Central,Enterprise,51,806.51,4,160.15,Month-to-month,1
CUST1150049,43,Male,South,Standard,54,3236.12,1,79.94,Month-to-month,0
CUST1150050,60,Female,West,Basic,45,1944.72,2,97.48,One year,0
CUST1150051,35,Male,East,Premium,70,3393.41,0,177.65,Month-to-month,1
CUST1150052,21,Female,West,Standard,28,2974.6,1,148.02,One year,0
CUST1150053,45,Male,South,Basic,56,3484.36,4,98.28,Two year,0
CUST1150054,21,Female,Central,Enterprise,29,1256.3,0,115.66,Two year,0
CUST1150055,23,Female,Central,Premium,10,2397.13,1,116.74,Month-to-month,0
CUST1150056,47,Female,East,Premium,69,2773.34,2,71.94,Month-to-month,0
CUST1150057,62,Female,East,Basic,11,3568.67,0,197.36,Month-to-month,1
CUST1150058,22,Male,Central,Premium,50,2683.34,2,39.62,Month-to-month,0
CUST1150059,41,Female,East,Basic,42,1618.77,4,77.44,One year,0
CUST1150060,61,Male,North,Standard,30,3594.37,3,159.71,Two year,0
CUST1150061,25,Female,East,Standard,23,3278.89,2,116.66,One year,1
CUST1150062,32,Male,East,Standard,70,3352.66,3,162.44,Month-to-month,1
CUST1150063,26,Male,Central,Standard,14,2272.51,1,77.97,Month-to-month,0
CUST1150064,44,Female,North,Premium,68,1916.92,0,112.75,One year,0
CUST1150065,44,Female,West,Basic,54,2352.2,4,52.06,One year,0
CUST1150066,28,Female,West,Premium,68,2613.69,1,48.15,Month-to-month,1
CUST1150067,42,Male,East,Basic,9,2946.57,0,90.91,One year,1
CUST1150068,52,Female,North,Basic,71,3014.31,3,81.08,Two year,0
CUST1150069,50,Female,Central,Basic,64,2388.65,2,64.42,One year,0
CUST1150070,36,Other,South,Standard,48,3448.22,1,84.69,One year,0
CUST1150071,35,Male,East,Premium,46,1298.15,1,65.12,Month-to-month,0
CUST1150072,23,Female,East,Basic,11,2458.66,2,91.97,Month-to-month,1
CUST1150073,55,Male,East,Basic,12,4252.82,2,76.37,One year,0
CUST1150074,33,Female,South,Basic,32,3338.93,4,143.17,Month-to-month,0
CUST1150075,51,Female,North,Basic,1,2858.75,2,188.32,Month-to-month,0
CUST1150076,37,Male,Central,Standard,35,3993.1,2,86.82,Month-to-month,1
CUST1150077,57,Female,North,Basic,17,3244.07,0,131.81,Two year,1
CUST1150078,38,Female,Central,Premium,33,2247.09,0,122.1,One year,1
CUST1150079,37,Female,Central,Basic,14,3048.31,2,69.65,One year,0
CUST1150080,51,Male,East,Premium,68,2619.53,0,41.87,Month-to-month,0
CUST1150081,44,Female,North,Standard,33,2789.38,3,66.91,One year,0
CUST1150082,29,Male,North,Basic,58,1774.94,2,142.85,Month-to-month,0
CUST1150083,59,Male,South,Standard,30,3105.95,1,147.54,One year,0
CUST1150084,45,Male,Central,Basic,3,2331.6,2,58.2,One year,1
CUST1150085,63,Female,East,Standard,29,2325.25,5,92.25,Month-to-month,0
CUST1150086,26,Male,South,Premium,58,3843.85,0,210.11,Month-to-month,0
CUST1150087,36,Female,Central,Standard,70,2087.97,1,121.98,One year,0
CUST1150088,34,Male,West,Standard,53,1500.47,2,214.5,One year,0
CUST1150089,21,Female,North,Premium,55,1604.11,3,130.43,Month-to-month,0
CUST1150090,52,Female,West,Premium,2,1376.17,2,98.8,One year,0
CUST1150091,50,Male,South,Premium,35,1368.04,1,100.53,Two year,0
CUST1150092,39,Female,South,Premium,13,3107.33,4,52.16,Two year,0
CUST1150093,43,Female,North,Basic,3,1343.77,3,58.17,Two year,0
CUST1150094,32,Female,Central,Standard,14,500.0,4,178.68,Month-to-month,1
CUST1150095,38,Male,West,Standard,61,3632.39,1,163.85,Month-to-month,1
CUST1150096,49,Female,North,Premium,15,2175.81,2,136.81,Two year,0
CUST1150097,25,Male,North,Basic,55,3544.4,1,181.24,Month-to-month,1
CUST1150098,57,Male,South,Standard,52,2722.28,6,96.93,Month-to-month,0
CUST1150099,31,Female,North,Premium,69,1743.3,3,176.32,Month-to-month,0
CUST1150100,55,Female,West,Basic,6,2665.4,1,158.21,One year,1
CUST1150101,65,Male,West,Basic,4,1388.86,3,51.29,Month-to-month,1
CUST1150102,50,Female,North,Basic,23,3345.7,0,113.47,One year,1
CUST1150103,34,Male,East,Premium,7,3703.42,2,96.1,Month-to-month,1
CUST1150104,59,Male,East,Enterprise,28,2429.71,2,133.92,Month-to-month,0
CUST1150105,65,Female,South,Standard,38,1523.21,5,82.64,Month-to-month,0
CUST1150106,59,Male,South,Basic,43,500.0,2,121.67,Month-to-month,1
CUST1150107,39,Female,West,Basic,48,3616.76,1,140.63,Month-to-month,0
CUST1150108,64,Male,West,Basic,51,3611.4,1,160.21,One year,0
CUST1150109,58,Other,East,Basic,72,2135.45,1,108.59,Two year,1
CUST1150110,24,Female,West,Standard,34,4104.56,4,98.48,One year,1
CUST1150111,40,Female,West,Basic,67,1954.75,2,83.26,One year,0
CUST1150112,25,Other,Central,Basic,40,2599.95,5,125.49,One year,1
CUST1150113,48,Female,West,Standard,25,1035.91,1,138.74,Month-to-month,0
CUST1150114,40,Male,West,Standard,13,2050.07,1,117.03,Month-to-month,0
CUST1150115,54,Male,Central,Standard,45,3836.59,2,103.34,Month-to-month,0
CUST1150116,63,Male,Central,Basic,35,4509.82,2,109.39,Month-to-month,1
CUST1150117,31,Male,North,Basic,23,4494.81,0,83.2,Month-to-month,1
CUST1150118,64,Male,South,Basic,38,2017.05,2,168.96,Month-to-month,0
CUST1150119,24,Male,North,Standard,27,1103.16,0,97.86,Month-to-month,0
CUST1150120,45,Male,West,Basic,17,2137.99,1,80.96,One year,0
CUST1150121,32,Male,Central,Basic,6,1177.95,2,90.05,Month-to-month,1
CUST1150122,52,Male,West,Basic,66,2695.13,2,98.91,One year,0
CUST1150123,40,Male,East,Enterprise,72,3182.04,0,77.27,Month-to-month,0
CUST1150124,55,Female,West,Enterprise,50,1856.15,0,64.64,Month-to-month,1
CUST1150125,33,Female,North,Standard,59,2622.78,3,129.35,One year,0
CUST1150126,36,Female,East,Standard,28,546.96,2,75.27,Month-to-month,0
CUST1150127,39,Female,South,Premium,6,3671.24,1,84.91,Two year,0
CUST1150128,22,Female,West,Basic,2,4572.16,0,127.84,One year,1
CUST1150129,55,Female,South,Premium,48,1927.66,4,112.61,Two year,1
CUST1150130,30,Female,South,Basic,32,3252.77,1,120.65,Two year,0
CUST1150131,40,Female,Central,Standard,48,1395.83,0,47.99,Month-to-month,1
CUST1150132,39,Male,North,Basic,36,2619.59,5,83.76,Month-to-month,1
CUST1150133,26,Female,North,Standard,62,1798.01,0,120.76,One year,0
CUST1150134,39,Female,Central,Basic,31,3130.52,5,53.61,Month-to-month,1
CUST1150135,49,Female,North,Basic,58,2687.82,2,154.08,One year,0
CUST1150136,43,Male,West,Basic,44,1480.23,1,122.04,One year,0
