customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11150001,21,Male,North,Standard,35,2829.5,2,112.2,Month-to-month,1
CUST11150002,31,Male,North,Enterprise,14,2491.95,0,79.61,Month-to-month,0
CUST11150003,39,Male,North,Standard,22,2100.58,4,179.61,One year,0
CUST11150004,50,Female,East,Basic,70,2585.06,2,82.06,Month-to-month,0
CUST11150005,30,Female,North,Basic,38,3672.71,3,133.72,Month-to-month,0
CUST11150006,36,Male,South,Standard,51,2981.77,3,104.9,One year,0
CUST11150007,27,Female,East,Standard,35,1917.55,0,98.78,One year,0
CUST11150008,21,Female,Central,Basic,40,4130.9,2,179.95,Month-to-month,0
CUST11150009,49,Female,West,Premium,59,3352.72,5,79.93,Two year,1
CUST11150010,52,Male,East,Standard,72,2636.43,2,85.1,One year,0
CUST11150011,62,Other,East,Enterprise,2,3950.71,6,74.27,One year,0
CUST11150012,63,Female,South,Standard,11,2393.13,4,113.85,One year,0
CUST11150013,26,Female,East,Premium,69,4257.91,3,93.74,One year,0
CUST11150014,62,Female,North,Standard,72,2892.21,1,101.82,Month-to-month,0
CUST11150015,51,Female,East,Basic,45,1322.27,1,141.19,Two year,0
CUST11150016,54,Male,North,Basic,6,1408.59,3,119.31,Month-to-month,1
CUST11150017,37,Male,North,Premium,12,3967.34,0,119.26,Month-to-month,1
CUST11150018,24,Male,North,Standard,28,2071.03,5,106.66,Month-to-month,1
CUST11150019,55,Female,South,Enterprise,46,3865.59,2,77.56,Month-to-month,1
CUST11150020,50,Male,South,Enterprise,41,2899.38,5,140.8,One year,0
CUST11150021,30,Other,West,Standard,64,3637.25,1,146.1,Month-to-month,1
CUST11150022,63,Male,West,Basic,60,2901.7,2,155.34,Month-to-month,1
CUST11150023,22,Female,West,Enterprise,16,3023.25,5,127.37,Month-to-month,0
CUST11150024,42,Other,Central,Premium,16,4659.93,7,106.82,Month-to-month,0
CUST11150025,21,Female,Central,Basic,49,2525.1,3,90.18,One year,1
CUST11150026,55,Male,West,Standard,66,4247.18,4,126.14,Month-to-month,1
CUST11150027,21,Male,East,Premium,49,3474.4,2,48.98,Month-to-month,0
CUST11150028,28,Female,Central,Basic,47,3707.42,4,161.46,Month-to-month,1
CUST11150029,54,Male,East,Basic,16,2419.3,3,71.33,One year,0
CUST11150030,53,Male,East,Standard,42,2570.76,4,98.2,Month-to-month,1
CUST11150031,35,Female,West,Basic,11,3586.86,1,80.77,One year,0
CUST11150032,41,Male,West,Enterprise,59,3343.81,2,80.79,Month-to-month,0
CUST11150033,63,Female,West,Premium,52,2790.16,2,80.17,Month-to-month,0
CUST11150034,53,Male,West,Standard,61,3944.89,3,132.06,Month-to-month,1
CUST11150035,35,Male,East,Basic,3,3364.63,2,146.34,Month-to-month,1
CUST11150036,60,Female,Central,Basic,16,2167.08,1,110.98,Month-to-month,1
CUST11150037,49,Male,South,Enterprise,11,3921.64,3,115.67,One year,1
CUST11150038,22,Female,East,Standard,8,2565.74,2,86.24,One year,0
CUST11150039,57,Female,West,Premium,33,3073.74,1,211.39,Month-to-month,1
CUST11150040,44,Male,West,Premium,54,2327.58,2,108.47,One year,1
CUST11150041,65,Female,North,Premium,60,1581.04,4,83.44,One year,0
CUST11150042,42,Female,West,Standard,10,1294.79,5,143.15,One year,0
CUST11150043,51,Female,South,Premium,67,2606.99,1,71.53,Month-to-month,0
CUST11150044,53,Female,East,Enterprise,9,3363.64,7,269.2,One year,0
CUST11150045,42,Male,North,Standard,2,1458.88,5,172.18,Month-to-month,1
CUST11150046,63,Female,East,Standard,39,3855.79,5,71.31,Two year,0
CUST11150047,23,Male,Central,Standard,58,3118.38,3,54.88,One year,1
CUST11150048,26,Male,West,Basic,36,3119.84,1,115.31,Month-to-month,1
CUST11150049,46,Female,East,Premium,38,3249.74,0,127.05,Month-to-month,0
CUST11150050,41,Male,North,Basic,1,4559.04,3,108.16,Month-to-month,1
CUST11150051,21,Female,Central,Premium,47,3129.21,0,222.39,Two year,0
CUST11150052,36,Female,North,Standard,1,1584.44,2,84.65,Month-to-month,1
CUST11150053,41,Female,North,Basic,40,3736.5,2,148.4,One year,1
CUST11150054,35,Male,East,Basic,35,3697.47,8,112.77,Month-to-month,1
CUST11150055,34,Female,Central,Enterprise,32,2435.84,2,175.33,Two year,0
CUST11150056,53,Other,West,Premium,34,2812.81,2,95.35,Two year,0
CUST11150057,43,Male,West,Basic,33,3794.53,4,254.37,Month-to-month,0
CUST11150058,54,Female,West,Standard,32,2020.22,0,171.3,Month-to-month,1
