customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1160001,31,Male,South,Enterprise,13,2523.81,3,137.27,Month-to-month,0
CUST1160002,28,Male,East,Basic,21,3864.01,3,160.91,One year,0
CUST1160003,43,Female,Central,Standard,64,2269.48,3,160.72,Two year,1
CUST1160004,60,Male,East,Standard,63,2548.99,2,57.64,Two year,0
CUST1160005,30,Female,East,Standard,72,1206.24,3,102.01,Month-to-month,0
CUST1160006,64,Female,Central,Basic,49,2933.5,2,60.41,One year,0
CUST1160007,57,Female,East,Enterprise,47,4141.73,1,81.6,Month-to-month,1
CUST1160008,63,Female,Central,Enterprise,40,2380.11,2,97.33,Month-to-month,0
CUST1160009,31,Female,West,Standard,31,2521.68,3,117.62,Month-to-month,1
CUST1160010,43,Female,East,Enterprise,44,2722.64,3,79.26,Month-to-month,0
CUST1160011,26,Male,Central,Standard,17,2094.67,1,66.12,Month-to-month,1
CUST1160012,47,Male,South,Premium,66,2018.23,2,89.3,One year,0
CUST1160013,35,Female,West,Basic,68,2312.89,0,157.7,One year,0
CUST1160014,34,Male,Central,Enterprise,3,3727.02,1,59.83,Month-to-month,0
CUST1160015,62,Female,Central,Basic,54,2638.21,2,56.51,Month-to-month,0
CUST1160016,45,Female,South,Standard,51,1993.26,0,114.65,Month-to-month,0
CUST1160017,63,Male,East,Basic,62,2890.11,3,90.63,Month-to-month,1
CUST1160018,35,Female,North,Standard,2,3337.64,4,43.18,Month-to-month,1
CUST1160019,48,Male,West,Standard,9,2332.6,3,78.76,One year,1
CUST1160020,43,Female,North,Basic,59,1954.99,3,65.5,Two year,0
CUST1160021,53,Male,North,Premium,25,3642.44,2,109.48,Month-to-month,1
CUST1160022,35,Male,South,Basic,2,2506.4,0,57.28,One year,1
CUST1160023,50,Male,North,Premium,24,1920.13,0,111.18,One year,0
CUST1160024,29,Male,West,Premium,35,1984.15,2,86.27,Two year,0
CUST1160025,24,Female,Central,Standard,39,4748.48,1,104.39,Two year,1
CUST1160026,63,Female,East,Basic,2,2521.14,0,120.48,Month-to-month,0
CUST1160027,59,Other,West,Premium,48,3045.91,1,62.43,Month-to-month,1
CUST1160028,63,Male,North,Premium,42,2496.84,2,56.61,Month-to-month,0
CUST1160029,63,Other,East,Enterprise,54,1888.35,2,111.76,One year,0
CUST1160030,22,Female,East,Standard,36,3905.71,4,75.08,Month-to-month,0
CUST1160031,45,Male,South,Enterprise,39,2634.0,4,244.48,Two year,0
CUST1160032,33,Male,Central,Enterprise,42,2971.11,4,195.1,Month-to-month,0
CUST1160033,56,Female,North,Premium,48,2836.56,2,158.33,Month-to-month,1
CUST1160034,63,Male,South,Standard,49,3787.56,2,119.13,One year,0
CUST1160035,37,Male,East,Enterprise,40,1143.29,1,122.18,One year,0
CUST1160036,49,Male,Central,Standard,62,2682.02,1,68.79,Month-to-month,0
CUST1160037,51,Male,West,Basic,5,2115.17,3,103.66,Two year,1
CUST1160038,48,Male,West,Premium,70,2619.04,1,87.99,Month-to-month,0
CUST1160039,43,Female,West,Premium,45,1775.61,2,41.53,One year,0
CUST1160040,26,Female,South,Enterprise,63,1867.89,0,193.07,One year,0
CUST1160041,49,Female,North,Enterprise,54,3552.91,1,93.85,Month-to-month,0
CUST1160042,55,Male,East,Basic,46,1897.35,4,106.35,Month-to-month,1
CUST1160043,38,Other,West,Basic,57,1703.9,0,93.21,Month-to-month,1
CUST1160044,50,Male,West,Standard,7,1809.81,6,121.21,Month-to-month,1
CUST1160045,24,Female,North,Basic,45,3106.25,3,107.82,Month-to-month,1
CUST1160046,29,Male,East,Basic,20,4137.19,3,58.27,Month-to-month,1
CUST1160047,39,Male,East,Basic,47,2821.78,3,90.76,Month-to-month,0
CUST1160048,58,Female,Central,Standard,18,3828.81,4,48.79,One year,0
CUST1160049,59,Male,West,Enterprise,7,2002.34,0,90.01,Month-to-month,0
CUST1160050,25,Male,Central,Basic,61,2547.28,4,87.76,One year,1
CUST1160051,46,Female,South,Standard,67,3330.61,2,123.29,Month-to-month,0
CUST1160052,21,Female,East,Basic,31,2260.03,1,68.98,One year,1
CUST1160053,61,Male,South,Standard,51,2578.39,3,233.05,One year,0
CUST1160054,36,Male,North,Standard,63,3634.39,2,112.66,Month-to-month,0
CUST1160055,59,Female,North,Standard,65,771.84,2,46.4,Month-to-month,0
CUST1160056,60,Male,West,Basic,39,2093.28,3,67.08,Two year,1
CUST1160057,43,Male,Central,Standard,34,3104.16,2,41.59,Month-to-month,1
CUST1160058,42,Male,West,Standard,70,3087.05,4,96.13,Month-to-month,1
CUST1160059,59,Male,West,Basic,71,3581.28,2,88.85,Month-to-month,1
CUST1160060,35,Female,East,Standard,31,2290.68,3,87.25,Two year,0
CUST1160061,25,Male,East,Enterprise,13,2522.42,2,152.82,One year,0
CUST1160062,65,Male,West,Premium,7,3504.64,2,87.76,Month-to-month,0
CUST1160063,21,Male,Central,Standard,2,3620.08,3,150.3,Month-to-month,1
CUST1160064,52,Female,Central,Basic,46,3788.83,1,68.15,Month-to-month,1
CUST1160065,45,Male,Central,Enterprise,9,1383.08,1,88.65,Two year,0
CUST1160066,55,Male,North,Basic,45,2416.49,2,81.63,Month-to-month,0
CUST1160067,23,Female,Central,Premium,2,3267.78,1,91.11,Two year,0
CUST1160068,43,Female,North,Standard,42,1716.26,1,18.4,One year,1
CUST1160069,27,Female,East,Basic,32,2321.71,5,99.11,Month-to-month,1
CUST1160070,62,Male,East,Standard,70,3964.94,1,60.28,One year,1
CUST1160071,46,Male,East,Standard,53,3808.05,0,121.19,One year,1
CUST1160072,54,Male,North,Premium,68,3591.4,3,115.22,Month-to-month,0
CUST1160073,49,Male,Central,Standard,43,3976.49,2,94.72,Month-to-month,0
CUST1160074,52,Male,Central,Basic,28,1903.3,0,186.08,Two year,0
CUST1160075,40,Female,South,Basic,53,3065.02,2,155.35,Two year,0
CUST1160076,41,Female,South,Standard,50,1497.19,3,100.13,Month-to-month,0
CUST1160077,39,Male,East,Basic,66,2857.96,4,172.56,Month-to-month,1
CUST1160078,32,Male,Central,Basic,49,2179.81,1,63.25,One year,0
CUST1160079,60,Male,East,Standard,55,1770.16,0,143.71,One year,1
CUST1160080,32,Female,West,Premium,22,3266.93,3,73.15,One year,0
CUST1160081,50,Female,South,Basic,26,1424.73,0,69.4,Month-to-month,1
CUST1160082,50,Male,East,Premium,21,3825.01,3,212.19,Two year,1
CUST1160083,42,Male,Central,Premium,20,3199.98,2,96.98,Month-to-month,0
CUST1160084,44,Female,South,Basic,41,1616.08,2,69.62,Month-to-month,0
CUST1160085,31,Male,West,Enterprise,67,2475.66,2,123.08,Month-to-month,0
CUST1160086,29,Female,West,Premium,63,4188.65,1,66.69,One year,1
CUST1160087,36,Female,South,Basic,24,1267.89,1,56.41,One year,0
CUST1160088,40,Female,East,Standard,47,1587.46,5,87.96,Two year,0
CUST1160089,43,Female,South,Enterprise,10,1687.33,2,121.16,Month-to-month,1
CUST1160090,21,Male,South,Basic,45,2816.07,0,115.75,One year,1
