customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11160001,30,Male,North,Standard,9,2221.75,6,47.45,Month-to-month,1
CUST11160002,63,Female,Central,Premium,67,2667.21,2,87.26,Month-to-month,0
CUST11160003,50,Female,North,Standard,29,3538.96,4,81.29,One year,1
CUST11160004,47,Female,Central,Standard,21,3169.32,3,150.19,One year,1
CUST11160005,26,Male,West,Enterprise,1,910.51,4,133.69,Two year,1
CUST11160006,45,Female,South,Enterprise,8,4631.03,0,91.37,Two year,1
CUST11160007,47,Female,South,Standard,42,3840.25,2,158.31,Month-to-month,0
CUST11160008,63,Female,East,Basic,60,4068.8,1,138.43,Month-to-month,0
CUST11160009,57,Male,West,Standard,7,3320.03,1,215.88,One year,1
CUST11160010,54,Female,South,Premium,32,4342.83,4,110.65,Month-to-month,1
CUST11160011,22,Female,North,Enterprise,59,3387.06,1,67.26,Month-to-month,0
CUST11160012,61,Male,South,Premium,37,2351.85,3,102.12,One year,1
CUST11160013,49,Female,West,Standard,64,3885.16,2,116.08,Month-to-month,1
CUST11160014,53,Male,West,Standard,24,3227.18,5,76.23,Month-to-month,1
CUST11160015,49,Male,North,Premium,21,2192.81,3,141.82,Month-to-month,0
CUST11160016,60,Male,South,Basic,1,3271.39,5,140.64,Month-to-month,1
CUST11160017,27,Female,West,Standard,62,3197.45,4,193.44,Month-to-month,1
CUST11160018,59,Male,South,Enterprise,6,2599.23,1,189.09,One year,0
CUST11160019,65,Male,Central,Standard,53,2141.85,5,131.89,Month-to-month,0
CUST11160020,41,Male,South,Standard,6,3216.85,4,116.18,Month-to-month,1
CUST11160021,54,Female,East,Basic,28,3006.75,4,99.83,Two year,0
CUST11160022,54,Female,West,Premium,16,3036.34,1,184.9,Month-to-month,0
CUST11160023,54,Female,North,Basic,18,3956.87,4,71.54,Month-to-month,1
CUST11160024,32,Male,West,Standard,31,2563.0,6,73.46,Month-to-month,1
CUST11160025,34,Female,North,Premium,49,2670.9,6,80.44,Month-to-month,1
CUST11160026,44,Female,Central,Premium,16,3481.7,2,131.44,Month-to-month,0
CUST11160027,62,Female,East,Standard,34,2807.16,2,49.49,One year,1
CUST11160028,33,Female,East,Standard,20,1941.93,0,200.63,Month-to-month,1
CUST11160029,43,Male,West,Premium,55,944.46,1,115.75,Month-to-month,0
CUST11160030,27,Male,West,Basic,3,2798.94,5,142.57,One year,1
CUST11160031,64,Male,South,Enterprise,25,3172.29,4,100.65,Month-to-month,1
CUST11160032,26,Male,North,Standard,3,4243.27,3,75.75,Month-to-month,0
CUST11160033,59,Female,West,Premium,15,1669.7,1,100.35,Two year,0
CUST11160034,52,Male,West,Basic,36,3518.04,3,161.65,Month-to-month,1
CUST11160035,27,Male,West,Standard,30,4196.72,3,104.18,Month-to-month,1
CUST11160036,35,Female,Central,Standard,16,5047.36,4,188.79,One year,0
CUST11160037,48,Male,West,Premium,33,2249.68,2,167.09,Month-to-month,1
CUST11160038,33,Female,West,Enterprise,55,2951.74,2,165.97,Month-to-month,0
CUST11160039,31,Female,West,Basic,35,3717.61,2,124.45,Month-to-month,1
CUST11160040,30,Female,South,Basic,71,2507.0,5,48.89,One year,1
CUST11160041,28,Male,Central,Standard,51,2296.19,3,113.08,Two year,1
