customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1170001,26,Male,North,Premium,66,3145.76,1,144.23,Month-to-month,1
CUST1170002,60,Female,Central,Standard,56,4829.84,2,89.8,Month-to-month,1
CUST1170003,33,Female,West,Standard,43,3613.88,1,172.58,One year,0
CUST1170004,28,Male,West,Premium,7,1170.6,1,110.58,Month-to-month,0
CUST1170005,28,Male,West,Basic,14,2859.66,1,78.75,Month-to-month,0
CUST1170006,48,Female,South,Standard,56,1882.02,1,86.05,Month-to-month,0
CUST1170007,57,Male,East,Standard,47,1271.42,8,122.28,Month-to-month,1
CUST1170008,37,Male,North,Standard,9,2049.32,5,37.87,One year,1
CUST1170009,49,Female,South,Standard,21,2134.25,2,163.13,Month-to-month,1
CUST1170010,44,Female,South,Premium,14,2886.42,3,70.77,Two year,0
CUST1170011,26,Female,South,Premium,51,2471.08,2,78.44,Month-to-month,0
CUST1170012,34,Female,East,Basic,57,2817.06,1,111.28,Two year,0
CUST1170013,64,Female,East,Enterprise,64,2622.09,5,84.84,One year,0
CUST1170014,52,Other,West,Standard,40,2886.25,1,72.32,Month-to-month,1
CUST1170015,30,Female,South,Enterprise,13,2124.63,5,87.54,One year,0
CUST1170016,38,Female,West,Standard,69,2077.4,3,158.09,Month-to-month,0
CUST1170017,38,Female,East,Premium,15,1145.66,1,148.6,Two year,0
CUST1170018,29,Other,East,Basic,58,3355.23,1,147.2,One year,0
CUST1170019,38,Male,North,Standard,15,2106.4,3,84.27,Month-to-month,0
CUST1170020,46,Male,East,Standard,37,2959.58,1,178.44,Month-to-month,0
CUST1170021,27,Female,South,Premium,47,993.85,3,67.28,Month-to-month,0
CUST1170022,59,Female,East,Standard,50,4293.46,2,77.75,Month-to-month,0
CUST1170023,55,Male,East,Standard,64,3365.34,1,114.86,Two year,1
CUST1170024,35,Male,Central,Enterprise,62,1037.2,1,163.23,Month-to-month,1
CUST1170025,59,Female,Central,Basic,56,3460.83,3,94.2,One year,0
CUST1170026,21,Female,North,Basic,62,2236.67,2,53.38,One year,1
CUST1170027,44,Male,South,Standard,53,2525.52,4,63.98,Month-to-month,1
CUST1170028,60,Female,East,Standard,66,2405.04,2,190.77,Month-to-month,1
CUST1170029,24,Male,North,Standard,18,500.0,3,134.36,Month-to-month,1
CUST1170030,61,Female,North,Basic,3,2356.78,1,82.09,Month-to-month,1
CUST1170031,25,Female,Central,Basic,36,2243.9,0,111.42,One year,1
CUST1170032,59,Male,North,Standard,50,1954.42,0,123.81,Month-to-month,1
CUST1170033,47,Female,West,Premium,72,2184.15,3,217.79,One year,0
CUST1170034,50,Male,South,Basic,1,1572.21,0,35.88,Month-to-month,1
CUST1170035,30,Female,West,Basic,43,4061.76,1,49.14,Month-to-month,1
CUST1170036,35,Male,West,Standard,49,3607.85,3,98.49,One year,1
CUST1170037,27,Female,North,Basic,9,2030.08,3,89.5,Month-to-month,1
CUST1170038,42,Female,East,Standard,44,3502.28,2,130.58,One year,0
CUST1170039,22,Female,North,Premium,57,3063.7,3,73.56,Month-to-month,1
CUST1170040,25,Male,East,Standard,30,2256.63,2,173.53,Month-to-month,1
CUST1170041,23,Female,North,Premium,44,2772.87,2,133.99,One year,0
CUST1170042,62,Male,East,Standard,61,2497.86,1,83.67,Month-to-month,0
CUST1170043,53,Male,North,Standard,65,4335.34,1,62.83,Month-to-month,1
CUST1170044,26,Female,West,Enterprise,40,3030.29,4,155.57,One year,0
CUST1170045,33,Female,South,Basic,47,2545.55,1,65.2,Month-to-month,0
CUST1170046,52,Male,West,Standard,10,3613.4,1,74.02,Two year,1
CUST1170047,51,Male,Central,Standard,48,2846.91,6,88.73,Month-to-month,0
CUST1170048,54,Female,South,Standard,27,1263.09,2,89.51,One year,0
CUST1170049,44,Male,South,Basic,40,3043.93,5,58.39,Month-to-month,1
CUST1170050,24,Male,West,Standard,31,2254.27,3,118.38,Month-to-month,1
CUST1170051,53,Female,North,Enterprise,11,3750.99,1,102.84,Month-to-month,1
CUST1170052,40,Male,North,Enterprise,39,1587.88,4,67.26,Month-to-month,1
CUST1170053,61,Female,East,Standard,10,2899.16,2,124.4,Month-to-month,1
CUST1170054,22,Male,North,Premium,1,2590.15,1,54.77,Month-to-month,1
CUST1170055,27,Other,South,Enterprise,26,3074.33,1,94.6,Two year,0
CUST1170056,53,Male,Central,Premium,40,956.8,1,166.46,One year,0
CUST1170057,37,Other,South,Premium,26,2902.63,3,61.08,Two year,0
CUST1170058,23,Female,North,Basic,42,1950.65,2,64.61,Month-to-month,1
CUST1170059,40,Male,East,Enterprise,71,1486.52,0,94.98,Month-to-month,0
CUST1170060,55,Other,South,Standard,29,3403.96,2,96.37,Month-to-month,1
CUST1170061,35,Male,South,Premium,14,3216.61,1,93.18,Month-to-month,0
CUST1170062,39,Female,Central,Premium,61,2144.44,3,52.66,Month-to-month,1
CUST1170063,39,Female,North,Basic,48,1515.92,3,107.73,Month-to-month,1
CUST1170064,22,Male,East,Premium,17,2484.43,0,59.74,Month-to-month,0
CUST1170065,54,Female,South,Enterprise,47,1762.17,1,70.44,Two year,0
CUST1170066,54,Female,Central,Standard,14,2837.96,1,60.5,Month-to-month,1
CUST1170067,60,Female,Central,Enterprise,44,1824.83,3,63.15,Month-to-month,0
CUST1170068,22,Male,West,Standard,61,1188.46,5,70.82,Month-to-month,1
CUST1170069,58,Female,Central,Basic,27,1960.71,1,205.05,Month-to-month,1
CUST1170070,29,Male,West,Standard,48,2888.05,3,135.68,Month-to-month,1
CUST1170071,22,Male,North,Premium,57,1032.26,4,159.2,Month-to-month,0
CUST1170072,64,Female,Central,Basic,54,2626.6,0,120.58,Month-to-month,1
CUST1170073,41,Female,Central,Standard,28,4338.07,3,84.31,Month-to-month,1
CUST1170074,58,Male,South,Standard,17,3881.45,1,70.63,One year,0
CUST1170075,51,Other,North,Basic,47,2306.55,0,68.52,Month-to-month,1
CUST1170076,63,Female,North,Standard,10,2331.57,3,81.34,Two year,0
CUST1170077,28,Female,Central,Premium,12,1763.5,3,126.5,Month-to-month,1
CUST1170078,34,Male,West,Standard,7,1919.77,2,72.04,Two year,0
CUST1170079,49,Male,East,Standard,27,2571.84,2,61.29,Month-to-month,1
CUST1170080,54,Female,North,Standard,33,2007.24,2,73.21,Month-to-month,1
CUST1170081,35,Male,Central,Premium,5,2389.25,1,160.73,Two year,0
CUST1170082,24,Male,South,Standard,71,3185.38,1,101.01,Month-to-month,0
CUST1170083,49,Female,East,Basic,34,2891.58,2,115.31,One year,1
CUST1170084,65,Female,East,Premium,32,3082.87,2,138.38,Two year,1
CUST1170085,34,Female,South,Standard,55,3327.61,2,67.0,Month-to-month,0
CUST1170086,24,Female,Central,Standard,62,1466.87,4,113.21,Month-to-month,1
CUST1170087,34,Female,Central,Premium,55,2530.34,1,160.83,Month-to-month,0
CUST1170088,57,Female,North,Premium,48,3465.73,2,208.82,Two year,0
CUST1170089,32,Female,West,Basic,6,5154.23,2,99.14,Month-to-month,0
CUST1170090,58,Male,North,Basic,72,3403.07,3,104.24,Month-to-month,1
CUST1170091,63,Female,North,Standard,14,1490.09,2,69.43,Month-to-month,0
CUST1170092,51,Male,North,Premium,13,2981.5,4,155.48,Month-to-month,0
CUST1170093,26,Female,West,Standard,41,2948.44,1,129.62,One year,0
CUST1170094,33,Female,South,Standard,16,2678.98,4,130.81,Month-to-month,0
CUST1170095,41,Female,East,Enterprise,39,3219.17,3,168.46,Two year,0
CUST1170096,35,Male,South,Basic,54,1824.86,3,80.42,One year,1
CUST1170097,28,Male,South,Basic,57,1426.69,2,106.78,Month-to-month,0
CUST1170098,50,Female,South,Basic,4,1386.32,1,132.17,Month-to-month,0
CUST1170099,31,Female,North,Standard,24,1460.18,1,50.15,Two year,0
CUST1170100,32,Male,East,Standard,21,2664.9,1,175.91,Month-to-month,0
CUST1170101,55,Female,East,Premium,29,1923.55,0,96.53,Month-to-month,1
CUST1170102,40,Female,West,Standard,14,1730.53,1,147.08,Month-to-month,0
CUST1170103,37,Male,West,Premium,51,3198.52,2,124.75,Month-to-month,1
CUST1170104,44,Female,North,Standard,23,3117.94,1,78.26,One year,1
CUST1170105,33,Male,North,Enterprise,38,1134.83,2,201.07,Month-to-month,0
CUST1170106,64,Male,South,Standard,10,2126.96,2,85.83,Two year,0
CUST1170107,60,Female,South,Basic,23,2600.8,4,107.45,Two year,1
CUST1170108,23,Male,East,Basic,56,3013.12,2,176.97,One year,0
CUST1170109,55,Female,East,Premium,15,1901.6,1,119.12,Two year,1
CUST1170110,27,Female,West,Premium,62,2412.18,3,33.95,Two year,1
CUST1170111,41,Female,West,Enterprise,24,2971.4,2,76.93,Month-to-month,0
CUST1170112,63,Female,East,Standard,55,2430.32,2,106.32,One year,0
CUST1170113,57,Female,East,Standard,17,3144.14,1,133.73,Month-to-month,0
CUST1170114,27,Female,North,Premium,67,3744.02,3,246.62,Two year,0
CUST1170115,43,Male,West,Premium,62,3120.13,6,154.22,One year,1
CUST1170116,40,Female,West,Basic,41,3042.12,1,27.42,One year,0
CUST1170117,27,Female,South,Premium,28,2645.6,5,53.9,Month-to-month,1
CUST1170118,28,Male,North,Premium,70,1408.14,2,101.15,Month-to-month,0
CUST1170119,57,Male,South,Standard,21,2369.29,1,191.89,Month-to-month,0
CUST1170120,53,Female,East,Standard,24,2043.33,2,79.14,Month-to-month,0
CUST1170121,21,Male,Central,Basic,28,2958.15,1,111.96,One year,0
CUST1170122,49,Male,West,Basic,50,2175.39,2,140.62,Month-to-month,0
CUST1170123,49,Male,South,Premium,66,2616.46,2,115.84,Month-to-month,0
CUST1170124,38,Female,East,Premium,13,2776.74,3,153.6,One year,0
CUST1170125,34,Female,Central,Basic,70,2973.45,0,110.89,Month-to-month,1
CUST1170126,37,Male,North,Premium,3,3400.77,0,104.47,Month-to-month,1
CUST1170127,61,Male,North,Enterprise,17,3096.7,3,90.1,Month-to-month,0
CUST1170128,39,Other,East,Premium,67,2462.83,2,97.12,Month-to-month,0
CUST1170129,56,Male,South,Enterprise,56,3854.17,3,127.96,One year,0
CUST1170130,29,Female,East,Basic,6,3162.83,5,123.02,Month-to-month,1
CUST1170131,28,Female,North,Enterprise,46,1389.89,3,54.72,Month-to-month,0
CUST1170132,33,Male,South,Standard,17,3518.04,0,90.53,Two year,0
CUST1170133,29,Male,Central,Premium,20,2578.16,5,120.73,Month-to-month,1
CUST1170134,30,Male,North,Enterprise,37,2629.27,4,72.3,Two year,0
CUST1170135,55,Male,East,Premium,49,2751.86,2,117.53,Month-to-month,0
CUST1170136,25,Male,Central,Basic,17,2935.0,4,86.78,One year,0
CUST1170137,54,Female,South,Basic,33,3291.5,4,78.74,Month-to-month,1
CUST1170138,60,Female,East,Standard,39,2382.42,2,77.47,Month-to-month,0
CUST1170139,25,Female,North,Standard,44,2503.6,2,163.27,Month-to-month,0
CUST1170140,57,Male,East,Basic,45,1995.76,2,187.47,One year,0
CUST1170141,25,Other,South,Basic,15,4433.69,1,74.46,Month-to-month,1
CUST1170142,28,Female,East,Standard,48,1599.45,2,160.25,Two year,0
CUST1170143,55,Male,West,Basic,43,2288.27,2,43.61,One year,1
CUST1170144,60,Female,Central,Standard,58,3339.07,0,104.9,Month-to-month,0
CUST1170145,28,Male,North,Standard,45,3567.04,1,168.0,One year,1
CUST1170146,51,Female,Central,Standard,57,2400.99,1,21.47,One year,1
CUST1170147,36,Female,West,Standard,2,974.01,2,94.36,One year,1
CUST1170148,25,Male,East,Basic,69,2208.59,4,79.35,Month-to-month,1
CUST1170149,41,Other,East,Basic,37,2494.62,3,53.66,One year,0
CUST1170150,45,Female,East,Basic,36,2243.15,1,93.92,Month-to-month,0
CUST1170151,22,Female,South,Basic,52,3283.08,3,89.45,Two year,1
CUST1170152,57,Female,North,Premium,22,4101.75,2,99.06,Month-to-month,0
