customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11170001,56,Male,North,Standard,72,3165.16,5,144.04,Month-to-month,1
CUST11170002,50,Female,West,Basic,31,4126.32,6,147.36,One year,1
CUST11170003,60,Male,South,Premium,10,2977.3,3,65.43,Month-to-month,0
CUST11170004,53,Male,Central,Basic,26,4241.5,3,173.37,One year,0
CUST11170005,53,Female,West,Standard,27,3651.35,3,166.77,One year,1
CUST11170006,30,Female,South,Standard,3,2424.54,4,54.33,One year,1
CUST11170007,50,Male,East,Enterprise,44,2904.26,3,148.12,Month-to-month,1
CUST11170008,34,Female,East,Premium,12,2359.62,4,110.02,One year,0
CUST11170009,28,Female,North,Standard,48,3346.18,1,105.06,Month-to-month,0
CUST11170010,54,Female,North,Standard,21,2615.0,1,108.55,Two year,0
CUST11170011,45,Female,West,Standard,33,3530.37,1,203.3,One year,0
CUST11170012,24,Male,West,Enterprise,8,2765.77,2,155.86,Month-to-month,1
CUST11170013,25,Male,North,Basic,56,2964.02,4,26.63,One year,0
CUST11170014,23,Male,Central,Standard,66,1989.91,4,103.37,Month-to-month,0
CUST11170015,40,Male,East,Standard,53,3901.92,2,200.05,Month-to-month,0
CUST11170016,27,Male,West,Premium,61,1828.73,2,121.36,Month-to-month,0
CUST11170017,36,Female,East,Premium,16,2026.63,2,53.3,Month-to-month,0
CUST11170018,58,Female,East,Standard,11,3664.85,2,117.27,Month-to-month,1
CUST11170019,45,Male,South,Standard,36,3534.04,0,102.81,One year,0
CUST11170020,22,Female,South,Premium,51,2618.47,2,98.02,Month-to-month,0
CUST11170021,46,Female,South,Standard,24,1636.24,1,123.57,One year,1
CUST11170022,38,Female,South,Basic,24,3456.62,4,235.69,One year,1
CUST11170023,61,Male,East,Standard,20,3191.87,4,75.8,Month-to-month,0
CUST11170024,23,Female,Central,Standard,16,2715.44,3,93.58,Month-to-month,1
CUST11170025,34,Male,East,Standard,70,1150.01,5,80.74,One year,0
CUST11170026,31,Male,West,Premium,68,2372.09,7,126.06,Month-to-month,1
CUST11170027,56,Male,Central,Standard,13,4531.33,4,218.88,Month-to-month,1
CUST11170028,53,Male,Central,Enterprise,41,2546.12,4,67.12,Month-to-month,1
CUST11170029,56,Female,South,Standard,49,2093.45,4,155.58,Month-to-month,1
CUST11170030,23,Male,West,Standard,21,2020.6,3,97.45,Month-to-month,1
CUST11170031,31,Male,South,Standard,64,3752.99,2,80.15,Month-to-month,0
CUST11170032,64,Female,West,Basic,36,1999.48,2,131.42,Month-to-month,1
CUST11170033,61,Female,Central,Basic,32,1682.52,3,87.18,One year,1
CUST11170034,51,Male,East,Basic,35,4441.26,3,113.74,Month-to-month,0
CUST11170035,48,Male,East,Basic,22,2222.53,3,188.47,Month-to-month,1
CUST11170036,63,Female,West,Basic,70,3062.25,6,141.59,Two year,0
CUST11170037,48,Male,West,Standard,56,3345.4,4,94.24,Month-to-month,0
CUST11170038,34,Male,South,Standard,43,3619.99,1,89.94,Month-to-month,1
CUST11170039,25,Female,East,Basic,66,3021.91,2,75.59,Month-to-month,0
CUST11170040,48,Male,North,Premium,1,3003.52,1,83.43,Month-to-month,1
CUST11170041,59,Female,South,Basic,63,2916.67,1,63.8,Month-to-month,0
CUST11170042,53,Male,South,Premium,45,2243.26,4,96.21,Month-to-month,0
CUST11170043,54,Male,West,Basic,62,1939.94,3,96.32,Month-to-month,0
CUST11170044,45,Male,North,Premium,10,4533.88,2,91.4,One year,0
CUST11170045,57,Female,Central,Standard,30,2783.31,5,85.31,One year,1
CUST11170046,28,Female,Central,Standard,38,2690.77,4,131.62,One year,1
CUST11170047,50,Other,North,Basic,34,3137.17,1,76.73,Two year,0
CUST11170048,41,Male,Central,Basic,68,3020.64,4,75.05,Two year,0
CUST11170049,51,Female,Central,Standard,7,3246.43,2,84.54,Month-to-month,1
CUST11170050,24,Female,North,Basic,8,2318.89,3,44.47,Month-to-month,1
CUST11170051,31,Male,West,Premium,61,3761.62,4,164.05,Month-to-month,1
CUST11170052,29,Male,South,Basic,28,3324.04,5,300.19,Month-to-month,1
CUST11170053,51,Female,Central,Standard,23,2752.52,3,158.39,Month-to-month,1
CUST11170054,31,Male,East,Standard,6,951.41,3,138.15,Month-to-month,1
CUST11170055,46,Male,West,Standard,29,3694.16,1,78.34,Month-to-month,1
CUST11170056,45,Male,North,Standard,68,2732.19,7,128.21,Month-to-month,0
CUST11170057,41,Male,West,Standard,69,2865.22,2,88.47,One year,0
CUST11170058,41,Female,East,Standard,23,2611.55,3,68.24,Month-to-month,1
CUST11170059,22,Female,West,Basic,15,2057.32,3,99.52,Month-to-month,1
CUST11170060,61,Male,East,Basic,64,2588.86,5,29.13,Month-to-month,1
CUST11170061,35,Female,Central,Standard,26,2479.26,0,98.34,Month-to-month,0
CUST11170062,42,Female,West,Standard,3,3132.75,2,120.06,Two year,1
CUST11170063,38,Male,Central,Standard,56,1086.89,5,64.53,One year,0
CUST11170064,35,Male,North,Premium,28,4138.53,1,153.74,Month-to-month,1
CUST11170065,30,Male,North,Standard,68,2646.09,5,82.52,Month-to-month,0
CUST11170066,28,Male,North,Basic,35,3307.04,5,122.65,Month-to-month,0
CUST11170067,21,Female,South,Premium,66,3938.33,2,67.51,Month-to-month,1
CUST11170068,52,Male,North,Premium,63,3636.39,5,120.0,Month-to-month,1
CUST11170069,27,Male,East,Basic,44,2869.59,4,76.1,Month-to-month,1
CUST11170070,41,Male,East,Basic,71,2698.02,3,168.21,Month-to-month,1
CUST11170071,62,Female,West,Basic,16,3627.62,3,126.65,Month-to-month,1
CUST11170072,59,Female,Central,Standard,24,3784.39,1,117.05,Month-to-month,1
CUST11170073,44,Female,West,Standard,25,1989.89,5,59.62,Month-to-month,1
CUST11170074,21,Male,South,Standard,64,3339.44,0,163.04,Month-to-month,0
CUST11170075,26,Female,Central,Premium,12,2864.87,2,138.69,Month-to-month,0
CUST11170076,29,Male,Central,Enterprise,47,4930.01,4,52.68,Month-to-month,1
CUST11170077,44,Female,East,Basic,55,4387.69,3,113.31,One year,1
CUST11170078,59,Female,East,Premium,71,3329.21,3,82.34,One year,1
CUST11170079,50,Male,Central,Standard,62,3903.55,3,53.6,Month-to-month,1
CUST11170080,57,Male,Central,Basic,1,2022.98,3,133.1,One year,1
CUST11170081,58,Female,West,Standard,23,3059.93,4,126.63,Month-to-month,1
CUST11170082,30,Male,Central,Basic,32,2667.86,6,178.99,Two year,0
CUST11170083,41,Male,East,Premium,66,3242.96,6,126.89,One year,0
CUST11170084,35,Female,South,Standard,35,2184.82,1,72.9,Month-to-month,0
CUST11170085,42,Female,North,Standard,34,2921.07,3,125.59,Month-to-month,0
CUST11170086,37,Other,South,Basic,52,2214.47,4,122.38,One year,1
CUST11170087,56,Female,West,Enterprise,13,4805.81,3,156.6,One year,0
CUST11170088,39,Female,North,Standard,55,1867.62,2,96.05,Two year,0
CUST11170089,46,Female,Central,Premium,55,1979.95,2,74.7,One year,0
CUST11170090,29,Male,South,Enterprise,60,4836.91,8,114.43,One year,1
CUST11170091,65,Male,Central,Premium,8,3312.32,3,80.19,Month-to-month,1
CUST11170092,23,Male,Central,Basic,67,4032.03,3,124.39,Month-to-month,0
CUST11170093,57,Female,North,Basic,55,2909.95,1,83.53,One year,0
CUST11170094,38,Female,North,Standard,39,3296.59,4,137.99,Two year,0
CUST11170095,62,Female,North,Standard,11,3361.67,2,43.93,One year,0
CUST11170096,22,Male,Central,Premium,30,4161.23,2,138.29,Month-to-month,0
CUST11170097,63,Male,North,Basic,48,3010.39,3,209.35,One year,0
CUST11170098,44,Female,East,Basic,66,2923.38,2,52.0,Month-to-month,0
CUST11170099,28,Female,Central,Standard,60,3434.92,2,103.71,One year,1
CUST11170100,45,Female,South,Premium,71,1726.99,3,95.14,Month-to-month,0
CUST11170101,24,Female,North,Basic,59,3704.17,1,177.24,Month-to-month,1
CUST11170102,32,Male,South,Premium,2,3283.61,4,90.86,Month-to-month,0
CUST11170103,48,Female,North,Premium,54,3884.75,5,174.0,Month-to-month,1
CUST11170104,36,Female,North,Basic,67,2966.39,1,195.74,Month-to-month,1
CUST11170105,37,Female,North,Basic,46,2567.92,3,58.67,Month-to-month,0
CUST11170106,56,Male,North,Standard,23,2849.49,3,206.95,One year,1
CUST11170107,65,Female,West,Standard,62,4512.12,1,83.65,Month-to-month,0
CUST11170108,27,Female,South,Standard,39,3390.56,2,132.86,Month-to-month,0
CUST11170109,51,Female,West,Premium,32,2069.06,3,161.32,One year,0
CUST11170110,45,Female,West,Standard,23,2633.04,5,164.2,One year,0
CUST11170111,28,Female,East,Standard,49,1829.26,3,172.73,One year,0
CUST11170112,37,Female,North,Standard,15,2426.25,1,103.0,One year,0
CUST11170113,65,Female,East,Standard,67,3366.24,2,115.75,One year,0
CUST11170114,27,Female,Central,Standard,48,3049.78,5,189.28,Month-to-month,1
CUST11170115,40,Male,North,Standard,4,4245.75,4,293.25,Month-to-month,1
CUST11170116,22,Female,North,Standard,67,3520.78,4,101.67,Two year,0
CUST11170117,62,Female,North,Standard,31,3688.52,5,107.2,One year,1
CUST11170118,50,Male,East,Basic,67,3702.12,2,101.84,Month-to-month,0
CUST11170119,22,Female,North,Basic,23,3120.69,0,109.08,Month-to-month,1
CUST11170120,54,Male,Central,Premium,8,3602.29,6,184.71,Month-to-month,0
CUST11170121,63,Female,Central,Basic,55,3497.77,3,56.49,Two year,0
CUST11170122,31,Female,South,Basic,48,1705.16,4,108.59,Month-to-month,0
CUST11170123,29,Male,East,Standard,72,3174.95,7,174.84,Month-to-month,1
CUST11170124,56,Other,West,Basic,28,1152.48,2,152.74,Month-to-month,0
CUST11170125,38,Male,East,Basic,33,2729.34,4,107.64,Month-to-month,0
CUST11170126,30,Female,North,Premium,52,2063.63,3,101.87,Month-to-month,0
CUST11170127,61,Female,East,Standard,14,2765.0,2,83.91,Two year,0
CUST11170128,54,Male,Central,Standard,23,3216.1,4,31.55,Month-to-month,0
CUST11170129,55,Female,East,Basic,9,3261.4,2,92.13,Month-to-month,1
CUST11170130,22,Female,Central,Premium,8,2183.82,0,92.35,One year,1
CUST11170131,34,Male,West,Basic,47,3119.0,7,39.82,Month-to-month,1
CUST11170132,44,Male,East,Premium,37,2102.66,2,47.51,Two year,0
CUST11170133,65,Female,Central,Standard,18,2923.22,5,108.05,One year,0
CUST11170134,35,Male,West,Premium,64,2659.54,4,60.62,Month-to-month,0
CUST11170135,61,Female,West,Standard,64,3743.59,0,102.77,Month-to-month,1
CUST11170136,48,Male,Central,Basic,35,3023.75,2,98.18,One year,0
CUST11170137,30,Female,South,Basic,19,2814.86,6,95.91,One year,0
CUST11170138,32,Male,West,Standard,42,3387.23,2,114.75,One year,0
CUST11170139,41,Male,South,Basic,52,2538.77,1,135.57,Month-to-month,1
CUST11170140,29,Male,North,Enterprise,21,1748.26,3,115.43,Month-to-month,0
CUST11170141,39,Female,Central,Enterprise,34,2738.37,4,67.12,Month-to-month,0
CUST11170142,48,Female,West,Standard,69,823.74,3,175.2,One year,0
CUST11170143,26,Female,West,Standard,55,3043.78,2,119.86,Month-to-month,0
CUST11170144,39,Female,West,Basic,41,2630.5,3,202.19,Month-to-month,0
CUST11170145,59,Female,South,Standard,72,1523.06,3,96.9,One year,0
CUST11170146,58,Female,East,Basic,55,1852.34,2,125.82,Month-to-month,0
CUST11170147,60,Male,North,Premium,64,4235.25,2,80.48,Month-to-month,1
CUST11170148,28,Male,South,Basic,57,3372.7,1,132.49,One year,0
CUST11170149,25,Male,West,Premium,44,2647.36,3,126.62,Two year,0
CUST11170150,45,Female,South,Premium,62,3139.2,2,90.17,One year,0
CUST11170151,59,Female,North,Standard,34,3532.62,6,88.15,Month-to-month,0
CUST11170152,45,Female,North,Enterprise,47,3477.53,2,107.38,One year,0
CUST11170153,21,Male,Central,Standard,11,1787.51,1,114.53,Month-to-month,0
CUST11170154,57,Male,West,Basic,30,1892.4,2,88.56,Month-to-month,1
CUST11170155,26,Female,West,Basic,69,4778.88,6,146.28,One year,0
CUST11170156,25,Female,West,Premium,61,1999.2,3,115.29,Month-to-month,1
CUST11170157,33,Male,North,Enterprise,64,2364.74,4,148.92,Month-to-month,0
CUST11170158,33,Female,West,Standard,59,3516.45,3,121.21,Month-to-month,0
CUST11170159,27,Female,North,Standard,25,2133.97,4,83.39,One year,1
CUST11170160,61,Male,South,Standard,67,3141.4,2,95.45,Month-to-month,0
CUST11170161,65,Male,West,Standard,24,2823.39,1,136.09,Month-to-month,0
CUST11170162,27,Female,East,Standard,28,1985.09,2,144.01,Two year,0
CUST11170163,29,Male,North,Basic,41,2578.5,3,132.52,One year,0
CUST11170164,34,Female,Central,Basic,50,2026.42,6,85.27,Month-to-month,1
CUST11170165,53,Male,Central,Standard,20,1998.52,3,91.1,Month-to-month,1
CUST11170166,38,Male,Central,Basic,22,2481.92,5,126.01,Month-to-month,1
CUST11170167,41,Female,West,Premium,33,2424.74,1,92.36,Month-to-month,1
CUST11170168,57,Male,West,Basic,18,4913.8,2,55.25,One year,1
CUST11170169,27,Male,South,Basic,36,3262.25,3,148.17,Month-to-month,1
CUST11170170,65,Female,West,Standard,64,3121.69,2,161.61,Month-to-month,0
CUST11170171,55,Male,West,Premium,53,2110.13,2,70.75,Month-to-month,1
CUST11170172,47,Female,Central,Standard,25,3742.21,3,105.71,Month-to-month,0
CUST11170173,60,Female,Central,Premium,15,3417.16,2,99.55,Month-to-month,0
CUST11170174,54,Other,West,Basic,38,3004.38,3,86.28,Month-to-month,0
CUST11170175,55,Male,Central,Premium,14,3628.14,2,110.59,Month-to-month,0
CUST11170176,30,Female,West,Standard,54,3737.49,4,146.5,Month-to-month,0
CUST11170177,59,Female,Central,Standard,6,2821.77,2,111.1,Month-to-month,1
CUST11170178,59,Other,North,Enterprise,15,4498.12,2,158.43,Two year,0
CUST11170179,57,Female,East,Enterprise,16,3387.03,5,165.75,Month-to-month,0
CUST11170180,23,Male,Central,Premium,11,1338.32,1,150.06,Month-to-month,1
CUST11170181,42,Male,North,Basic,9,2029.59,4,65.74,Month-to-month,1
CUST11170182,23,Female,West,Basic,64,2058.04,5,100.71,One year,0
CUST11170183,28,Male,South,Basic,25,4344.5,3,115.24,One year,1
CUST11170184,31,Male,West,Basic,40,4796.03,4,153.15,One year,0
CUST11170185,56,Female,North,Premium,41,3369.72,2,197.87,Month-to-month,0
CUST11170186,42,Female,West,Standard,19,2895.65,3,94.17,Month-to-month,0
CUST11170187,54,Female,East,Premium,54,1747.23,2,142.49,Month-to-month,1
CUST11170188,27,Male,North,Standard,23,4463.03,2,72.06,Month-to-month,0
CUST11170189,37,Female,East,Basic,58,3803.53,6,56.29,Month-to-month,0
CUST11170190,26,Female,West,Basic,50,3054.79,4,103.94,Month-to-month,0
CUST11170191,40,Male,South,Standard,72,2735.06,4,58.14,One year,0
CUST11170192,61,Male,North,Premium,26,2892.13,3,74.98,Month-to-month,1
CUST11170193,65,Male,West,Basic,6,3533.2,0,64.49,Month-to-month,1
