customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1180001,38,Female,North,Basic,55,3690.31,1,218.09,Month-to-month,1
CUST1180002,62,Female,Central,Standard,47,4039.95,1,106.22,Two year,1
CUST1180003,49,Female,West,Premium,33,2920.65,2,116.07,Month-to-month,0
CUST1180004,63,Female,Central,Basic,14,2603.06,1,92.52,Month-to-month,1
CUST1180005,40,Female,North,Premium,47,3021.97,4,125.26,Month-to-month,0
CUST1180006,33,Male,Central,Standard,53,3716.93,5,154.75,One year,1
CUST1180007,58,Male,North,Standard,20,3327.9,3,76.21,Month-to-month,0
CUST1180008,30,Other,North,Premium,63,954.61,1,111.77,One year,1
CUST1180009,53,Male,East,Premium,64,2065.22,1,55.25,Two year,0
CUST1180010,44,Female,Central,Basic,48,2537.67,2,88.37,Two year,0
CUST1180011,23,Male,South,Basic,34,2509.78,2,160.28,Month-to-month,0
CUST1180012,22,Male,Central,Enterprise,14,1639.56,0,46.24,One year,1
CUST1180013,44,Male,East,Basic,22,3544.54,1,124.7,Month-to-month,0
CUST1180014,51,Female,East,Standard,69,2585.97,1,116.96,One year,0
CUST1180015,21,Female,West,Enterprise,4,2765.55,4,195.51,Month-to-month,1
CUST1180016,62,Female,Central,Basic,24,1382.27,2,90.83,Month-to-month,0
CUST1180017,24,Male,North,Standard,58,1715.17,2,150.73,One year,1
CUST1180018,40,Female,North,Standard,65,2672.09,2,170.83,Month-to-month,0
CUST1180019,50,Male,South,Premium,48,2855.14,4,115.11,Month-to-month,0
CUST1180020,60,Male,North,Premium,47,3424.72,2,149.44,Month-to-month,0
CUST1180021,55,Male,West,Standard,34,2562.43,3,101.51,Month-to-month,0
CUST1180022,24,Female,South,Premium,54,3457.74,0,159.8,One year,0
CUST1180023,24,Male,West,Premium,4,3372.55,1,141.76,Two year,0
CUST1180024,57,Male,West,Standard,13,1437.04,0,147.25,Month-to-month,0
CUST1180025,47,Female,East,Standard,39,2288.08,2,97.88,One year,0
CUST1180026,51,Female,West,Standard,12,2990.51,0,104.04,Month-to-month,0
CUST1180027,30,Female,West,Basic,72,3351.81,5,222.64,One year,1
CUST1180028,40,Female,North,Basic,37,3113.07,2,153.1,Month-to-month,0
CUST1180029,48,Other,Central,Standard,29,3763.05,0,121.49,Month-to-month,0
CUST1180030,42,Male,South,Basic,57,2668.58,1,161.85,Month-to-month,1
CUST1180031,64,Male,Central,Standard,63,4539.8,1,39.75,Two year,1
CUST1180032,48,Female,North,Enterprise,5,3443.04,3,120.29,Month-to-month,0
CUST1180033,43,Male,West,Basic,37,2113.47,2,96.25,Two year,0
CUST1180034,43,Male,West,Standard,23,1723.63,2,104.1,Month-to-month,1
CUST1180035,50,Other,Central,Enterprise,38,3833.85,2,136.69,Two year,0
CUST1180036,48,Female,North,Premium,57,2964.66,2,155.44,Month-to-month,1
CUST1180037,62,Female,North,Premium,51,1998.38,3,80.08,Month-to-month,0
CUST1180038,58,Female,North,Premium,7,2499.77,2,164.44,Month-to-month,1
CUST1180039,28,Male,West,Premium,7,1261.58,2,127.25,Two year,1
CUST1180040,50,Female,West,Premium,59,2229.5,3,105.24,Month-to-month,0
CUST1180041,42,Male,Central,Standard,16,1977.13,1,52.53,Month-to-month,1
CUST1180042,65,Other,North,Premium,16,3118.19,3,81.17,One year,0
CUST1180043,51,Female,East,Standard,15,2099.64,0,159.1,Two year,0
CUST1180044,59,Female,North,Standard,67,1845.01,4,94.67,Month-to-month,1
CUST1180045,56,Female,Central,Premium,52,2340.37,3,53.27,Month-to-month,0
CUST1180046,45,Male,North,Premium,24,2940.26,3,153.64,Month-to-month,1
CUST1180047,65,Female,South,Standard,72,2108.06,0,92.45,Month-to-month,0
CUST1180048,26,Female,Central,Standard,5,4184.79,3,99.18,One year,1
CUST1180049,33,Male,South,Basic,61,2626.98,2,171.18,Month-to-month,1
CUST1180050,48,Female,West,Basic,70,2805.02,1,118.17,Two year,0
CUST1180051,44,Male,East,Basic,54,2137.87,0,212.43,One year,1
CUST1180052,32,Male,West,Basic,52,2739.85,3,122.32,Month-to-month,0
CUST1180053,38,Male,East,Enterprise,2,1381.78,3,149.24,One year,0
CUST1180054,45,Other,West,Enterprise,3,2706.8,0,88.78,Two year,0
CUST1180055,29,Female,South,Enterprise,61,1487.96,3,108.6,One year,0
CUST1180056,51,Female,Central,Basic,43,1408.92,4,71.69,Month-to-month,0
CUST1180057,54,Female,Central,Premium,59,3216.92,5,58.82,One year,0
CUST1180058,27,Female,Central,Basic,31,2496.9,1,212.31,One year,0
CUST1180059,25,Female,South,Standard,41,3732.14,1,91.84,Two year,0
CUST1180060,49,Female,West,Standard,46,2624.25,2,118.89,Month-to-month,0
CUST1180061,54,Male,East,Premium,72,2664.59,1,146.49,One year,1
CUST1180062,35,Male,East,Basic,8,1990.07,2,92.16,Month-to-month,0
CUST1180063,35,Male,North,Standard,52,2027.2,3,130.57,Month-to-month,0
CUST1180064,53,Male,South,Standard,66,3005.84,0,83.94,Month-to-month,0
CUST1180065,31,Male,West,Standard,70,2175.14,5,129.57,Two year,0
CUST1180066,39,Male,South,Standard,63,2446.64,2,103.23,Month-to-month,1
CUST1180067,45,Female,South,Standard,49,2381.82,3,85.28,Month-to-month,1
CUST1180068,59,Male,Central,Premium,6,2156.27,3,70.1,One year,1
CUST1180069,40,Female,South,Standard,53,2345.73,1,155.99,Month-to-month,1
CUST1180070,59,Female,South,Standard,31,2220.08,3,225.42,Month-to-month,0
CUST1180071,50,Female,Central,Premium,65,1883.93,1,76.45,Month-to-month,0
CUST1180072,42,Male,West,Premium,12,1524.3,1,64.72,One year,1
CUST1180073,62,Female,South,Premium,29,2235.84,5,55.53,One year,1
CUST1180074,62,Female,East,Premium,67,1876.76,1,118.52,Month-to-month,0
CUST1180075,56,Female,North,Enterprise,55,1873.41,4,93.99,One year,0
CUST1180076,30,Other,West,Basic,35,2146.56,3,52.96,Month-to-month,0
CUST1180077,52,Male,South,Basic,54,1858.01,4,83.12,One year,0
CUST1180078,55,Male,North,Standard,7,3302.59,4,176.14,One year,1
CUST1180079,65,Male,West,Basic,60,1794.45,6,64.26,One year,1
CUST1180080,48,Male,Central,Premium,4,2749.12,2,26.8,Month-to-month,0
CUST1180081,61,Female,Central,Standard,51,2943.99,1,43.73,One year,1
CUST1180082,42,Female,South,Premium,53,2726.92,3,79.97,Month-to-month,1
CUST1180083,57,Male,West,Basic,36,3174.54,1,57.07,One year,0
CUST1180084,24,Female,South,Basic,42,4391.74,2,105.0,One year,1
CUST1180085,22,Female,West,Standard,24,3440.31,3,75.29,One year,0
CUST1180086,61,Female,East,Standard,31,1518.92,3,57.08,Month-to-month,0
CUST1180087,40,Male,West,Premium,3,2805.62,5,217.91,Month-to-month,1
CUST1180088,46,Female,South,Standard,35,1899.05,1,107.58,One year,0
CUST1180089,31,Female,Central,Premium,50,2844.58,4,67.75,Month-to-month,1
CUST1180090,37,Female,East,Premium,66,3050.23,0,76.24,Month-to-month,1
CUST1180091,27,Female,East,Standard,65,3356.75,0,68.23,Month-to-month,1
CUST1180092,21,Female,East,Enterprise,22,2070.38,3,115.99,Month-to-month,0
CUST1180093,56,Female,East,Basic,36,3477.79,4,87.66,Month-to-month,1
CUST1180094,32,Female,South,Standard,70,3375.36,3,67.12,Two year,0
CUST1180095,35,Male,Central,Basic,36,2693.67,5,51.67,Month-to-month,0
CUST1180096,48,Female,Central,Enterprise,30,1804.94,2,55.59,One year,0
CUST1180097,55,Female,North,Basic,63,3061.35,4,39.47,Two year,0
CUST1180098,64,Female,East,Basic,45,2102.77,0,95.3,Month-to-month,1
CUST1180099,22,Female,North,Enterprise,25,3223.79,2,78.18,Month-to-month,1
CUST1180100,34,Female,Central,Standard,27,4044.35,1,193.01,Month-to-month,1
CUST1180101,64,Female,West,Premium,62,1241.6,0,99.85,One year,0
CUST1180102,27,Male,South,Premium,47,2327.59,6,97.27,Two year,0
CUST1180103,36,Female,South,Premium,59,2499.17,3,145.23,Month-to-month,1
CUST1180104,24,Female,Central,Standard,20,3421.36,3,214.7,Month-to-month,0
CUST1180105,32,Male,East,Basic,14,1181.7,2,131.74,Month-to-month,0
CUST1180106,65,Female,Central,Basic,35,2221.17,1,28.95,One year,1
CUST1180107,52,Female,South,Standard,48,883.61,4,138.3,Two year,0
CUST1180108,36,Female,East,Standard,55,2143.58,2,177.0,Month-to-month,0
CUST1180109,50,Other,South,Premium,20,2680.76,4,67.43,One year,1
CUST1180110,62,Male,North,Standard,26,2068.48,2,40.48,One year,1
CUST1180111,24,Female,West,Basic,52,3455.36,1,94.42,Month-to-month,0
CUST1180112,22,Female,North,Standard,25,1676.01,2,194.32,Month-to-month,0
CUST1180113,29,Male,North,Premium,70,3503.3,2,125.11,Two year,0
CUST1180114,55,Male,West,Standard,9,2980.29,4,118.01,Month-to-month,1
CUST1180115,47,Female,East,Standard,59,4248.93,3,52.07,Month-to-month,1
CUST1180116,28,Male,South,Premium,10,2577.1,4,157.69,One year,0
CUST1180117,28,Male,East,Standard,35,3263.44,3,131.95,One year,1
CUST1180118,39,Female,North,Basic,15,2322.03,0,69.07,Month-to-month,0
CUST1180119,30,Male,North,Premium,62,2230.99,1,90.31,Month-to-month,0
CUST1180120,36,Male,Central,Basic,39,1863.9,2,92.02,Month-to-month,0
CUST1180121,44,Male,East,Basic,71,3181.46,4,89.84,Month-to-month,0
CUST1180122,45,Male,Central,Premium,71,2777.0,2,36.93,One year,0
CUST1180123,25,Female,East,Basic,63,1020.42,2,108.23,Two year,1
CUST1180124,37,Male,South,Standard,5,1238.43,2,57.97,Month-to-month,1
CUST1180125,26,Female,North,Enterprise,34,3902.52,3,192.75,Month-to-month,1
CUST1180126,58,Female,Central,Basic,41,1917.19,2,92.35,Two year,0
CUST1180127,55,Female,South,Standard,15,2940.31,1,77.15,Month-to-month,1
CUST1180128,26,Female,South,Standard,72,4159.07,6,86.84,One year,1
CUST1180129,49,Male,North,Enterprise,30,3209.82,4,45.83,Month-to-month,0
CUST1180130,47,Male,East,Basic,24,2292.32,5,196.37,One year,1
CUST1180131,35,Female,South,Basic,41,3095.81,3,144.88,Month-to-month,0
CUST1180132,42,Male,East,Standard,29,1730.74,1,79.11,Month-to-month,0
CUST1180133,34,Male,North,Premium,30,1744.24,2,83.32,Month-to-month,0
CUST1180134,39,Female,Central,Standard,3,2315.3,1,119.15,One year,0
CUST1180135,61,Female,East,Basic,55,3776.4,2,122.75,One year,0
CUST1180136,61,Female,South,Standard,21,1241.33,3,160.76,Month-to-month,0
CUST1180137,32,Female,East,Premium,4,2419.23,3,130.32,Month-to-month,0
CUST1180138,52,Other,West,Standard,7,3818.11,0,125.0,Month-to-month,1
CUST1180139,51,Female,West,Enterprise,43,1582.62,2,100.74,One year,0
CUST1180140,52,Male,Central,Standard,10,2349.79,3,117.7,One year,1
CUST1180141,35,Female,North,Basic,48,2474.45,2,113.05,One year,1
CUST1180142,32,Male,South,Basic,31,2516.32,2,120.53,One year,0
CUST1180143,30,Male,West,Standard,20,2526.77,2,72.86,Month-to-month,0
CUST1180144,50,Other,East,Standard,65,2357.05,2,53.45,Month-to-month,1
CUST1180145,58,Male,East,Basic,15,2993.02,5,174.41,Month-to-month,1
CUST1180146,61,Female,South,Basic,40,2730.35,0,60.91,One year,0
CUST1180147,31,Other,South,Standard,41,2353.72,0,96.32,Month-to-month,0
CUST1180148,50,Female,East,Premium,24,3509.71,3,68.22,Month-to-month,1
CUST1180149,41,Female,West,Premium,55,3287.18,2,63.65,Month-to-month,1
CUST1180150,55,Male,North,Premium,53,2789.61,1,59.68,Month-to-month,1
CUST1180151,63,Male,South,Premium,17,4073.22,1,94.89,Month-to-month,1
CUST1180152,24,Other,West,Standard,15,3546.93,3,58.59,One year,0
CUST1180153,36,Female,West,Premium,54,1598.45,3,47.07,One year,0
CUST1180154,58,Male,West,Basic,52,1610.26,1,143.43,Month-to-month,1
CUST1180155,49,Male,North,Basic,6,2008.93,3,87.22,One year,1
CUST1180156,54,Male,Central,Basic,36,3166.63,5,109.7,One year,1
CUST1180157,25,Female,North,Basic,39,1447.88,2,79.39,One year,0
CUST1180158,23,Male,Central,Basic,59,1976.61,3,107.25,Month-to-month,0
CUST1180159,36,Other,East,Standard,41,2186.93,5,104.46,One year,0
CUST1180160,29,Female,South,Basic,36,3102.0,2,163.39,Two year,1
CUST1180161,30,Female,North,Basic,45,2720.0,1,90.34,Month-to-month,0
CUST1180162,54,Female,North,Standard,27,1799.94,5,181.69,One year,0
CUST1180163,25,Female,North,Basic,2,1059.02,1,66.09,One year,1
CUST1180164,54,Female,South,Basic,37,3334.17,1,129.35,Two year,0
CUST1180165,56,Female,West,Standard,1,2274.08,2,118.71,One year,0
CUST1180166,56,Male,West,Premium,20,2622.87,2,95.35,Month-to-month,0
CUST1180167,62,Male,South,Standard,46,2690.23,3,86.85,One year,1
CUST1180168,51,Male,West,Enterprise,20,3812.5,6,178.14,Two year,0
CUST1180169,47,Other,North,Basic,7,3098.79,3,105.79,Month-to-month,1
CUST1180170,23,Male,East,Standard,10,2033.25,2,100.15,Two year,1
CUST1180171,35,Male,South,Standard,30,1237.87,2,186.91,Month-to-month,1
CUST1180172,61,Male,Central,Standard,12,1367.82,1,144.93,Two year,0
CUST1180173,56,Female,East,Basic,22,1911.82,2,153.73,Month-to-month,1
CUST1180174,49,Male,East,Standard,45,1470.8,2,157.97,One year,0
CUST1180175,61,Female,Central,Standard,24,2718.77,2,142.01,Two year,0
CUST1180176,48,Male,West,Standard,46,2916.02,2,125.6,One year,1
CUST1180177,26,Female,Central,Enterprise,71,3464.04,2,120.19,Two year,0
CUST1180178,53,Female,North,Basic,57,3364.44,3,65.71,One year,0
CUST1180179,55,Other,West,Standard,31,3173.88,5,68.96,Month-to-month,0
CUST1180180,37,Female,West,Premium,45,2767.14,2,101.99,Month-to-month,0
CUST1180181,65,Female,North,Premium,55,1539.53,0,83.41,Month-to-month,0
CUST1180182,42,Female,East,Premium,16,2722.0,2,136.71,One year,0
CUST1180183,52,Female,South,Premium,56,1380.9,0,201.74,Month-to-month,0
CUST1180184,30,Female,East,Premium,3,2450.04,1,131.2,Month-to-month,1
CUST1180185,47,Female,Central,Standard,31,3406.32,1,111.6,One year,1
CUST1180186,54,Female,North,Premium,37,2205.86,1,94.35,One year,0
CUST1180187,63,Male,North,Standard,58,3534.07,6,192.4,Month-to-month,1
CUST1180188,31,Female,Central,Premium,27,1791.59,2,109.88,Month-to-month,0
CUST1180189,36,Female,North,Standard,18,3587.31,0,147.07,Month-to-month,0
CUST1180190,50,Female,East,Enterprise,29,2942.0,3,72.4,One year,0
CUST1180191,53,Male,West,Standard,30,3569.29,1,85.67,One year,1
CUST1180192,26,Female,Central,Enterprise,12,2434.67,2,117.79,Month-to-month,0
CUST1180193,34,Male,West,Premium,27,3244.04,1,100.01,Two year,0
CUST1180194,48,Female,East,Basic,40,4466.95,3,113.69,Two year,1
CUST1180195,23,Male,Central,Standard,39,3815.21,3,69.73,Two year,1
CUST1180196,30,Female,North,Premium,49,3118.6,1,16.81,Month-to-month,0
CUST1180197,36,Female,South,Premium,32,2996.4,1,112.75,Month-to-month,0
CUST1180198,42,Female,Central,Premium,14,3732.53,1,116.62,One year,0
CUST1180199,50,Female,Central,Basic,2,1995.25,4,169.39,One year,1
CUST1180200,56,Male,North,Standard,42,2354.89,1,126.53,One year,0
CUST1180201,21,Male,North,Basic,24,2191.52,0,71.49,Month-to-month,1
CUST1180202,42,Female,Central,Standard,42,2872.82,2,92.53,Two year,0
CUST1180203,26,Female,West,Premium,61,2556.59,0,112.85,Month-to-month,1
CUST1180204,29,Female,Central,Basic,58,3329.54,1,153.9,Month-to-month,0
CUST1180205,35,Female,South,Premium,59,1734.71,1,177.43,Month-to-month,0
CUST1180206,34,Female,West,Basic,67,1170.53,2,74.85,Month-to-month,1
CUST1180207,40,Female,West,Basic,13,500.0,2,91.46,Two year,0
CUST1180208,50,Male,North,Premium,56,2353.69,2,92.69,Month-to-month,0
CUST1180209,57,Male,West,Basic,57,3046.81,1,70.99,One year,0
CUST1180210,32,Female,East,Standard,69,2940.65,4,89.95,Month-to-month,0
CUST1180211,58,Male,South,Basic,71,3588.79,1,57.37,Month-to-month,1
CUST1180212,38,Female,South,Enterprise,11,3332.03,3,71.16,Month-to-month,1
CUST1180213,31,Male,North,Basic,17,2221.19,3,79.88,Month-to-month,1
CUST1180214,33,Female,North,Basic,47,1783.78,3,85.21,Month-to-month,0
CUST1180215,63,Male,East,Basic,51,2877.57,0,59.28,One year,1
CUST1180216,41,Female,Central,Basic,34,2746.71,3,82.08,One year,0
CUST1180217,43,Other,South,Enterprise,31,1451.53,2,20.04,Month-to-month,0
CUST1180218,27,Male,West,Basic,2,897.06,1,68.51,Two year,1
CUST1180219,30,Female,North,Premium,50,4083.3,0,139.73,Month-to-month,0
CUST1180220,30,Male,North,Basic,36,2478.81,0,51.89,One year,0
CUST1180221,21,Female,South,Premium,63,1995.63,1,139.89,Month-to-month,1
CUST1180222,43,Male,South,Basic,3,2612.21,4,255.11,Month-to-month,1
CUST1180223,22,Male,North,Enterprise,22,1703.51,2,104.62,Two year,0
CUST1180224,24,Female,South,Standard,35,3637.59,2,45.74,One year,1
CUST1180225,29,Male,Central,Basic,57,2267.92,2,241.8,Month-to-month,0
CUST1180226,52,Female,West,Standard,33,2479.84,0,145.01,One year,0
CUST1180227,26,Female,South,Standard,41,1835.67,4,135.01,Month-to-month,1
CUST1180228,36,Male,Central,Standard,22,2421.68,4,35.83,One year,0
CUST1180229,36,Female,North,Enterprise,21,3974.86,1,131.15,Month-to-month,0
CUST1180230,53,Female,East,Standard,37,3658.62,0,114.81,One year,0
CUST1180231,23,Female,East,Basic,23,781.98,2,174.82,Month-to-month,0
CUST1180232,46,Female,South,Basic,44,1669.6,3,95.72,Month-to-month,1
CUST1180233,42,Female,West,Basic,9,1883.85,2,176.73,One year,1
CUST1180234,45,Male,Central,Enterprise,39,1608.79,2,117.73,Month-to-month,1
CUST1180235,26,Female,Central,Premium,11,2363.83,2,219.74,Two year,0
CUST1180236,42,Male,South,Standard,71,1718.6,2,142.03,Month-to-month,0
CUST1180237,30,Male,North,Basic,8,2737.17,3,127.7,One year,1
CUST1180238,65,Male,West,Basic,37,3840.64,1,21.74,Two year,0
CUST1180239,42,Female,East,Enterprise,58,3353.98,0,103.02,One year,0
CUST1180240,27,Female,North,Basic,2,2952.54,3,82.09,One year,1
CUST1180241,49,Male,South,Basic,21,3160.11,2,96.38,Month-to-month,1
CUST1180242,35,Male,North,Standard,8,2027.58,3,116.09,One year,1
CUST1180243,47,Female,East,Standard,12,2435.03,1,177.92,Month-to-month,0
CUST1180244,64,Female,West,Premium,58,2084.7,3,209.27,Month-to-month,1
CUST1180245,40,Female,West,Premium,25,1841.67,2,49.39,One year,0
CUST1180246,21,Female,North,Premium,5,3265.02,4,166.17,Month-to-month,0
CUST1180247,42,Female,West,Premium,11,1406.19,2,136.25,Month-to-month,1
CUST1180248,64,Male,West,Basic,14,4546.9,1,110.98,One year,0
CUST1180249,31,Female,West,Basic,48,2449.92,2,121.05,Month-to-month,0
CUST1180250,46,Female,Central,Basic,35,3472.5,0,61.51,One year,0
CUST1180251,27,Male,West,Premium,62,2919.38,2,101.33,Month-to-month,0
CUST1180252,48,Other,West,Enterprise,62,2804.51,1,82.48,One year,0
CUST1180253,50,Female,West,Premium,52,2088.12,3,129.39,Month-to-month,0
CUST1180254,65,Male,North,Standard,71,2368.77,4,91.63,One year,1
CUST1180255,31,Female,South,Standard,44,1216.22,2,117.34,Month-to-month,0
CUST1180256,60,Female,East,Basic,51,2593.7,1,130.68,Two year,1
CUST1180257,24,Male,South,Enterprise,37,3371.89,1,148.41,Two year,0
CUST1180258,61,Male,South,Standard,36,3909.39,3,132.89,One year,0
CUST1180259,26,Female,Central,Enterprise,5,1439.93,1,119.38,Month-to-month,1
