customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11180001,63,Male,Central,Basic,48,2412.44,1,203.9,One year,0
CUST11180002,38,Female,Central,Standard,67,1323.42,1,115.13,One year,0
CUST11180003,65,Female,East,Standard,6,1353.23,4,121.89,One year,0
CUST11180004,59,Male,East,Standard,61,3277.85,3,106.9,One year,1
CUST11180005,39,Male,North,Standard,11,1165.68,4,87.4,One year,1
CUST11180006,21,Male,East,Premium,64,3630.07,6,133.67,Month-to-month,1
CUST11180007,47,Male,East,Basic,36,2397.38,2,158.57,Month-to-month,1
CUST11180008,21,Female,East,Premium,24,2471.96,2,118.48,One year,0
CUST11180009,21,Female,West,Standard,47,3683.0,3,185.38,Month-to-month,0
CUST11180010,26,Female,Central,Standard,1,1844.44,1,131.85,Month-to-month,1
CUST11180011,63,Female,Central,Basic,47,2602.89,1,131.97,Month-to-month,1
CUST11180012,47,Female,South,Enterprise,53,4648.03,0,109.35,One year,0
CUST11180013,27,Female,West,Basic,21,1402.33,2,91.61,Month-to-month,0
CUST11180014,51,Female,Central,Basic,66,4604.41,2,64.57,Month-to-month,1
CUST11180015,56,Male,West,Standard,5,4056.22,4,143.83,Month-to-month,1
CUST11180016,23,Male,West,Basic,72,1855.56,6,67.53,Month-to-month,1
CUST11180017,33,Male,East,Enterprise,63,2948.29,5,96.45,One year,0
CUST11180018,53,Male,Central,Standard,42,2503.05,1,125.85,Two year,0
CUST11180019,38,Other,West,Premium,53,3562.91,3,47.05,Month-to-month,0
CUST11180020,35,Female,South,Standard,7,3730.96,2,111.78,Two year,0
CUST11180021,24,Female,North,Standard,21,1809.91,5,101.39,Month-to-month,1
CUST11180022,26,Female,West,Standard,14,3141.9,2,104.15,Month-to-month,1
CUST11180023,34,Male,South,Standard,6,1960.64,3,66.87,Month-to-month,1
CUST11180024,31,Other,South,Standard,4,4069.34,2,147.77,Month-to-month,1
CUST11180025,21,Male,West,Standard,60,2096.43,4,140.85,Month-to-month,1
CUST11180026,46,Male,Central,Basic,47,2792.05,1,105.28,Month-to-month,0
CUST11180027,56,Male,Central,Enterprise,18,3851.97,2,110.22,Month-to-month,0
CUST11180028,25,Male,West,Standard,35,3280.12,4,129.2,Month-to-month,0
CUST11180029,48,Female,South,Basic,56,2040.45,0,193.32,One year,0
CUST11180030,58,Female,West,Standard,44,1502.45,7,57.8,Month-to-month,1
CUST11180031,46,Female,North,Premium,4,2170.79,3,88.38,One year,0
CUST11180032,22,Male,West,Standard,64,2765.91,1,125.01,Month-to-month,0
CUST11180033,65,Female,West,Premium,28,3883.99,2,109.89,One year,1
CUST11180034,25,Male,North,Basic,16,4653.96,4,137.63,Month-to-month,1
CUST11180035,58,Other,North,Standard,26,3023.04,3,149.63,One year,1
CUST11180036,32,Male,North,Premium,16,2199.94,3,76.25,Month-to-month,0
CUST11180037,23,Female,East,Basic,5,4537.0,3,165.61,Month-to-month,1
CUST11180038,45,Male,South,Premium,53,4151.62,5,241.09,Month-to-month,0
CUST11180039,53,Female,East,Basic,1,3359.32,1,62.35,Month-to-month,0
CUST11180040,36,Male,North,Basic,71,3130.19,4,95.92,One year,1
CUST11180041,31,Female,North,Enterprise,32,2502.75,3,163.66,Month-to-month,0
CUST11180042,23,Male,Central,Basic,22,5201.48,0,79.98,One year,1
CUST11180043,43,Male,South,Enterprise,29,4040.11,4,112.37,Month-to-month,1
CUST11180044,40,Female,South,Basic,28,3240.44,2,78.33,Month-to-month,1
CUST11180045,45,Male,East,Basic,71,2537.37,5,62.83,One year,1
CUST11180046,43,Female,South,Premium,55,2097.02,3,88.7,Month-to-month,0
CUST11180047,23,Female,East,Basic,47,2868.48,1,149.8,Month-to-month,1
CUST11180048,23,Female,Central,Basic,28,3353.72,2,120.72,Month-to-month,0
CUST11180049,33,Other,East,Standard,43,5082.31,2,43.1,Month-to-month,1
CUST11180050,37,Female,South,Premium,20,3572.72,0,108.16,Month-to-month,0
CUST11180051,47,Male,West,Premium,57,2285.83,3,73.9,One year,1
CUST11180052,65,Male,South,Standard,33,2445.72,3,113.67,One year,0
CUST11180053,22,Female,North,Standard,3,2424.81,5,95.6,Month-to-month,1
CUST11180054,64,Female,South,Basic,61,2288.13,6,71.63,Month-to-month,1
CUST11180055,35,Male,Central,Standard,64,5254.47,3,105.98,Month-to-month,1
CUST11180056,25,Male,North,Enterprise,51,3138.45,4,155.84,Month-to-month,0
CUST11180057,43,Male,South,Enterprise,67,2525.49,1,245.23,Month-to-month,0
CUST11180058,42,Male,Central,Basic,1,3622.08,5,43.48,Month-to-month,0
CUST11180059,22,Male,East,Basic,8,2292.37,1,151.19,Month-to-month,0
CUST11180060,65,Male,Central,Standard,28,3364.46,3,166.66,One year,0
CUST11180061,34,Female,West,Enterprise,30,2038.21,4,122.14,One year,0
