customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1190001,40,Male,North,Premium,7,1243.27,4,161.29,One year,1
CUST1190002,64,Male,West,Standard,22,2733.67,2,176.28,Month-to-month,0
CUST1190003,47,Male,East,Basic,33,2188.43,2,44.81,Two year,1
CUST1190004,53,Female,Central,Standard,39,1817.18,2,166.02,Month-to-month,0
CUST1190005,50,Male,Central,Premium,69,3036.55,3,99.66,Month-to-month,1
CUST1190006,57,Male,West,Standard,9,3607.53,0,196.5,Month-to-month,0
CUST1190007,46,Female,East,Basic,16,1435.94,0,153.45,Two year,0
CUST1190008,27,Male,North,Basic,26,2725.97,4,70.25,Month-to-month,1
CUST1190009,34,Female,North,Basic,35,3716.84,1,198.4,One year,1
CUST1190010,55,Male,East,Basic,51,1590.65,1,54.54,Two year,0
CUST1190011,31,Male,West,Standard,39,3724.72,5,174.42,Month-to-month,1
CUST1190012,22,Male,North,Premium,36,3452.59,0,116.39,Month-to-month,1
CUST1190013,56,Female,East,Basic,49,3202.26,2,118.87,One year,0
CUST1190014,46,Male,South,Premium,6,2705.03,1,124.29,Month-to-month,1
CUST1190015,29,Female,North,Enterprise,11,2268.92,4,67.18,Month-to-month,0
CUST1190016,21,Female,North,Standard,59,3180.24,3,65.55,One year,0
CUST1190017,49,Female,East,Premium,14,2682.75,1,139.05,One year,0
CUST1190018,46,Female,West,Standard,47,2695.6,3,36.66,One year,0
CUST1190019,65,Male,North,Standard,68,2957.5,3,128.96,Month-to-month,0
CUST1190020,64,Male,West,Premium,20,1334.23,2,157.12,One year,0
CUST1190021,22,Female,East,Basic,34,2693.07,2,72.43,Month-to-month,1
CUST1190022,27,Male,Central,Premium,45,1459.26,1,139.12,One year,0
CUST1190023,38,Female,South,Premium,47,2751.01,5,117.92,Month-to-month,1
CUST1190024,60,Female,East,Basic,18,2062.18,5,178.16,Month-to-month,1
CUST1190025,49,Female,South,Standard,63,3379.79,2,119.88,Month-to-month,0
CUST1190026,29,Female,East,Basic,30,760.09,1,89.35,Month-to-month,0
CUST1190027,42,Male,South,Standard,22,2529.43,3,79.42,One year,0
CUST1190028,51,Male,East,Standard,14,2832.79,3,55.22,One year,0
CUST1190029,51,Female,North,Basic,12,3112.82,4,163.76,One year,1
CUST1190030,48,Male,North,Standard,27,2347.9,1,173.35,Month-to-month,1
CUST1190031,39,Female,North,Premium,15,1316.34,2,169.89,One year,0
CUST1190032,37,Other,North,Premium,27,2511.82,0,55.09,Month-to-month,1
CUST1190033,39,Female,South,Basic,22,2401.58,3,191.96,One year,1
CUST1190034,26,Male,North,Premium,2,1938.76,2,76.5,Two year,1
CUST1190035,31,Female,Central,Standard,11,1566.4,2,95.73,Month-to-month,1
CUST1190036,29,Male,North,Basic,37,4462.19,3,95.1,Month-to-month,0
CUST1190037,22,Other,North,Standard,8,3402.33,3,227.94,Month-to-month,0
CUST1190038,31,Male,West,Standard,46,3013.63,0,55.94,One year,0
CUST1190039,50,Female,East,Standard,13,1782.43,0,127.88,Two year,0
CUST1190040,64,Male,South,Enterprise,57,2964.99,0,39.59,Month-to-month,0
CUST1190041,55,Male,West,Standard,38,3196.61,2,178.17,One year,1
CUST1190042,44,Female,Central,Standard,55,1764.59,2,20.7,One year,1
CUST1190043,36,Female,Central,Basic,5,1645.7,1,151.68,Two year,0
CUST1190044,24,Male,South,Standard,56,1233.49,0,87.9,One year,0
CUST1190045,25,Male,North,Basic,39,2036.89,1,109.12,One year,1
CUST1190046,50,Female,South,Standard,62,2608.98,2,103.33,One year,1
CUST1190047,24,Male,North,Standard,19,3130.17,5,78.87,One year,1
CUST1190048,22,Female,South,Basic,13,3370.32,2,61.58,Month-to-month,0
CUST1190049,56,Male,South,Standard,39,1841.85,0,122.51,Month-to-month,0
CUST1190050,65,Female,West,Premium,15,2626.06,2,81.09,Month-to-month,1
CUST1190051,26,Male,West,Basic,20,2413.23,1,115.14,One year,1
CUST1190052,53,Male,East,Basic,33,3489.78,1,48.61,One year,0
CUST1190053,65,Male,North,Basic,18,4465.2,4,117.52,One year,0
CUST1190054,52,Female,East,Standard,17,1437.21,2,22.19,Month-to-month,1
CUST1190055,49,Female,South,Premium,36,1373.39,2,130.88,Month-to-month,1
CUST1190056,40,Female,West,Standard,64,2110.33,3,104.2,Two year,0
CUST1190057,62,Female,West,Basic,22,2816.1,1,154.8,One year,0
CUST1190058,64,Male,North,Standard,18,2419.34,1,59.03,Month-to-month,1
CUST1190059,46,Male,East,Enterprise,11,2572.74,1,73.31,Two year,1
CUST1190060,58,Female,North,Premium,15,1814.43,4,140.41,Month-to-month,1
CUST1190061,27,Female,North,Premium,22,3011.31,7,81.78,One year,1
CUST1190062,26,Female,North,Premium,60,2488.26,4,54.72,Month-to-month,0
CUST1190063,50,Male,North,Standard,13,4459.25,4,135.85,Month-to-month,0
CUST1190064,31,Male,North,Standard,30,2267.53,2,131.64,Two year,0
CUST1190065,46,Male,East,Basic,40,2377.31,2,108.32,One year,0
CUST1190066,48,Male,Central,Basic,57,3697.37,6,135.53,Two year,0
CUST1190067,30,Male,South,Premium,35,1809.16,2,91.93,Month-to-month,1
CUST1190068,48,Female,West,Standard,72,3733.39,3,75.62,Month-to-month,1
CUST1190069,33,Male,East,Premium,52,3065.19,2,70.26,Month-to-month,1
CUST1190070,23,Other,West,Standard,20,2253.34,3,84.18,One year,0
CUST1190071,28,Female,Central,Standard,57,3852.39,2,118.54,Month-to-month,0
CUST1190072,61,Female,East,Enterprise,46,2094.89,5,125.9,Month-to-month,0
CUST1190073,21,Female,East,Standard,2,2944.13,2,93.67,Month-to-month,1
CUST1190074,63,Male,North,Basic,26,2561.58,4,142.65,One year,0
CUST1190075,48,Female,West,Standard,16,3025.84,2,245.48,Two year,1
CUST1190076,44,Female,Central,Enterprise,34,2323.66,1,32.96,One year,0
CUST1190077,36,Male,South,Basic,42,3135.7,3,94.59,Month-to-month,0
CUST1190078,48,Male,South,Enterprise,53,2314.67,1,125.49,Month-to-month,1
CUST1190079,55,Female,Central,Premium,70,1986.56,5,99.3,Month-to-month,0
CUST1190080,47,Male,North,Basic,61,2014.07,3,122.93,One year,1
CUST1190081,64,Female,East,Standard,66,2156.88,3,102.17,Month-to-month,0
CUST1190082,36,Female,Central,Standard,8,2528.26,5,154.09,Month-to-month,1
CUST1190083,57,Female,North,Basic,35,2544.22,4,121.79,One year,1
CUST1190084,47,Female,East,Basic,70,3914.28,2,262.02,One year,0
CUST1190085,28,Male,South,Basic,37,2894.59,1,148.87,One year,0
CUST1190086,30,Male,West,Premium,5,1055.66,3,250.72,Month-to-month,1
CUST1190087,62,Female,North,Standard,62,3216.28,0,75.41,One year,0
CUST1190088,34,Male,North,Premium,47,3545.97,3,108.72,Month-to-month,1
CUST1190089,42,Female,West,Enterprise,63,2537.39,2,26.25,Month-to-month,1
CUST1190090,43,Male,South,Enterprise,2,2870.94,1,122.75,One year,0
CUST1190091,42,Female,Central,Standard,67,2852.87,1,54.99,One year,1
CUST1190092,27,Female,Central,Standard,41,2269.9,1,90.77,Two year,0
CUST1190093,40,Female,Central,Standard,45,1219.2,2,164.27,Month-to-month,1
CUST1190094,55,Female,South,Standard,60,1288.25,2,67.75,Month-to-month,0
CUST1190095,22,Female,East,Standard,48,919.14,2,45.52,Month-to-month,0
CUST1190096,24,Male,Central,Premium,6,1957.7,1,230.14,Month-to-month,1
CUST1190097,44,Male,East,Standard,61,3082.43,1,38.91,One year,0
CUST1190098,44,Male,South,Premium,11,2196.41,2,136.55,Month-to-month,0
CUST1190099,64,Other,Central,Basic,61,3320.49,3,71.68,One year,0
CUST1190100,26,Female,North,Basic,48,2260.46,2,156.6,Month-to-month,0
CUST1190101,53,Male,East,Basic,47,1684.43,3,148.56,Two year,0
CUST1190102,43,Female,East,Premium,51,2963.04,1,73.91,Month-to-month,1
CUST1190103,61,Female,South,Standard,53,1838.96,2,213.92,Month-to-month,1
CUST1190104,27,Female,East,Premium,34,3683.11,3,49.29,One year,0
CUST1190105,22,Female,West,Premium,15,4092.57,1,135.4,One year,1
CUST1190106,60,Female,West,Basic,50,2533.66,4,90.86,Two year,0
CUST1190107,29,Male,West,Premium,23,2740.35,0,113.31,One year,1
CUST1190108,24,Female,West,Basic,11,2061.56,3,89.24,Month-to-month,1
CUST1190109,63,Male,South,Standard,42,3973.01,1,54.67,One year,0
CUST1190110,25,Female,East,Enterprise,10,2671.29,1,161.88,One year,0
CUST1190111,62,Male,East,Basic,15,2820.46,1,44.87,Month-to-month,0
CUST1190112,55,Female,North,Basic,5,2073.86,3,151.82,Two year,1
CUST1190113,47,Male,West,Basic,22,1341.47,0,146.55,Two year,1
