customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST11190001,59,Female,Central,Basic,35,4652.08,2,140.34,One year,1
CUST11190002,53,Male,Central,Standard,51,3806.54,0,110.69,Month-to-month,0
CUST11190003,23,Male,West,Premium,51,3846.68,2,195.76,Month-to-month,1
CUST11190004,55,Female,North,Standard,60,2917.62,2,105.49,One year,0
CUST11190005,43,Female,North,Standard,58,2693.99,4,124.15,Month-to-month,0
CUST11190006,61,Female,South,Basic,13,1170.91,5,78.93,Month-to-month,1
CUST11190007,33,Female,South,Standard,16,2651.6,2,120.89,Month-to-month,1
CUST11190008,25,Female,South,Basic,31,2910.02,4,198.77,Month-to-month,0
CUST11190009,43,Female,Central,Basic,14,2090.43,2,54.68,One year,1
CUST11190010,62,Male,East,Basic,17,2020.78,6,139.46,Month-to-month,1
CUST11190011,65,Male,Central,Basic,46,3017.83,0,78.24,Month-to-month,0
CUST11190012,35,Male,North,Premium,39,3893.96,0,62.01,Month-to-month,0
CUST11190013,46,Male,South,Basic,3,3646.7,4,43.22,One year,1
CUST11190014,62,Male,West,Standard,14,3744.84,3,108.59,Month-to-month,0
CUST11190015,40,Male,West,Basic,71,2432.78,4,150.46,Two year,0
CUST11190016,63,Female,West,Standard,49,4017.7,1,128.79,One year,0
CUST11190017,28,Male,South,Basic,35,2153.7,7,180.89,Month-to-month,1
CUST11190018,44,Female,Central,Premium,59,2620.79,1,154.3,Month-to-month,0
CUST11190019,53,Male,North,Standard,20,2951.52,5,102.17,Month-to-month,0
CUST11190020,24,Female,East,Standard,47,2037.81,3,238.3,Month-to-month,1
CUST11190021,30,Male,North,Basic,54,4155.25,5,55.0,Two year,1
CUST11190022,25,Male,East,Enterprise,50,2547.16,3,143.73,One year,0
CUST11190023,37,Male,South,Basic,44,2882.64,5,180.72,Month-to-month,1
CUST11190024,61,Male,North,Basic,65,2059.28,3,164.68,Month-to-month,0
CUST11190025,41,Male,Central,Basic,42,2486.8,2,44.83,Month-to-month,1
CUST11190026,64,Male,East,Standard,8,1691.38,6,60.85,Month-to-month,1
CUST11190027,55,Male,South,Basic,46,2839.11,3,106.22,Month-to-month,1
CUST11190028,43,Female,North,Standard,35,3308.43,2,95.46,One year,0
CUST11190029,47,Female,West,Standard,8,2149.96,4,162.53,Month-to-month,0
CUST11190030,23,Female,South,Premium,34,3978.47,3,123.69,Month-to-month,1
CUST11190031,53,Male,Central,Premium,12,2825.9,6,91.85,One year,1
CUST11190032,27,Female,Central,Basic,7,2648.83,4,156.69,One year,0
CUST11190033,58,Male,East,Enterprise,47,2868.1,2,85.92,One year,0
CUST11190034,43,Female,South,Enterprise,3,4304.95,6,110.09,Month-to-month,1
CUST11190035,65,Male,East,Standard,52,2292.3,1,143.24,Month-to-month,0
CUST11190036,46,Female,South,Basic,44,1877.46,3,133.3,Month-to-month,1
CUST11190037,31,Female,South,Standard,49,2126.07,4,105.59,One year,0
CUST11190038,50,Female,Central,Basic,15,3033.59,4,293.96,Month-to-month,1
CUST11190039,42,Female,North,Enterprise,38,3933.97,1,122.51,Month-to-month,0
CUST11190040,32,Male,Central,Premium,52,2472.23,2,96.1,Month-to-month,0
CUST11190041,33,Female,East,Standard,50,3066.37,1,145.52,One year,0
CUST11190042,47,Male,Central,Standard,52,2657.37,2,97.96,Month-to-month,1
CUST11190043,54,Male,West,Standard,15,2784.01,4,65.71,Month-to-month,1
CUST11190044,31,Male,Central,Enterprise,13,925.71,2,93.26,Month-to-month,0
CUST11190045,32,Female,South,Standard,52,2237.68,3,147.35,Month-to-month,1
CUST11190046,61,Male,East,Standard,55,4071.26,2,107.48,Month-to-month,1
CUST11190047,52,Male,Central,Basic,8,4152.44,2,98.73,Month-to-month,0
CUST11190048,30,Male,North,Standard,38,3081.0,2,134.8,One year,0
CUST11190049,35,Female,East,Enterprise,71,1324.61,0,38.02,One year,0
CUST11190050,40,Male,East,Enterprise,38,2761.25,5,72.24,Two year,0
CUST11190051,52,Male,South,Premium,30,2933.39,0,125.11,Two year,0
CUST11190052,38,Female,West,Standard,16,1897.23,2,78.76,Two year,0
CUST11190053,47,Female,South,Basic,46,3282.37,1,172.62,Month-to-month,0
CUST11190054,65,Male,South,Basic,49,3051.25,3,143.03,Month-to-month,1
CUST11190055,43,Male,West,Enterprise,34,2594.43,5,116.88,Month-to-month,1
CUST11190056,39,Female,West,Standard,5,3251.91,2,34.07,One year,0
CUST11190057,40,Male,South,Premium,20,1810.55,3,73.12,Month-to-month,1
CUST11190058,44,Female,North,Basic,50,4214.65,4,145.7,One year,0
CUST11190059,21,Female,South,Standard,58,1996.32,3,111.53,Two year,0
