customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1010001,34,Male,North,Enterprise,49,1895.61,7,150.21,Two year,0
CUST1010002,63,Male,South,Premium,59,3247.5,4,79.69,Month-to-month,1
CUST1010003,52,Male,West,Basic,13,2475.8,3,44.68,Month-to-month,1
CUST1010004,37,Female,East,Premium,47,1315.07,1,107.81,Two year,0
CUST1010005,27,Male,North,Basic,66,2877.79,2,77.03,Month-to-month,1
CUST1010006,56,Male,Central,Enterprise,36,2932.48,3,160.57,Month-to-month,1
CUST1010007,38,Female,East,Premium,34,3610.19,4,71.88,Month-to-month,1
CUST1010008,47,Male,West,Standard,65,4004.33,2,87.35,Month-to-month,0
CUST1010009,48,Male,Central,Basic,39,2535.19,1,193.1,Month-to-month,1
CUST1010010,34,Female,North,Standard,46,3721.15,1,99.62,Month-to-month,0
CUST1010011,37,Male,East,Standard,65,2794.36,3,121.19,Month-to-month,1
CUST1010012,62,Male,South,Enterprise,71,3070.34,3,113.64,One year,0
CUST1010013,55,Male,North,Basic,67,2168.2,1,75.63,Month-to-month,1
CUST1010014,60,Male,North,Basic,48,2544.53,4,173.99,One year,0
CUST1010015,27,Male,West,Premium,34,2263.12,1,116.64,Month-to-month,0
CUST1010016,37,Female,Central,Enterprise,5,836.85,2,94.41,One year,1
CUST1010017,24,Female,North,Enterprise,13,2302.64,4,120.13,Month-to-month,0
CUST1010018,64,Male,North,Basic,52,1248.77,2,35.37,Month-to-month,0
CUST1010019,50,Female,North,Premium,59,2797.71,4,100.33,Month-to-month,0
CUST1010020,31,Male,East,Basic,33,500.0,1,99.2,One year,1
CUST1010021,57,Male,East,Basic,7,2679.77,2,150.88,Month-to-month,1
CUST1010022,57,Male,East,Standard,60,1085.05,2,159.78,Month-to-month,1
CUST1010023,35,Male,North,Standard,17,1780.18,3,56.28,One year,0
CUST1010024,51,Male,East,Standard,63,2318.99,7,38.41,One year,1
CUST1010025,25,Female,East,Standard,31,2862.46,5,35.76,Two year,0
CUST1010026,42,Female,Central,Basic,39,1657.42,2,125.22,Month-to-month,0
CUST1010027,45,Male,West,Basic,33,2447.85,0,57.48,One year,0
CUST1010028,22,Female,North,Basic,49,3402.88,1,68.53,One year,1
CUST1010029,55,Female,West,Premium,68,2447.89,1,142.22,Month-to-month,0
CUST1010030,61,Other,North,Basic,47,2983.95,2,153.99,Month-to-month,1
CUST1010031,52,Female,South,Basic,46,2502.33,4,119.05,Two year,1
CUST1010032,46,Female,South,Basic,27,3543.13,2,146.73,Month-to-month,0
CUST1010033,65,Male,Central,Premium,30,3234.13,2,87.57,One year,0
CUST1010034,38,Male,East,Standard,68,3602.88,0,73.49,Month-to-month,0
CUST1010035,39,Male,South,Basic,29,2479.95,1,68.97,Month-to-month,0
CUST1010036,36,Male,Central,Basic,3,2367.02,4,93.95,Month-to-month,1
CUST1010037,41,Female,West,Basic,21,500.0,2,93.09,Month-to-month,1
CUST1010038,50,Male,West,Basic,5,1570.26,1,135.72,Two year,0
CUST1010039,43,Female,Central,Standard,17,1627.32,1,85.16,One year,0
CUST1010040,36,Male,East,Enterprise,43,3313.57,1,93.85,One year,0
CUST1010041,48,Male,North,Enterprise,37,2147.95,4,173.48,Month-to-month,0
CUST1010042,43,Male,South,Enterprise,34,1638.21,2,88.64,One year,1
CUST1010043,23,Female,North,Basic,52,2300.41,6,82.92,Month-to-month,1
CUST1010044,37,Female,Central,Premium,24,1903.39,2,117.34,Month-to-month,0
CUST1010045,36,Male,South,Standard,32,1569.65,2,81.15,Month-to-month,1
CUST1010046,23,Male,West,Standard,63,1448.18,2,121.55,Month-to-month,0
CUST1010047,22,Female,South,Basic,24,3339.14,3,232.8,Two year,1
CUST1010048,32,Male,West,Premium,51,3795.53,0,84.73,One year,0
CUST1010049,32,Female,South,Standard,5,2416.53,5,49.82,One year,0
CUST1010050,58,Male,Central,Premium,66,2776.48,2,66.71,Month-to-month,0
CUST1010051,61,Female,Central,Basic,22,3260.92,1,138.41,One year,0
CUST1010052,57,Female,North,Standard,67,2149.81,3,92.42,Month-to-month,1
CUST1010053,42,Male,South,Premium,48,2785.66,1,53.36,Month-to-month,0
CUST1010054,51,Male,Central,Basic,56,1424.14,1,131.36,Two year,0
CUST1010055,51,Male,North,Basic,48,804.93,1,122.24,One year,0
CUST1010056,42,Male,Central,Basic,15,1832.14,1,172.16,Month-to-month,0
CUST1010057,39,Female,South,Premium,4,3440.59,2,182.51,Month-to-month,0
CUST1010058,64,Female,East,Enterprise,37,2401.22,2,58.37,Month-to-month,0
CUST1010059,41,Female,South,Standard,45,1407.93,4,98.37,Two year,1
CUST1010060,58,Male,North,Standard,49,2858.42,1,71.72,Month-to-month,1
CUST1010061,38,Female,North,Basic,21,3542.05,2,107.67,One year,0
CUST1010062,32,Female,North,Basic,57,1725.13,0,90.04,Month-to-month,0
CUST1010063,59,Female,South,Basic,60,3028.35,5,28.47,One year,0
CUST1010064,46,Male,Central,Standard,34,4371.66,4,100.83,One year,0
CUST1010065,47,Male,South,Basic,72,2222.33,2,104.31,Two year,0
CUST1010066,64,Male,North,Standard,9,2639.52,3,102.4,Month-to-month,1
CUST1010067,25,Female,Central,Standard,34,1914.1,4,200.69,Two year,1
CUST1010068,56,Male,West,Premium,9,1302.79,6,93.63,One year,1
CUST1010069,30,Female,North,Basic,48,1367.79,2,77.39,Two year,0
CUST1010070,37,Female,West,Basic,35,3349.19,4,101.09,Two year,1
CUST1010071,58,Male,South,Basic,28,2952.67,2,172.19,One year,0
CUST1010072,42,Male,East,Premium,64,2367.63,2,118.47,Two year,0
CUST1010073,29,Male,East,Standard,41,4245.62,3,93.88,Month-to-month,0
CUST1010074,44,Male,South,Premium,66,2255.77,0,138.59,One year,0
CUST1010075,55,Female,East,Standard,69,2676.04,1,95.9,Month-to-month,0
CUST1010076,61,Male,North,Basic,38,3231.97,1,71.05,Month-to-month,0
CUST1010077,25,Other,Central,Standard,34,2017.96,1,109.13,One year,0
CUST1010078,53,Male,South,Basic,43,1710.1,1,57.69,One year,1
