customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1040001,52,Female,South,Enterprise,13,880.49,0,67.62,One year,0
CUST1040002,58,Female,Central,Basic,7,3305.31,2,102.13,Month-to-month,1
CUST1040003,36,Male,West,Basic,43,2701.59,2,61.17,Two year,0
CUST1040004,52,Female,South,Premium,70,2307.73,2,115.51,One year,0
CUST1040005,32,Female,East,Standard,67,2339.58,6,163.87,Month-to-month,1
CUST1040006,30,Female,North,Basic,41,1494.95,3,44.81,One year,0
CUST1040007,29,Female,South,Premium,70,2573.0,0,117.04,One year,0
CUST1040008,26,Male,North,Standard,7,1866.38,0,39.61,Month-to-month,0
CUST1040009,50,Other,East,Standard,15,3053.72,4,81.52,One year,1
CUST1040010,37,Male,South,Basic,63,2187.4,2,99.85,Month-to-month,0
CUST1040011,29,Male,North,Basic,38,3611.94,1,81.26,Month-to-month,1
CUST1040012,54,Female,South,Premium,1,2865.82,2,77.31,Two year,1
CUST1040013,34,Female,West,Standard,16,2931.13,2,126.93,One year,0
CUST1040014,54,Female,West,Basic,24,2229.18,4,150.42,Month-to-month,1
CUST1040015,37,Female,West,Enterprise,13,3338.66,2,100.38,Two year,1
CUST1040016,39,Female,East,Premium,56,2637.61,3,122.97,Month-to-month,1
CUST1040017,64,Female,South,Premium,51,1993.98,1,113.79,Two year,0
CUST1040018,50,Male,West,Premium,52,945.35,2,73.09,Month-to-month,0
CUST1040019,30,Male,South,Enterprise,20,2545.0,2,121.41,Month-to-month,1
CUST1040020,58,Female,East,Standard,53,2200.99,3,158.19,Month-to-month,1
CUST1040021,37,Male,South,Standard,13,3651.23,4,85.18,One year,0
CUST1040022,23,Male,North,Standard,20,3174.28,2,218.89,One year,1
CUST1040023,37,Female,West,Basic,35,2185.91,3,59.62,One year,0
CUST1040024,45,Female,Central,Standard,59,745.2,4,196.57,Month-to-month,0
CUST1040025,55,Other,Central,Premium,61,3025.9,3,79.9,Two year,0
CUST1040026,55,Male,South,Basic,18,4136.43,4,77.87,One year,1
CUST1040027,59,Male,East,Standard,62,2719.28,3,75.13,Month-to-month,1
CUST1040028,58,Other,South,Basic,65,2130.45,2,94.59,One year,0
CUST1040029,55,Male,Central,Standard,61,2829.7,3,166.87,One year,1
CUST1040030,30,Female,East,Standard,43,1695.77,1,83.11,Two year,0
CUST1040031,63,Male,North,Standard,56,2938.94,2,65.79,Two year,1
CUST1040032,42,Male,East,Basic,21,1187.79,3,82.43,One year,0
CUST1040033,29,Other,North,Premium,58,574.81,3,85.55,One year,0
CUST1040034,37,Male,Central,Standard,19,1494.98,2,94.74,Month-to-month,0
CUST1040035,36,Male,East,Basic,39,2908.7,0,152.5,One year,0
CUST1040036,32,Male,East,Standard,60,1607.38,2,99.66,One year,0
CUST1040037,53,Male,East,Standard,8,715.26,3,63.5,Two year,1
CUST1040038,56,Female,East,Standard,72,2577.58,2,123.43,One year,0
CUST1040039,47,Male,South,Basic,26,2015.65,3,103.65,One year,1
CUST1040040,46,Male,Central,Premium,52,3095.62,1,121.33,Month-to-month,1
CUST1040041,22,Male,South,Basic,6,4683.44,3,115.72,One year,1
CUST1040042,46,Female,South,Premium,44,3495.97,2,133.39,One year,0
CUST1040043,65,Male,Central,Basic,34,3593.06,0,82.59,Month-to-month,1
CUST1040044,32,Male,Central,Standard,44,2977.9,1,214.86,Month-to-month,1
CUST1040045,42,Female,North,Premium,1,1703.67,1,133.87,Month-to-month,0
CUST1040046,52,Female,Central,Standard,45,2011.9,3,261.08,Month-to-month,1
CUST1040047,35,Female,East,Standard,17,1822.73,5,134.71,Month-to-month,0
CUST1040048,23,Male,Central,Premium,72,3076.63,4,153.3,Two year,1
CUST1040049,60,Female,Central,Basic,26,2537.74,4,61.29,One year,1
CUST1040050,64,Female,South,Premium,14,2453.43,0,115.93,One year,0
CUST1040051,22,Male,Central,Premium,12,2811.73,0,136.05,One year,1
CUST1040052,43,Male,West,Premium,54,2072.5,2,79.64,Month-to-month,0
CUST1040053,48,Male,Central,Enterprise,21,3217.4,1,78.93,Month-to-month,0
CUST1040054,29,Female,South,Enterprise,24,1538.03,4,70.09,Two year,0
CUST1040055,52,Male,Central,Basic,37,4958.84,3,84.76,Month-to-month,0
CUST1040056,41,Female,North,Standard,26,3549.09,0,96.23,Month-to-month,1
CUST1040057,25,Female,West,Enterprise,24,3198.8,2,138.49,Two year,0
CUST1040058,53,Female,West,Basic,71,3181.59,3,113.04,Month-to-month,1
CUST1040059,53,Male,West,Premium,44,3283.27,4,96.51,Month-to-month,0
CUST1040060,58,Male,North,Standard,38,3414.85,1,33.12,Two year,0
