customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1060001,45,Male,South,Standard,16,2782.25,1,145.76,One year,0
CUST1060002,65,Male,South,Premium,22,2648.21,1,98.84,Month-to-month,0
CUST1060003,40,Male,East,Premium,50,1637.93,2,141.16,Month-to-month,0
CUST1060004,22,Male,North,Basic,62,1801.85,4,108.28,Month-to-month,1
CUST1060005,30,Female,West,Standard,36,2370.39,2,38.27,One year,0
CUST1060006,26,Male,West,Premium,31,2678.86,2,120.93,One year,0
CUST1060007,56,Female,South,Basic,9,3209.66,0,64.15,One year,1
CUST1060008,41,Female,Central,Standard,16,2761.42,6,110.82,Month-to-month,0
CUST1060009,29,Female,Central,Premium,59,3399.55,2,153.97,Month-to-month,0
CUST1060010,64,Female,South,Standard,64,2906.1,3,70.76,Month-to-month,0
CUST1060011,31,Female,West,Standard,46,1790.9,1,112.56,Two year,0
CUST1060012,27,Female,Central,Standard,72,1502.66,1,111.52,Month-to-month,1
CUST1060013,25,Female,South,Standard,49,3381.58,3,96.98,Month-to-month,1
CUST1060014,35,Female,North,Premium,32,2952.79,7,56.81,One year,0
CUST1060015,32,Female,West,Basic,44,2388.42,4,53.15,Month-to-month,1
CUST1060016,29,Female,East,Premium,60,1937.22,1,67.43,Month-to-month,0
CUST1060017,52,Female,North,Premium,39,2858.21,1,91.67,One year,1
CUST1060018,35,Female,North,Basic,12,2692.15,3,78.08,Two year,1
CUST1060019,54,Female,East,Standard,36,2523.27,2,124.46,Month-to-month,0
CUST1060020,23,Female,North,Standard,40,2361.59,1,161.25,Month-to-month,1
CUST1060021,64,Female,East,Enterprise,63,2776.73,2,162.23,One year,0
CUST1060022,49,Male,West,Enterprise,29,2667.1,0,136.19,Month-to-month,0
CUST1060023,31,Female,South,Basic,48,1538.63,3,165.97,One year,1
CUST1060024,24,Male,West,Premium,3,1337.4,4,75.16,Month-to-month,1
CUST1060025,29,Female,South,Standard,72,4607.37,5,149.57,One year,0
CUST1060026,64,Male,South,Premium,56,4170.7,3,119.18,Month-to-month,0
CUST1060027,31,Female,North,Standard,12,3010.58,1,154.12,One year,0
