customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST1070001,25,Male,South,Standard,69,1999.75,5,86.25,One year,1
CUST1070002,50,Female,East,Enterprise,23,3323.8,3,109.0,One year,0
CUST1070003,61,Female,North,Standard,39,1592.19,3,156.59,Two year,0
CUST1070004,42,Female,West,Basic,45,2830.38,2,136.24,Month-to-month,1
CUST1070005,57,Female,North,Standard,19,2123.76,1,115.54,One year,0
CUST1070006,43,Female,West,Enterprise,47,1985.85,1,211.92,Month-to-month,1
CUST1070007,33,Male,East,Premium,53,1377.61,1,137.98,Two year,0
CUST1070008,54,Female,West,Standard,7,2943.76,2,111.18,One year,0
CUST1070009,45,Female,North,Premium,48,1961.43,0,69.76,One year,0
CUST1070010,43,Male,Central,Basic,9,2316.7,1,54.53,One year,1
CUST1070011,40,Male,West,Standard,54,2434.25,0,118.12,Two year,1
CUST1070012,24,Female,East,Basic,38,2392.92,3,99.79,Two year,0
CUST1070013,22,Female,East,Premium,21,2029.79,5,222.73,One year,0
CUST1070014,39,Male,North,Basic,45,2721.08,4,81.29,One year,0
CUST1070015,28,Male,East,Standard,47,1729.3,2,102.92,One year,1
CUST1070016,65,Male,South,Premium,2,3311.65,4,106.1,Month-to-month,0
CUST1070017,65,Female,West,Standard,42,2308.56,0,76.91,Month-to-month,0
CUST1070018,28,Female,East,Basic,43,2287.33,5,41.68,Month-to-month,1
CUST1070019,40,Male,Central,Enterprise,21,3431.0,2,78.53,Two year,0
CUST1070020,57,Female,South,Enterprise,54,2183.85,1,176.96,Month-to-month,0
CUST1070021,35,Female,East,Standard,48,1550.86,3,38.37,Month-to-month,1
CUST1070022,31,Female,Central,Premium,29,2231.54,3,122.3,Month-to-month,0
CUST1070023,37,Male,West,Enterprise,50,1832.62,4,125.41,Month-to-month,0
CUST1070024,30,Male,West,Standard,58,3320.18,1,166.7,Month-to-month,1
CUST1070025,54,Male,West,Standard,61,3094.97,1,128.3,One year,0
CUST1070026,22,Male,South,Standard,18,3288.35,3,92.19,Month-to-month,0
CUST1070027,52,Female,Central,Basic,3,1339.28,1,64.62,One year,1
CUST1070028,25,Female,West,Basic,43,1491.37,5,220.41,Month-to-month,1
CUST1070029,60,Male,South,Basic,56,2635.98,2,89.27,One year,0
CUST1070030,53,Male,Central,Basic,14,3826.27,1,75.79,One year,0
CUST1070031,26,Female,South,Basic,36,2779.64,2,32.79,Month-to-month,1
CUST1070032,64,Male,South,Basic,72,3386.1,3,127.61,Month-to-month,1
CUST1070033,39,Male,North,Enterprise,14,2182.11,0,75.55,Month-to-month,0
CUST1070034,33,Male,South,Standard,23,3865.06,1,131.55,Month-to-month,0
CUST1070035,48,Male,South,Premium,60,1795.12,6,138.98,Two year,0
CUST1070036,35,Male,Central,Basic,7,3801.88,1,187.04,Month-to-month,1
CUST1070037,46,Female,East,Standard,25,2373.6,2,47.86,One year,1
CUST1070038,25,Female,Central,Standard,20,3570.0,2,125.15,One year,1
CUST1070039,21,Female,Central,Standard,52,3021.31,3,76.51,One year,1
CUST1070040,62,Male,West,Basic,27,1491.75,0,244.22,Month-to-month,0
CUST1070041,33,Male,East,Enterprise,29,4138.05,3,151.37,Month-to-month,0
CUST1070042,34,Male,West,Standard,8,3418.86,4,51.51,One year,0
CUST1070043,33,Male,Central,Standard,8,2833.33,2,70.45,Month-to-month,0
CUST1070044,62,Female,North,Premium,64,2223.08,2,83.72,Two year,0
CUST1070045,55,Female,South,Enterprise,18,2667.59,3,57.21,One year,0
CUST1070046,44,Male,East,Basic,8,1037.73,5,128.4,Month-to-month,1
CUST1070047,40,Female,North,Standard,44,4191.82,4,137.15,Two year,0
CUST1070048,31,Male,West,Standard,57,2475.01,1,105.14,Month-to-month,0
CUST1070049,51,Male,East,Standard,53,3210.23,1,79.6,Two year,0
CUST1070050,53,Male,West,Premium,43,4632.42,2,123.01,Month-to-month,0
CUST1070051,65,Male,South,Basic,50,1952.28,4,159.75,Two year,0
CUST1070052,60,Male,West,Standard,25,1904.14,1,72.88,Two year,0
CUST1070053,48,Male,East,Standard,1,1480.99,1,98.59,Two year,0
CUST1070054,60,Male,East,Basic,50,3595.65,2,90.87,Month-to-month,1
CUST1070055,38,Male,East,Standard,49,2267.28,1,103.92,Month-to-month,0
CUST1070056,25,Female,West,Standard,8,2535.12,1,96.23,Month-to-month,0
CUST1070057,41,Other,West,Standard,5,2423.2,2,131.0,Month-to-month,1
CUST1070058,34,Male,East,Enterprise,48,2684.9,1,124.66,One year,0
CUST1070059,25,Female,East,Basic,49,3517.57,1,58.64,Month-to-month,1
CUST1070060,46,Male,South,Standard,57,3061.23,4,73.44,Month-to-month,0
CUST1070061,65,Female,North,Standard,5,2118.02,1,122.09,One year,1
CUST1070062,26,Female,North,Standard,30,1007.84,3,99.63,One year,1
CUST1070063,45,Female,South,Standard,33,1711.22,3,89.24,Two year,1
CUST1070064,41,Female,West,Basic,28,2539.41,0,109.15,Month-to-month,1
CUST1070065,58,Male,East,Basic,16,2275.51,1,52.74,Month-to-month,1
CUST1070066,27,Male,South,Basic,52,1909.44,1,95.66,Month-to-month,1
CUST1070067,37,Female,South,Basic,6,2867.91,2,92.71,Month-to-month,1
CUST1070068,23,Female,East,Standard,3,3001.45,4,38.16,Month-to-month,0
CUST1070069,33,Male,South,Basic,12,3399.58,2,117.11,Two year,1
CUST1070070,36,Female,Central,Premium,55,2602.09,2,131.38,Month-to-month,0
CUST1070071,23,Male,North,Premium,67,1715.46,5,59.61,Month-to-month,1
CUST1070072,47,Male,West,Standard,55,2829.68,0,109.7,Month-to-month,0
CUST1070073,32,Male,Central,Standard,19,3105.32,1,52.87,Month-to-month,1
CUST1070074,65,Male,North,Enterprise,7,3244.38,1,58.08,Two year,0
CUST1070075,55,Male,South,Standard,30,3196.64,1,142.9,One year,0
CUST1070076,40,Male,East,Standard,4,2924.44,3,172.49,Month-to-month,1
CUST1070077,60,Male,South,Enterprise,71,2867.36,3,179.96,Month-to-month,0
CUST1070078,29,Female,West,Premium,51,2916.48,0,45.63,Month-to-month,0
CUST1070079,59,Male,Central,Basic,2,3709.03,1,68.02,Month-to-month,0
CUST1070080,27,Male,Central,Basic,53,3331.52,1,81.77,Month-to-month,0
CUST1070081,29,Male,South,Standard,51,2843.81,1,151.04,One year,0
CUST1070082,50,Female,East,Basic,56,1810.73,5,89.48,Month-to-month,0
CUST1070083,45,Female,Central,Enterprise,67,2590.81,3,130.13,One year,0
CUST1070084,29,Female,West,Enterprise,69,2427.45,1,63.49,Month-to-month,0
CUST1070085,63,Female,North,Basic,64,1513.73,4,85.82,Month-to-month,0
CUST1070086,33,Female,East,Enterprise,3,2948.83,2,52.95,Two year,1
CUST1070087,24,Female,Central,Basic,18,3372.45,2,98.43,One year,1
CUST1070088,41,Male,Central,Premium,12,1971.73,1,79.22,One year,0
CUST1070089,40,Female,Central,Basic,18,2569.75,3,62.14,One year,1
CUST1070090,40,Male,North,Standard,70,2957.45,1,91.61,Month-to-month,1
CUST1070091,55,Female,South,Premium,4,3988.32,1,33.2,One year,1
CUST1070092,36,Male,Central,Premium,3,2741.37,4,121.34,Month-to-month,1
CUST1070093,40,Female,East,Premium,62,3537.61,1,149.24,One year,1
CUST1070094,32,Female,West,Standard,4,2611.66,2,150.28,Month-to-month,1
CUST1070095,53,Male,West,Enterprise,41,1742.24,2,51.02,Month-to-month,0
CUST1070096,51,Female,Central,Premium,5,4529.66,2,74.83,One year,0
CUST1070097,34,Female,West,Premium,27,1480.69,1,59.87,Month-to-month,0
CUST1070098,43,Female,Central,Premium,40,3180.42,1,133.99,Month-to-month,0
CUST1070099,46,Female,East,Basic,3,835.98,0,87.24,Month-to-month,1
CUST1070100,31,Female,North,Enterprise,33,1312.65,1,146.36,Month-to-month,1
CUST1070101,58,Male,West,Standard,69,2988.04,1,130.3,Two year,0
CUST1070102,42,Male,West,Standard,27,1727.25,1,85.11,Month-to-month,0
CUST1070103,26,Female,West,Standard,3,3006.06,2,109.05,Month-to-month,1
CUST1070104,38,Male,West,Standard,24,3030.18,2,46.86,Month-to-month,0
CUST1070105,54,Male,East,Standard,70,2189.77,1,43.8,Month-to-month,0
CUST1070106,31,Male,East,Enterprise,3,1399.61,1,175.44,One year,0
CUST1070107,52,Male,South,Basic,51,3267.68,1,110.95,One year,1
CUST1070108,61,Male,North,Standard,28,2573.15,4,75.69,Month-to-month,0
CUST1070109,49,Male,East,Enterprise,45,1951.64,1,60.61,One year,0
CUST1070110,29,Female,East,Basic,71,3108.57,2,136.93,Month-to-month,0
CUST1070111,32,Male,West,Basic,40,1830.52,1,97.35,Month-to-month,0
CUST1070112,59,Female,North,Basic,10,2878.89,3,114.61,One year,1
CUST1070113,41,Male,East,Standard,64,3044.47,1,181.7,Month-to-month,0
CUST1070114,42,Male,East,Basic,38,500.0,0,55.46,Two year,0
CUST1070115,21,Male,South,Standard,35,4878.7,3,148.15,Month-to-month,0
CUST1070116,45,Female,West,Standard,22,1145.52,5,83.72,One year,0
CUST1070117,49,Male,South,Basic,34,3343.01,1,74.85,Month-to-month,1
CUST1070118,65,Female,East,Basic,36,1635.57,0,75.87,Month-to-month,0
CUST1070119,34,Male,East,Premium,25,2164.85,1,190.17,Two year,0
CUST1070120,60,Other,South,Standard,69,3254.18,3,108.09,Month-to-month,1
CUST1070121,51,Male,West,Basic,34,2304.2,4,100.35,Month-to-month,1
CUST1070122,49,Female,North,Premium,41,4001.1,2,95.37,Month-to-month,1
CUST1070123,53,Female,West,Basic,34,2663.86,0,185.96,Month-to-month,1
CUST1070124,30,Female,South,Premium,22,2047.85,1,76.51,Two year,0
CUST1070125,36,Female,Central,Standard,37,2491.39,3,100.11,Two year,0
CUST1070126,39,Male,West,Standard,7,1946.97,1,133.5,Month-to-month,1
CUST1070127,63,Male,North,Basic,6,1243.01,3,170.18,One year,1
CUST1070128,40,Female,West,Basic,67,3059.07,1,61.95,One year,0
CUST1070129,42,Female,South,Standard,40,1788.89,3,57.68,Month-to-month,0
CUST1070130,27,Male,Central,Standard,32,4124.54,0,94.12,Month-to-month,1
CUST1070131,56,Female,Central,Basic,71,3419.44,3,102.91,Month-to-month,0
CUST1070132,29,Female,North,Basic,27,2072.5,4,113.73,One year,1
CUST1070133,63,Male,South,Standard,67,4097.49,2,74.29,Month-to-month,1
CUST1070134,63,Male,Central,Standard,5,3164.37,3,72.38,Month-to-month,1
CUST1070135,26,Female,North,Standard,64,3287.07,2,119.56,Month-to-month,0
CUST1070136,53,Female,West,Basic,47,2836.1,6,80.79,Two year,1
CUST1070137,25,Female,North,Premium,69,1988.31,1,127.51,One year,0
CUST1070138,31,Male,West,Premium,7,2765.19,3,76.8,Month-to-month,1
CUST1070139,59,Female,West,Basic,18,2394.25,3,56.04,Month-to-month,1
CUST1070140,54,Female,Central,Basic,56,2899.92,1,112.22,Month-to-month,0
CUST1070141,55,Female,North,Premium,56,3859.79,2,149.11,Month-to-month,0
CUST1070142,32,Male,West,Standard,48,2711.07,0,57.49,Month-to-month,1
CUST1070143,54,Female,East,Basic,42,2726.01,4,158.79,Two year,0
CUST1070144,30,Female,South,Basic,61,3404.74,9,130.28,Month-to-month,0
CUST1070145,45,Male,South,Basic,42,1257.75,3,70.45,Month-to-month,1
CUST1070146,30,Female,North,Basic,49,1054.58,4,81.91,Month-to-month,0
CUST1070147,46,Male,North,Premium,62,2842.86,1,135.09,Month-to-month,0
CUST1070148,21,Other,Central,Standard,43,2926.87,1,129.61,Month-to-month,1
CUST1070149,65,Male,Central,Basic,20,2289.84,2,183.61,One year,0
CUST1070150,44,Male,North,Basic,54,2920.63,1,69.91,One year,0
CUST1070151,29,Female,South,Basic,18,782.08,2,168.4,One year,0
CUST1070152,63,Male,North,Standard,43,2755.49,1,94.15,Month-to-month,1
CUST1070153,47,Male,West,Premium,26,2580.05,1,57.59,One year,0
CUST1070154,60,Male,East,Basic,58,2404.89,2,88.7,Month-to-month,1
CUST1070155,50,Female,North,Standard,17,4031.92,3,85.62,Month-to-month,1
CUST1070156,46,Male,South,Standard,32,2738.53,4,96.47,Two year,0
CUST1070157,29,Male,North,Standard,1,1382.73,4,165.38,Month-to-month,0
CUST1070158,62,Male,Central,Standard,34,2150.92,2,47.82,Month-to-month,1
CUST1070159,52,Male,West,Enterprise,69,3000.99,4,90.56,Two year,0
