customer_id,age,gender,region,plan_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,contract_type,churn
CUST9990001,57,Male,North,Enterprise,23,4006.52,3,128.18,Two year,0
CUST9990002,56,Other,East,Basic,23,1540.36,2,58.61,Month-to-month,0
CUST9990003,28,Male,North,Enterprise,46,2163.02,2,160.55,Month-to-month,0
CUST9990004,28,Male,East,Premium,6,1481.18,1,58.4,Month-to-month,0
CUST9990005,29,Female,North,Premium,53,2766.68,3,217.58,Two year,0
CUST9990006,53,Male,Central,Enterprise,51,1956.02,3,117.43,One year,0
CUST9990007,25,Male,West,Standard,19,3864.5,1,178.21,Month-to-month,0
CUST9990008,54,Female,Central,Standard,66,2224.03,1,124.2,One year,0
CUST9990009,27,Female,West,Standard,61,1426.99,3,87.81,Month-to-month,0
CUST9990010,28,Female,Central,Basic,49,3381.31,3,78.02,Month-to-month,1
CUST9990011,28,Female,Central,Enterprise,12,3236.44,3,142.98,Month-to-month,1
CUST9990012,61,Other,Central,Premium,10,1863.27,2,118.87,Month-to-month,0
CUST9990013,26,Male,North,Standard,16,2167.46,3,65.16,One year,0
CUST9990014,27,Male,East,Standard,22,2934.88,2,113.99,Month-to-month,1
CUST9990015,61,Female,Central,Standard,46,3736.02,2,57.66,Two year,0
CUST9990016,48,Female,North,Premium,22,2817.4,4,89.31,One year,0
CUST9990017,47,Male,North,Basic,10,1844.92,2,210.74,One year,0
CUST9990018,61,Male,North,Premium,70,2943.1,0,86.71,Month-to-month,0
CUST9990019,47,Male,East,Enterprise,14,2856.69,4,111.87,One year,1
CUST9990020,29,Male,Central,Basic,35,2819.29,4,89.95,Two year,0
CUST9990021,22,Male,East,Premium,36,3179.82,4,82.04,One year,1
CUST9990022,46,Male,Central,Basic,65,3425.03,1,149.76,One year,0
CUST9990023,65,Male,Central,Standard,19,2132.78,2,64.67,Month-to-month,0
CUST9990024,48,Male,West,Standard,5,2142.54,2,136.79,One year,1
CUST9990025,35,Female,East,Standard,47,4661.61,2,142.22,One year,1
CUST9990026,44,Female,South,Basic,66,2932.65,3,62.06,One year,0
CUST9990027,35,Male,East,Basic,18,2585.37,4,146.9,Month-to-month,0
CUST9990028,49,Male,South,Standard,47,2411.06,3,102.15,Month-to-month,1
CUST9990029,27,Female,West,Premium,8,3192.32,1,98.96,Month-to-month,1
CUST9990030,42,Female,East,Premium,3,2955.06,3,122.52,Two year,0
CUST9990031,46,Male,Central,Premium,52,2535.6,2,148.58,One year,0
CUST9990032,33,Female,West,Premium,50,2107.81,0,114.78,One year,0
CUST9990033,25,Male,West,Premium,17,3379.99,1,116.72,Month-to-month,0
CUST9990034,22,Male,South,Basic,14,3288.22,3,105.52,One year,0
CUST9990035,25,Male,East,Basic,37,2734.55,2,101.33,One year,0
CUST9990036,29,Female,South,Premium,52,2838.29,3,126.56,One year,0
CUST9990037,26,Male,Central,Premium,12,2880.97,2,130.78,One year,1
CUST9990038,34,Female,Central,Standard,31,3016.5,1,118.27,One year,1
CUST9990039,56,Male,East,Enterprise,71,2854.55,0,42.89,Month-to-month,0
CUST9990040,53,Male,Central,Premium,25,1590.69,3,154.74,Month-to-month,0
CUST9990041,51,Male,West,Standard,30,1865.2,3,130.84,Month-to-month,1
CUST9990042,43,Male,West,Premium,19,3464.72,4,55.83,Month-to-month,0
CUST9990043,32,Female,West,Standard,27,3584.41,1,97.89,One year,1
CUST9990044,28,Female,North,Basic,21,1965.95,0,105.42,Two year,1
CUST9990045,35,Male,Central,Standard,70,2953.68,1,132.24,One year,0
CUST9990046,40,Female,South,Enterprise,39,1654.49,1,41.34,One year,0
CUST9990047,55,Female,South,Basic,14,1924.93,1,94.79,Month-to-month,0
CUST9990048,39,Male,West,Premium,42,2078.18,2,166.58,One year,0
CUST9990049,58,Female,South,Basic,44,3297.88,3,100.59,One year,0
CUST9990050,40,Female,Central,Standard,21,4565.13,4,97.62,Two year,0
CUST9990051,22,Male,Central,Enterprise,51,2879.51,2,130.37,Month-to-month,0
CUST9990052,51,Male,East,Standard,56,2418.81,2,77.08,Month-to-month,1
CUST9990053,56,Male,Central,Premium,24,831.79,1,77.58,One year,0
CUST9990054,34,Male,East,Standard,13,1673.14,2,93.81,One year,0
CUST9990055,37,Female,South,Basic,15,2959.42,3,112.65,Two year,1
CUST9990056,37,Female,West,Standard,6,2191.11,2,80.62,Month-to-month,1
CUST9990057,65,Male,Central,Standard,15,2755.6,2,46.29,Month-to-month,0
CUST9990058,46,Male,South,Standard,68,3571.28,0,127.25,Month-to-month,0
CUST9990059,44,Female,West,Basic,11,1825.53,1,144.32,One year,0
CUST9990060,23,Male,West,Basic,27,2911.63,1,51.87,Month-to-month,1
CUST9990061,33,Female,South,Premium,4,3061.59,0,77.28,One year,0
CUST9990062,39,Female,South,Premium,11,1932.74,1,68.2,Month-to-month,1
CUST9990063,35,Female,Central,Standard,38,2140.84,1,141.36,Month-to-month,0
CUST9990064,54,Male,West,Premium,10,3504.44,1,77.06,One year,0
CUST9990065,65,Male,North,Premium,24,4651.63,2,140.47,Two year,0
CUST9990066,63,Female,East,Basic,72,3417.04,3,154.75,Two year,1
CUST9990067,47,Other,South,Basic,62,2593.85,2,149.66,Month-to-month,1
CUST9990068,27,Male,West,Enterprise,27,2139.47,3,140.31,One year,0
CUST9990069,36,Female,North,Standard,13,2008.91,1,126.16,Two year,0
CUST9990070,46,Male,West,Standard,37,3651.18,0,103.94,Month-to-month,0
CUST9990071,45,Female,West,Standard,15,2895.09,0,66.07,Two year,0
CUST9990072,49,Male,South,Enterprise,5,3033.78,2,141.33,One year,0
CUST9990073,21,Male,Central,Standard,66,2845.57,1,103.27,Month-to-month,1
CUST9990074,52,Female,East,Basic,16,3325.88,1,219.32,One year,1
CUST9990075,62,Female,Central,Basic,36,3819.26,2,156.67,Two year,0
CUST9990076,64,Male,Central,Basic,72,4364.35,2,130.66,Month-to-month,1
CUST9990077,55,Male,North,Basic,13,1305.39,1,107.53,Month-to-month,1
CUST9990078,34,Female,West,Standard,22,2040.7,2,142.83,One year,1
CUST9990079,21,Female,Central,Standard,48,3385.83,2,65.8,Month-to-month,1
CUST9990080,28,Female,Central,Premium,32,3407.42,3,165.08,One year,0
CUST9990081,61,Male,East,Premium,4,2999.63,2,87.68,Month-to-month,1
CUST9990082,49,Female,East,Basic,3,2752.83,2,60.21,Month-to-month,0
CUST9990083,30,Male,Central,Premium,25,2037.4,1,132.11,Month-to-month,0
CUST9990084,59,Male,East,Premium,45,3363.34,3,76.84,Two year,0
