annual_income,spending_score,website_visits,app_sessions,avg_order_value,orders_per_month,return_rate,loyalty_years,region,membership
1319534,61,10,18,15797.09,5,0.23,9.3,South,Gold
301870,5,14,22,4269.53,5,0.15,6.9,South,Gold
1414874,90,6,19,5121.74,8,0.31,3.0,North,Silver
621662,3,10,19,6827.75,4,0.37,3.3,West,Silver
952084,76,6,17,4055.75,4,0.1,11.7,East,Silver
1284982,92,15,16,2595.05,10,0.15,7.4,East,Silver
2825404,62,14,11,16132.08,5,0.41,7.8,West,Silver
2243065,27,10,20,4087.43,2,0.25,2.4,South,Platinum
1415871,76,14,13,16859.43,3,0.03,11.6,South,Silver
863156,18,7,20,2182.77,8,0.22,1.6,North,Gold
1157785,2,17,17,13930.39,3,0.04,8.3,East,Silver
753763,60,13,16,13146.95,7,0.11,8.4,South,Silver
640707,82,13,18,8823.65,2,0.43,11.3,East,Gold
1455716,26,11,18,1568.42,7,0.4,9.4,East,Silver
1705396,86,11,22,12614.04,4,0.44,2.1,West,Silver
2613866,62,9,23,2610.34,5,0.08,11.3,West,Gold
2793214,66,7,13,1770.02,5,0.11,3.4,East,Gold
872858,28,15,19,9580.01,6,0.11,3.8,West,Silver
1094311,32,13,14,13684.8,7,0.44,3.1,North,Silver
406305,28,9,20,12121.88,2,0.16,0.3,West,Gold
2350127,37,11,18,16988.02,2,0.38,0.1,South,Gold
2040850,91,7,11,4899.18,3,0.35,0.3,East,Gold
2060197,75,6,15,6300.77,10,0.22,8.9,West,Silver
1271149,49,11,20,8565.05,3,0.12,3.6,South,Silver
326209,49,14,14,1490.26,7,0.17,10.0,East,Silver
1890858,7,13,7,17116.3,7,0.18,8.8,South,Platinum
293667,88,11,12,11779.03,8,0.42,9.2,North,Silver
1939797,2,12,29,8497.83,7,0.37,9.5,South,Silver
916722,43,12,21,2241.75,6,0.2,8.8,East,Platinum
2588256,96,15,15,3243.01,3,0.14,4.6,East,Silver
1373777,77,21,18,10231.77,5,0.13,10.4,West,Silver
2843500,47,6,21,425.43,3,0.02,0.8,East,Platinum
2534584,29,10,12,1658.62,10,0.03,11.7,West,Silver
2572847,93,17,18,3552.79,4,0.26,1.0,West,Gold
931627,76,11,19,17931.48,9,0.27,7.1,West,Silver
1382230,28,14,34,5305.5,4,0.41,5.0,South,Gold
1099743,57,14,24,9254.37,7,0.31,11.9,South,Platinum
875517,79,12,23,1232.93,6,0.2,2.5,East,Gold
2850513,41,16,18,9356.4,8,0.28,2.5,West,Gold
1987456,57,10,14,4590.81,7,0.16,8.7,West,Silver
1826995,8,14,15,12071.95,2,0.12,9.3,West,Silver
2867028,85,10,22,5124.46,7,0.22,4.3,North,Gold
1641824,87,10,21,7352.22,5,0.13,2.5,North,Gold
1181325,65,14,24,5342.62,3,0.04,10.7,East,Silver
302208,56,16,17,6005.57,4,0.19,0.6,East,Silver
2292192,15,11,25,881.54,9,0.33,11.5,South,Silver
1291052,98,11,20,17980.78,8,0.13,11.7,South,Gold
311337,48,15,18,12907.27,7,0.17,11.0,South,Silver
698464,11,21,19,13046.75,7,0.08,8.9,South,Gold
2744664,10,13,18,5473.25,4,0.09,9.2,West,Platinum
2518689,65,8,19,14891.19,7,0.33,4.3,East,Silver
2533298,79,16,19,1125.44,4,0.32,9.5,West,Silver
747814,34,17,16,15642.41,7,0.18,1.7,North,Platinum
1737173,56,9,20,9396.31,5,0.34,9.4,South,Platinum
2732471,75,12,19,4076.85,2,0.05,4.8,East,Silver
289215,98,19,16,15930.43,3,0.11,3.3,West,Silver
247122,41,13,13,10864.04,5,0.19,8.0,East,Gold
1923058,96,12,18,8411.46,6,0.34,1.3,South,Gold
509665,21,12,21,893.21,9,0.25,7.3,North,Gold
1412726,29,13,16,3569.42,3,0.03,2.5,West,Silver
2957323,13,9,22,9920.72,4,0.12,1.1,East,Gold
